institution,slug,country,continent,repository_code,archive_type,anf_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,http://www.anf-cinemateca.ro/,erro,,0,0,Site oficial informado pela FIAF/EFG; indisponibilidade não bloqueia a rota externa validada.,"HTTPConnectionPool(host='www.anf-cinemateca.ro', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPConnection(host='www.anf-cinemateca.ro', port=80) at 0x1b3dcf4b0d0>, 'Connection to www.anf-cinemateca.ro timed out. (connect timeout=8)'))"
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://www.europeanfilmgateway.eu/content/arhiva-nationala-de-filme-bucarest,ok,200,0,0,"Página do European Film Gateway usada como evidência de cobertura agregadora, não como corpus institucional.",
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/program/cinemateca-online,ok,200,8,0,Lista pública Cinemateca Online no Eventbook; usada como superfície externa de acesso.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-istorii-industriale-munca-in-perioada-interbelica,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-sociologii-documentaristi-filmele-lui-henri-h-stahl,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-aventura-fericita,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-bing-bang,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-noi-romanii-sarbatorile-unirii,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-ciuleandra,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-razbunarea-haiducilor,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
Arhiva Nationala de Filme - Cinemateca Romana,arhiva-nationala-de-filme-cinemateca-romana,Romania,Europe,RO-ANF,Institutional film archive,http://www.anf-cinemateca.ro/,True,True,https://eventbook.ro/program/cinemateca-online,https://eventbook.ro/film/bilete-cinemateca-online-razboiul-domnitelor,ok,200,1,0,Página pública de filme/programa da Cinemateca Online; metadados coletados sem pressupor player aberto.,
