institution,slug,country,continent,repository_code,ape_detail_url,archive_type,external_url,website_available,content_available_in_ape
Benediktinerstift Altenburg,benediktinerstift-altenburg,Austria,Europe,AT-00000001218,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001218,Church and religious archives,http://www.stift-altenburg.at/,True,True
Diözesanarchiv St. Pölten,di-zesanarchiv-st-p-lten,Austria,Europe,AT-DZSASTP,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-DZSASTP,Church and religious archives,http://www.dasp.at/,True,True
Kärntner Landesarchiv,k-rntner-landesarchiv,Austria,Europe,AT-KLA,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-KLA,,http://www.landesarchiv.ktn.gv.at/214172_DE-Landesarchiv.,True,True
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,,http://www.noel.gv.at/Bildung/Landesarchiv-.html,True,True
Oberösterreichisches Landesarchiv,ober-sterreichisches-landesarchiv,Austria,Europe,AT-00000001250,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001250,Regional archives,http://www.landesarchiv-ooe.at/,True,True
Österreichisches Staatsarchiv,sterreichisches-staatsarchiv,Austria,Europe,AT-OeStA,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-OeStA,National archives,http://www.oesta.gv.at,True,True
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,Regional archives,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,True,True
Stiftsarchiv Geras,stiftsarchiv-geras,Austria,Europe,AT-00000001224,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001224,Church and religious archives,http://www.stiftgeras.at/,True,True
Stiftsarchiv Göttweig,stiftsarchiv-g-ttweig,Austria,Europe,AT-00000001225,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001225,Church and religious archives,http://www.stiftgoettweig.at/,True,True
Stiftsarchiv Melk,stiftsarchiv-melk,Austria,Europe,AT-00000001231,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001231,Church and religious archives,http://www.stiftmelk.at/,True,True
Wiener Stadt- und Landesarchiv,wiener-stadt-und-landesarchiv,Austria,Europe,AT-WSTLA,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-WSTLA,Regional archives Municipal archives,http://www.wien.gv.at/kultur/archiv/,True,True
Zisterzienserstift Schlierbach,zisterzienserstift-schlierbach,Austria,Europe,AT-00000001239,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001239,Church and religious archives,http://stift-schlierbach.at/,True,True
Zisterzienserstift Stams,zisterzienserstift-stams,Austria,Europe,AT-00000001240,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001240,Church and religious archives,http://www.stiftstams.at,True,True
Algemeen Rijksarchief - Archives générales du Royaume Archives générales du Royaume Algemeen Rijksarchief,algemeen-rijksarchief-archives-g-n-rales-du-royaume-archives-g-n-rales-du-royaume-algemeen-rijksarchief,Belgium,Europe,BE-A0510,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0510,National archives,http://www.arch.be,True,True
Algemeen Rijksarchief 2 - Archives générales du Royaume 2 (Joseph Cuvelier),algemeen-rijksarchief-2-archives-g-n-rales-du-royaume-2-joseph-cuvelier,Belgium,Europe,BE-A0545,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0545,,,False,True
Archief en Bibliotheek Stichting de Bethune te Marke,archief-en-bibliotheek-stichting-de-bethune-te-marke,Belgium,Europe,BE-243884,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-243884,,,False,True
Archief van het Koninklijk Paleis - Archives du Palais Royal,archief-van-het-koninklijk-paleis-archives-du-palais-royal,Belgium,Europe,BE-A0546,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0546,,http://www.arch.be,True,True
Archief- en Onderzoekscentrum voor Vrouwengeschiedenis (AVG-Carhif) - Centre d’Archives et de Recherches pour l’Histoire des Femmes (Carhif-AVG),archief-en-onderzoekscentrum-voor-vrouwengeschiedenis-avg-carhif-centre-d-archives-et-de-recherches-pour-l-histoire-des-femmes-carhif-avg,Belgium,Europe,BE-007502,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-007502,,http://www.avg-carhif.be,True,True
Archives de l'État à Arlon,archives-de-l-tat-arlon,Belgium,Europe,BE-A0521,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0521,,,False,True
Archives de l'Etat à Bruxelles / Rijksarchief te Brussel (Anderlecht),archives-de-l-etat-bruxelles-rijksarchief-te-brussel-anderlecht,Belgium,Europe,BE-A0541,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0541,,http://www.arch.be,True,True
Archives de l'État à Liège,archives-de-l-tat-li-ge,Belgium,Europe,BE-A0522,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0522,,,False,True
Archives de l'État à Louvain-la-Neuve,archives-de-l-tat-louvain-la-neuve,Belgium,Europe,BE-A0542,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0542,,,False,True
Archives de l'État à Mons,archives-de-l-tat-mons,Belgium,Europe,BE-A0524,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0524,,,False,True
Archives de l'État à Namur,archives-de-l-tat-namur,Belgium,Europe,BE-A0525,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0525,,,False,True
Archives de l'État à Saint-Hubert,archives-de-l-tat-saint-hubert,Belgium,Europe,BE-D497,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-D497,,,False,True
Archives de l'État à Tournai,archives-de-l-tat-tournai,Belgium,Europe,BE-A0527,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0527,,,False,True
Baldewijns Ria,baldewijns-ria,Belgium,Europe,BE-376998,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-376998,Private persons and family archives,,False,True
