dataset,observation_key,snapshot_generated_at,source_status_date,generated_by,institution,slug,repository_code,country,continent,archive_type,website_available,partner_site,partner_domain,status,http_code,integrity_status,availability_group,audiovisual_visibility,access_regime,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,final_url
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Benediktinerstift Altenburg,benediktinerstift-altenburg,AT-00000001218,Austria,Europe,Church and religious archives,True,http://www.stift-altenburg.at/,stift-altenburg.at,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.stift-altenburg.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Diözesanarchiv St. Pölten,di-zesanarchiv-st-p-lten,AT-DZSASTP,Austria,Europe,Church and religious archives,True,http://www.dasp.at/,dasp.at,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.dasp.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Kärntner Landesarchiv,k-rntner-landesarchiv,AT-KLA,Austria,Europe,,True,http://www.landesarchiv.ktn.gv.at/214172_DE-Landesarchiv.,landesarchiv.ktn.gv.at,erro,,instavel,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,http://www.landesarchiv.ktn.gv.at/214172_DE-Landesarchiv.
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,AT-NOeLA,Austria,Europe,,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,noel.gv.at,ok,200.0,integro,Disponível,Potencial audiovisual em navegação interna,Potencial em navegação interna,0,0,5,https://www.noel.gv.at/noe/Landesarchiv/Landesarchiv.html
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Oberösterreichisches Landesarchiv,ober-sterreichisches-landesarchiv,AT-00000001250,Austria,Europe,Regional archives,True,http://www.landesarchiv-ooe.at/,landesarchiv-ooe.at,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.landesarchiv-ooe.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Österreichisches Staatsarchiv,sterreichisches-staatsarchiv,AT-OeStA,Austria,Europe,National archives,True,http://www.oesta.gv.at,oesta.gv.at,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.oesta.gv.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Salzburger Landesarchiv,salzburger-landesarchiv,AT-SLA,Austria,Europe,Regional archives,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,salzburg.gv.at,http_error,404.0,quebrado,Indisponível,Site indisponível para verificação,Não verificável,0,0,5,https://www.salzburg.gv.at/themen/se/salzburg/archive.htm
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Stiftsarchiv Geras,stiftsarchiv-geras,AT-00000001224,Austria,Europe,Church and religious archives,True,http://www.stiftgeras.at/,stiftgeras.at,ok,200.0,integro,Disponível,Evidência pública indireta de audiovisual,Evidência indireta sem regime público identificado,0,3,0,https://www.stiftgeras.at/wp/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Stiftsarchiv Göttweig,stiftsarchiv-g-ttweig,AT-00000001225,Austria,Europe,Church and religious archives,True,http://www.stiftgoettweig.at/,stiftgoettweig.at,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.stiftgoettweig.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Stiftsarchiv Melk,stiftsarchiv-melk,AT-00000001231,Austria,Europe,Church and religious archives,True,http://www.stiftmelk.at/,stiftmelk.at,http_error,404.0,quebrado,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,http://www.stiftmelk.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Wiener Stadt- und Landesarchiv,wiener-stadt-und-landesarchiv,AT-WSTLA,Austria,Europe,Regional archives Municipal archives,True,http://www.wien.gv.at/kultur/archiv/,wien.gv.at,ok,200.0,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por plataforma externa,1,1,1,https://www.wien.gv.at/bildung/wiener-stadt-landesarchiv
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Zisterzienserstift Schlierbach,zisterzienserstift-schlierbach,AT-00000001239,Austria,Europe,Church and religious archives,True,http://stift-schlierbach.at/,stift-schlierbach.at,ok,200.0,integro,Disponível,Evidência pública detectável de audiovisual,Acesso por plataforma externa,1,2,0,https://www.stift-schlierbach.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Zisterzienserstift Stams,zisterzienserstift-stams,AT-00000001240,Austria,Europe,Church and religious archives,True,http://www.stiftstams.at,stiftstams.at,ok,200.0,integro,Disponível,Evidência pública indireta de audiovisual,Evidência indireta sem regime público identificado,0,2,0,https://www.stiftstams.at/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Algemeen Rijksarchief - Archives générales du Royaume Archives générales du Royaume Algemeen Rijksarchief,algemeen-rijksarchief-archives-g-n-rales-du-royaume-archives-g-n-rales-du-royaume-algemeen-rijksarchief,BE-A0510,Belgium,Europe,National archives,True,http://www.arch.be,arch.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.arch.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Algemeen Rijksarchief 2 - Archives générales du Royaume 2 (Joseph Cuvelier),algemeen-rijksarchief-2-archives-g-n-rales-du-royaume-2-joseph-cuvelier,BE-A0545,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0545
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archief en Bibliotheek Stichting de Bethune te Marke,archief-en-bibliotheek-stichting-de-bethune-te-marke,BE-243884,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-243884
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archief van het Koninklijk Paleis - Archives du Palais Royal,archief-van-het-koninklijk-paleis-archives-du-palais-royal,BE-A0546,Belgium,Europe,,True,http://www.arch.be,arch.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.arch.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archief- en Onderzoekscentrum voor Vrouwengeschiedenis (AVG-Carhif) - Centre d’Archives et de Recherches pour l’Histoire des Femmes (Carhif-AVG),archief-en-onderzoekscentrum-voor-vrouwengeschiedenis-avg-carhif-centre-d-archives-et-de-recherches-pour-l-histoire-des-femmes-carhif-avg,BE-007502,Belgium,Europe,,True,http://www.avg-carhif.be,avg-carhif.be,ok,200.0,integro,Disponível,Potencial audiovisual em navegação interna,Potencial em navegação interna,0,0,4,https://avg-carhif.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Arlon,archives-de-l-tat-arlon,BE-A0521,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0521
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'Etat à Bruxelles / Rijksarchief te Brussel (Anderlecht),archives-de-l-etat-bruxelles-rijksarchief-te-brussel-anderlecht,BE-A0541,Belgium,Europe,,True,http://www.arch.be,arch.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.arch.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Liège,archives-de-l-tat-li-ge,BE-A0522,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0522
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Louvain-la-Neuve,archives-de-l-tat-louvain-la-neuve,BE-A0542,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0542
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Mons,archives-de-l-tat-mons,BE-A0524,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0524
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Namur,archives-de-l-tat-namur,BE-A0525,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0525
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Saint-Hubert,archives-de-l-tat-saint-hubert,BE-D497,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-D497
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Archives de l'État à Tournai,archives-de-l-tat-tournai,BE-A0527,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0527
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Baldewijns Ria,baldewijns-ria,BE-376998,Belgium,Europe,Private persons and family archives,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-376998
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,"Beveren, gemeentearchief",beveren-gemeentearchief,BE-799548,Belgium,Europe,,True,http://www.beveren.be/themas/433/default.aspx?_vs=0_N&id=1560,beveren.be,erro,,instavel,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,http://www.beveren.be/themas/433/default.aspx?_vs=0_N&id=1560
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Biljarclub BC De Deken te Ekeren,biljarclub-bc-de-deken-te-ekeren,BE-598966,Belgium,Europe,,True,http://www.bcdedeken.be/,bcdedeken.be,ok,200.0,integro,Disponível,Potencial audiovisual em navegação interna,Potencial em navegação interna,0,0,5,https://bcdedeken.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Broers Theo,broers-theo,BE-411251,Belgium,Europe,Private persons and family archives,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-411251
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,"Brugge, stadsarchief",brugge-stadsarchief,BE-674353,Belgium,Europe,,True,http://www.brugge.be,brugge.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.brugge.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Buurtwerking Groot Redingenhof Leuven VZW,buurtwerking-groot-redingenhof-leuven-vzw,BE-191244,Belgium,Europe,Private persons and family archives,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-191244
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Centrum voor Streekgeschiedenis Stad Zottegem CVS Zottegem,centrum-voor-streekgeschiedenis-stad-zottegem-cvs-zottegem,BE-296019,Belgium,Europe,,True,http://www.zottegem.be/erfgoed-en-musea/centrum-voor-streekgeschiedenis.aspx,zottegem.be,ok,200.0,suspeito,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.zottegem.be/404?page=erfgoed-en-musea/centrum-voor-streekgeschiedenis.aspx
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,De Klomp De Klinge VZW te Sint-Gillis-Waas,de-klomp-de-klinge-vzw-te-sint-gillis-waas,BE-683035,Belgium,Europe,Private persons and family archives,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-683035
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,"Duffel, gemeentearchief",duffel-gemeentearchief,BE-553002,Belgium,Europe,,True,http://www.duffel.be,duffel.be,erro,,instavel,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,http://www.duffel.be
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,European Savings Bank Group,european-savings-bank-group,BE-761897,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-761897
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Familiekunde Vlaanderen - Documentatie- en Studiecentrum voor Familiegeschiedenis te Merksem,familiekunde-vlaanderen-documentatie-en-studiecentrum-voor-familiegeschiedenis-te-merksem,BE-739769,Belgium,Europe,,True,http://www.vvfnationaalcentrum.be/,vvfnationaalcentrum.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,http://www.vvfnationaalcentrum.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Familiekunde Vlaanderen - Regio Westkust VZW,familiekunde-vlaanderen-regio-westkust-vzw,BE-169111,Belgium,Europe,,True,http://www.familiekunde-westkust.be/,familiekunde-westkust.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.familiekunde-westkust.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Figurentheater Propop te Turnhout,figurentheater-propop-te-turnhout,BE-699707,Belgium,Europe,,True,http://www.propop.be/,propop.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.propop.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Fotomuseum te Antwerpen,fotomuseum-te-antwerpen,BE-118815,Belgium,Europe,,True,http://www.fotomuseum.be,fomu.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://fomu.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,"Gent, stadsarchief",gent-stadsarchief,BE-645936,Belgium,Europe,,True,https://www.beeldbankgent.be,beeldbank.stad.gent,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://beeldbank.stad.gent/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Geschied- en heemkundige kring Kinrooi VZW,geschied-en-heemkundige-kring-kinrooi-vzw,BE-881086,Belgium,Europe,,True,http://www.heemkringkinrooi.net/,heemkringkinrooi.net,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,http://www.heemkringkinrooi.net/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Guido Gezelle Archief van de Openbare Bibliotheek Brugge,guido-gezelle-archief-van-de-openbare-bibliotheek-brugge,BE-188349,Belgium,Europe,,True,http://www.gezelle.be,gezelle.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://gezelle.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkring Hoghescote VZW te Kapellen,heemkring-hoghescote-vzw-te-kapellen,BE-191408,Belgium,Europe,,True,http://www.heemkring-hoghescote.be/,heemkring-hoghescote.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://www.heemkring-hoghescote.be/Intern2950/WelkomIntern.html
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkring Opwijk-Mazenzele te Opwijk,heemkring-opwijk-mazenzele-te-opwijk,BE-214427,Belgium,Europe,,True,http://www.heemkringopwijk.be,heemkringopwijk.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,http://www.heemkringopwijk.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkunde Vlaanderen VZW - Huis De Zalm te Mechelen,heemkunde-vlaanderen-vzw-huis-de-zalm-te-mechelen,BE-909973,Belgium,Europe,,True,http://www.heemkunde-vlaanderen.be,histories.be,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,https://histories.be/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkundig Museum Tempelhof te Beerse,heemkundig-museum-tempelhof-te-beerse,BE-157519,Belgium,Europe,,True,http://www.devlierbes.be,gaudete.info,ok,200.0,integro,Disponível,Sem evidência pública detectável de audiovisual,Sem evidência suficiente,0,0,0,http://www.gaudete.info/site-vlierbes-wp/
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkundige Kring De Kaeck te Wommelgem,heemkundige-kring-de-kaeck-te-wommelgem,BE-648616,Belgium,Europe,,False,,,sem_site,,sem_site,Indisponível,Site indisponível para verificação,Não verificável,0,0,0,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-648616
ape,ape:2026-04-01T22:10:16Z,2026-05-27T16:47:58Z,2025-12-15,scripts/build_ape_analytics.py,Heemkundige Kring De Poemp te Nijlen,heemkundige-kring-de-poemp-te-nijlen,BE-646149,Belgium,Europe,,True,http://www.depoemp.be,depoemp.be,ok,200.0,integro,Disponível,Evidência pública indireta de audiovisual,Evidência indireta sem regime público identificado,0,1,0,https://depoemp.be/en-gb
