institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Wiener Stadt- und Landesarchiv,wiener-stadt-und-landesarchiv,Austria,Europe,AT-WSTLA,Regional archives Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-WSTLA,True,True,http://www.wien.gv.at/kultur/archiv/,YouTube,https://www.youtube.com/watch?v=SMvcIYZkIgk,Imagefilm Wiener Stadt- und Landesarchiv,Imagefilm Wiener Stadt- und Landesarchiv,Wiener Stadt- und Landesarchiv (MA 8),2013-12-02T05:27:36-08:00
Zisterzienserstift Schlierbach,zisterzienserstift-schlierbach,Austria,Europe,AT-00000001239,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001239,True,True,http://stift-schlierbach.at/,YouTube,https://www.youtube.com/watch?v=nBekKQpnIls,Stift Schlierbach - Moodfilm 2020,Stift Schlierbach - Moodfilm 2020,"Das Stift Schlierbach im oberösterreichischen Traunviertel ist eine Zisterzienser-Abtei, die jährlich rund 30.000 Besucher anlockt. Aus gutem Grund: die baro...",2020-09-25T05:47:22-07:00
Koninklijke Oudheidkundige Kring van het Land van Waas,koninklijke-oudheidkundige-kring-van-het-land-van-waas,Belgium,Europe,BE-414904,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-414904,True,True,http://www.kokw.be/,Vimeo,https://vimeo.com/582449676,,,,
MATRIX - New Music Centre te Leuven,matrix-new-music-centre-te-leuven,Belgium,Europe,BE-206481,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-206481,True,True,http://www.matrix-new-music.be/,YouTube,https://www.youtube.com/watch?v=3VoTKiERFE4&ab_channel=MuziekcentrumDeBijlokeGent,Soundpainting Academy: een taal om live te componeren,Soundpainting Academy: een taal om live te componeren,"Dirigent beweegt, orkest zet instant om in livemuziek: dat is het idee achter 'soundpainting', bedacht door de Amerikaanse componist Walter Thompson. De deel...",2024-08-29T06:13:30-07:00
Rijksarchief te Antwerpen,rijksarchief-te-antwerpen,Belgium,Europe,BE-A0511,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0511,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=antwerpen,YouTube,http://www.youtube.com/watch?v=RDBVItQaAxg,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles? Een vraag die we héél vaak krijgen. Ontdek in deze video onze drie antwoorden! #InternationaleArchiefdag #I...,2023-06-09T01:00:11-07:00
Rijksarchief te Antwerpen,rijksarchief-te-antwerpen,Belgium,Europe,BE-A0511,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0511,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=antwerpen,YouTube,https://youtu.be/wqWP5hlRtcU,Historische kadasterplannen online,Historische kadasterplannen online,De creatie van het ‘primitief’ (in de zin van ‘eerste’) kadaster in de eerste helft van de 19de eeuw ging gepaard met de opmaak van tienduizenden kaarten en ...,2017-05-16T02:41:23-07:00
Rijksarchief te Antwerpen,rijksarchief-te-antwerpen,Belgium,Europe,BE-A0511,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0511,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=antwerpen,YouTube,https://www.youtube.com/watch?v=0nAc8PZDAWM,Instructievideo http://search.arch.be,Instructievideo http://search.arch.be,"Het Rijksarchief bewaart meer dan 350 kilometer archief. Jaarlijks komt daar, na selectie, meer dan 10 km bij. Hoe begin je te zoeken in die onvoorstelbare b...",2016-07-05T00:17:21-07:00
Rijksarchief te Beveren,rijksarchief-te-beveren,Belgium,Europe,BE-A0512,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0512,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=beveren,YouTube,http://www.youtube.com/watch?v=RDBVItQaAxg,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles? Een vraag die we héél vaak krijgen. Ontdek in deze video onze drie antwoorden! #InternationaleArchiefdag #I...,2023-06-09T01:00:11-07:00
Rijksarchief te Beveren,rijksarchief-te-beveren,Belgium,Europe,BE-A0512,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0512,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=beveren,YouTube,https://youtu.be/wqWP5hlRtcU,Historische kadasterplannen online,Historische kadasterplannen online,De creatie van het ‘primitief’ (in de zin van ‘eerste’) kadaster in de eerste helft van de 19de eeuw ging gepaard met de opmaak van tienduizenden kaarten en ...,2017-05-16T02:41:23-07:00
Rijksarchief te Beveren,rijksarchief-te-beveren,Belgium,Europe,BE-A0512,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0512,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=beveren,YouTube,https://www.youtube.com/watch?v=0nAc8PZDAWM,Instructievideo http://search.arch.be,Instructievideo http://search.arch.be,"Het Rijksarchief bewaart meer dan 350 kilometer archief. Jaarlijks komt daar, na selectie, meer dan 10 km bij. Hoe begin je te zoeken in die onvoorstelbare b...",2016-07-05T00:17:21-07:00
Rijksarchief te Brugge,rijksarchief-te-brugge,Belgium,Europe,BE-A0513,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0513,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=brugge,YouTube,http://www.youtube.com/watch?v=RDBVItQaAxg,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles? Een vraag die we héél vaak krijgen. Ontdek in deze video onze drie antwoorden! #InternationaleArchiefdag #I...,2023-06-09T01:00:11-07:00
Rijksarchief te Brugge,rijksarchief-te-brugge,Belgium,Europe,BE-A0513,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0513,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=brugge,YouTube,https://youtu.be/wqWP5hlRtcU,Historische kadasterplannen online,Historische kadasterplannen online,De creatie van het ‘primitief’ (in de zin van ‘eerste’) kadaster in de eerste helft van de 19de eeuw ging gepaard met de opmaak van tienduizenden kaarten en ...,2017-05-16T02:41:23-07:00
Rijksarchief te Brugge,rijksarchief-te-brugge,Belgium,Europe,BE-A0513,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0513,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=brugge,YouTube,https://www.youtube.com/watch?v=0nAc8PZDAWM,Instructievideo http://search.arch.be,Instructievideo http://search.arch.be,"Het Rijksarchief bewaart meer dan 350 kilometer archief. Jaarlijks komt daar, na selectie, meer dan 10 km bij. Hoe begin je te zoeken in die onvoorstelbare b...",2016-07-05T00:17:21-07:00
Rijksarchief te Gent,rijksarchief-te-gent,Belgium,Europe,BE-A0514,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0514,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=gent,YouTube,http://www.youtube.com/watch?v=RDBVItQaAxg,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles?,Waarom digitaliseert het Rijksarchief niet alles? Een vraag die we héél vaak krijgen. Ontdek in deze video onze drie antwoorden! #InternationaleArchiefdag #I...,2023-06-09T01:00:11-07:00
Rijksarchief te Gent,rijksarchief-te-gent,Belgium,Europe,BE-A0514,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0514,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=gent,YouTube,https://youtu.be/wqWP5hlRtcU,Historische kadasterplannen online,Historische kadasterplannen online,De creatie van het ‘primitief’ (in de zin van ‘eerste’) kadaster in de eerste helft van de 19de eeuw ging gepaard met de opmaak van tienduizenden kaarten en ...,2017-05-16T02:41:23-07:00
Rijksarchief te Gent,rijksarchief-te-gent,Belgium,Europe,BE-A0514,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0514,True,True,http://arch.arch.be/index.php?l=nl&m=praktische-info&r=onze-leeszalen&d=gent,Vimeo,https://vimeo.com/1130192197?fl=ip&fe=ec,,,,
