institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,https://www.noel.gv.at/noe/videos/NOe_Wissen.html,ok,200,0,0,,
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,https://www.noel.gv.at/noe/videos/alle/Videos.html,ok,200,0,0,,
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,https://www.noel.gv.at/noe/Kunst-Kultur/Film-Kinokultur.html,ok,200,0,0,,
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,https://www.noel.gv.at/noe/videos/NOe_Aktuell.html,ok,200,0,0,,
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,https://www.noel.gv.at/noe/videos/NOe_History.html,ok,200,0,0,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,https://www.salzburg.gv.at/themen/wirtschaft/wirtschaftsfoerderung/filmfoerderung-kommerziell,ok,200,0,0,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,https://www.salzburg.gv.at/pol/landtag/ausschuesse/video-ausschuss-2014-2018,ok,200,0,0,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,https://www.salzburg.gv.at/pol/landtag/plenum/video-plenum-2013-2022,ok,200,0,0,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,https://www.salzburg.gv.at/pol/landtag/ausschuesse/video-ausschuss-2019-2024,ok,200,0,0,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,https://www.salzburg.gv.at/themen/kultur/kultursparten/film,ok,200,0,0,,
Wiener Stadt- und Landesarchiv,wiener-stadt-und-landesarchiv,Austria,Europe,AT-WSTLA,Regional archives Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-WSTLA,True,True,http://www.wien.gv.at/kultur/archiv/,https://www.wien.gv.at/kultur/film,ok,200,0,0,,
