institution,slug,country,continent,repository_code,archive_type,ape_detail_url,content_available_in_ape,website_available,partner_site,partner_domain,status,http_code,integrity_status,final_url,video_links_found_total,embedded_video_signals_total,candidate_internal_pages,priority_review,warning,error
Benediktinerstift Altenburg,benediktinerstift-altenburg,Austria,Europe,AT-00000001218,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001218,True,True,http://www.stift-altenburg.at/,stift-altenburg.at,ok,200,integro,https://www.stift-altenburg.at/,0,0,0,baixa,,
Diözesanarchiv St. Pölten,di-zesanarchiv-st-p-lten,Austria,Europe,AT-DZSASTP,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-DZSASTP,True,True,http://www.dasp.at/,dasp.at,ok,200,integro,https://www.dasp.at/,0,0,0,baixa,,
Kärntner Landesarchiv,k-rntner-landesarchiv,Austria,Europe,AT-KLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-KLA,True,True,http://www.landesarchiv.ktn.gv.at/214172_DE-Landesarchiv.,landesarchiv.ktn.gv.at,erro,,instavel,http://www.landesarchiv.ktn.gv.at/214172_DE-Landesarchiv.,0,0,0,alta,,Timeout ou falha no carregamento
Niederösterreichisches Landesarchiv,nieder-sterreichisches-landesarchiv,Austria,Europe,AT-NOeLA,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-NOeLA,True,True,http://www.noel.gv.at/Bildung/Landesarchiv-.html,noel.gv.at,ok,200,integro,https://www.noel.gv.at/noe/Landesarchiv/Landesarchiv.html,0,0,5,baixa,,
Oberösterreichisches Landesarchiv,ober-sterreichisches-landesarchiv,Austria,Europe,AT-00000001250,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001250,True,True,http://www.landesarchiv-ooe.at/,landesarchiv-ooe.at,ok,200,integro,https://www.landesarchiv-ooe.at/,0,0,0,baixa,,
Österreichisches Staatsarchiv,sterreichisches-staatsarchiv,Austria,Europe,AT-OeStA,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-OeStA,True,True,http://www.oesta.gv.at,oesta.gv.at,ok,200,integro,https://www.oesta.gv.at/,0,0,0,baixa,,
Salzburger Landesarchiv,salzburger-landesarchiv,Austria,Europe,AT-SLA,Regional archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-SLA,True,True,http://www.salzburg.gv.at/themen/se/salzburg/archive.htm,salzburg.gv.at,http_error,404,quebrado,https://www.salzburg.gv.at/themen/se/salzburg/archive.htm,0,0,5,alta,Titulo da pagina sugere erro ou landing page generica.,
Stiftsarchiv Geras,stiftsarchiv-geras,Austria,Europe,AT-00000001224,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001224,True,True,http://www.stiftgeras.at/,stiftgeras.at,ok,200,integro,https://www.stiftgeras.at/wp/,0,3,0,media,,
Stiftsarchiv Göttweig,stiftsarchiv-g-ttweig,Austria,Europe,AT-00000001225,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001225,True,True,http://www.stiftgoettweig.at/,stiftgoettweig.at,ok,200,integro,https://www.stiftgoettweig.at/,0,0,0,baixa,,
Stiftsarchiv Melk,stiftsarchiv-melk,Austria,Europe,AT-00000001231,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001231,True,True,http://www.stiftmelk.at/,stiftmelk.at,http_error,404,quebrado,http://www.stiftmelk.at/,0,0,0,alta,Titulo da pagina sugere erro ou landing page generica.,
Wiener Stadt- und Landesarchiv,wiener-stadt-und-landesarchiv,Austria,Europe,AT-WSTLA,Regional archives Municipal archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-WSTLA,True,True,http://www.wien.gv.at/kultur/archiv/,wien.gv.at,ok,200,integro,https://www.wien.gv.at/bildung/wiener-stadt-landesarchiv,1,1,1,media,,
Zisterzienserstift Schlierbach,zisterzienserstift-schlierbach,Austria,Europe,AT-00000001239,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001239,True,True,http://stift-schlierbach.at/,stift-schlierbach.at,ok,200,integro,https://www.stift-schlierbach.at/,1,2,0,media,,
Zisterzienserstift Stams,zisterzienserstift-stams,Austria,Europe,AT-00000001240,Church and religious archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=AT-00000001240,True,True,http://www.stiftstams.at,stiftstams.at,ok,200,integro,https://www.stiftstams.at/,0,2,0,media,,
Algemeen Rijksarchief - Archives générales du Royaume Archives générales du Royaume Algemeen Rijksarchief,algemeen-rijksarchief-archives-g-n-rales-du-royaume-archives-g-n-rales-du-royaume-algemeen-rijksarchief,Belgium,Europe,BE-A0510,National archives,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0510,True,True,http://www.arch.be,arch.be,ok,200,integro,https://www.arch.be/,0,0,0,baixa,,
Algemeen Rijksarchief 2 - Archives générales du Royaume 2 (Joseph Cuvelier),algemeen-rijksarchief-2-archives-g-n-rales-du-royaume-2-joseph-cuvelier,Belgium,Europe,BE-A0545,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0545,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0545,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
Archief en Bibliotheek Stichting de Bethune te Marke,archief-en-bibliotheek-stichting-de-bethune-te-marke,Belgium,Europe,BE-243884,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-243884,True,False,,,sem_site,,sem_site,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-243884,0,0,0,media,Instituicao sem webpage externa informada na base consultada.,
Archief van het Koninklijk Paleis - Archives du Palais Royal,archief-van-het-koninklijk-paleis-archives-du-palais-royal,Belgium,Europe,BE-A0546,,https://www.archivesportaleurope.net/advanced-search/search-in-institutions/results-%28institutions%29/?repositoryCode=BE-A0546,True,True,http://www.arch.be,arch.be,ok,200,integro,https://www.arch.be/,0,0,0,baixa,,
