tipo_institucional,total
Não informado no APE,395
University and research archives,175
County/local authority archives,166
Municipal archives,144
Specialised non-governmental archives and archives of other cultural (heritage) institutions,103
Regional archives,89
National archives,75
Church and religious archives,36
Business archives,20
"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",18
Specialised governmental archives,15
Private persons and family archives,12
Regional archives Municipal archives,1
"Regional archives County/local authority archives Municipal archives Specialised governmental archives Private persons and family archives Church and religious archives Business archives University and research archives Media archives Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",1
National archives Regional archives,1
Media archives,1
"University and research archives Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations Specialised non-governmental archives and archives of other cultural (heritage) institutions",1
