tema,pais,total
Comunicação institucional,United Kingdom,76
Comunicação institucional,Greece,36
Comunicação institucional,Sweden,35
Comunicação institucional,Hungary,32
Comunicação institucional,Norway,25
Digitalização e acesso,Belgium,18
Comunicação institucional,France,13
Comunicação institucional,Germany,11
Acervo e patrimônio,Spain,8
Música e performance,Italy,8
Exposições e eventos,United Kingdom,7
Música e performance,United Kingdom,7
Coleções e serviços,United Kingdom,6
Digitalização e acesso,Italy,6
Digitalização e acesso,United Kingdom,6
História e pesquisa,Germany,6
Tema não identificado,United Kingdom,6
Apresentação institucional,United Kingdom,5
Comunicação institucional,Switzerland,5
Digitalização e acesso,Germany,5
Música e performance,Hungary,5
Música e performance,Norway,5
Comunicação institucional,Poland,4
Tema não identificado,Spain,4
Acervo e patrimônio,Germany,3
Apresentação institucional,Portugal,3
Comunicação institucional,Italy,3
Divulgação de serviços e projetos,Poland,3
Divulgação de serviços e projetos,United Kingdom,3
História e pesquisa,Poland,3
Preservação e conservação,Spain,3
Visita e descoberta do arquivo,United Kingdom,3
Acervo e patrimônio,Italy,2
Acervo e patrimônio,United Kingdom,2
Apresentação institucional,Austria,2
Apresentação institucional,Netherlands,2
Comunicação institucional,Spain,2
Exposições e eventos,France,2
Formação e mediação,Norway,2
História e pesquisa,Spain,2
História e pesquisa,Switzerland,2
História e pesquisa,United Kingdom,2
Música e performance,Greece,2
Preservação e conservação,France,2
Preservação e conservação,Norway,2
Tema não identificado,Belgium,2
Visita e descoberta do arquivo,France,2
Acervo e patrimônio,Hungary,1
Apresentação institucional,Germany,1
Coleções e serviços,Greece,1
Comunicação institucional,Czech Republic,1
Comunicação institucional,Iceland,1
Comunicação institucional,Ireland,1
Comunicação institucional,Isle of Man,1
Exposições e eventos,Norway,1
Formação e mediação,Belgium,1
Formação e mediação,Italy,1
Formação e mediação,United Kingdom,1
História e pesquisa,Greece,1
História e pesquisa,Norway,1
História e pesquisa,Sweden,1
Música e performance,Germany,1
Música e performance,Spain,1
Tema não identificado,France,1
Tema não identificado,Germany,1
Visita e descoberta do arquivo,Germany,1
