tema,plataforma,total
Comunicação institucional,YouTube,203
Digitalização e acesso,YouTube,30
Comunicação institucional,Vimeo,29
Música e performance,YouTube,27
História e pesquisa,YouTube,14
Tema não identificado,Vimeo,14
Acervo e patrimônio,YouTube,12
Comunicação institucional,Instagram,11
Apresentação institucional,YouTube,8
Preservação e conservação,YouTube,7
Exposições e eventos,YouTube,6
Divulgação de serviços e projetos,YouTube,5
Formação e mediação,YouTube,5
Exposições e eventos,Instagram,4
Visita e descoberta do arquivo,YouTube,4
Acervo e patrimônio,Instagram,3
Apresentação institucional,Instagram,3
Coleções e serviços,Instagram,3
Coleções e serviços,YouTube,3
Comunicação institucional,Facebook,3
História e pesquisa,Instagram,3
Apresentação institucional,Facebook,2
Digitalização e acesso,Instagram,2
Digitalização e acesso,Internet Archive,2
Visita e descoberta do arquivo,Instagram,2
Acervo e patrimônio,Internet Archive,1
Coleções e serviços,Vimeo,1
Digitalização e acesso,Vimeo,1
Divulgação de serviços e projetos,Instagram,1
História e pesquisa,Vimeo,1
Música e performance,Instagram,1
Música e performance,Vimeo,1
