tema,tipo_institucional,total
Comunicação institucional,Specialised non-governmental archives and archives of other cultural (heritage) institutions,78
Comunicação institucional,University and research archives,37
Comunicação institucional,National archives,30
Comunicação institucional,Church and religious archives,29
Comunicação institucional,Não informado no APE,29
Comunicação institucional,County/local authority archives,21
Digitalização e acesso,Não informado no APE,18
Música e performance,Não informado no APE,12
Acervo e patrimônio,National archives,8
Comunicação institucional,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",8
Comunicação institucional,Media archives,7
Digitalização e acesso,National archives,6
Exposições e eventos,University and research archives,6
Música e performance,National archives,6
Música e performance,University and research archives,6
Tema não identificado,University and research archives,5
Apresentação institucional,University and research archives,4
Coleções e serviços,University and research archives,4
Digitalização e acesso,University and research archives,4
Formação e mediação,Não informado no APE,4
História e pesquisa,Specialised non-governmental archives and archives of other cultural (heritage) institutions,4
Tema não identificado,National archives,4
Acervo e patrimônio,Não informado no APE,3
Acervo e patrimônio,University and research archives,3
Apresentação institucional,Regional archives,3
Apresentação institucional,Specialised non-governmental archives and archives of other cultural (heritage) institutions,3
Coleções e serviços,Specialised non-governmental archives and archives of other cultural (heritage) institutions,3
Comunicação institucional,Regional archives,3
Digitalização e acesso,Municipal archives,3
Divulgação de serviços e projetos,Regional archives,3
História e pesquisa,Church and religious archives,3
História e pesquisa,Regional archives,3
Música e performance,Specialised non-governmental archives and archives of other cultural (heritage) institutions,3
Preservação e conservação,Não informado no APE,3
Acervo e patrimônio,Municipal archives,2
Apresentação institucional,Church and religious archives,2
Comunicação institucional,Business archives,2
Divulgação de serviços e projetos,University and research archives,2
Exposições e eventos,County/local authority archives,2
História e pesquisa,Municipal archives,2
História e pesquisa,National archives,2
História e pesquisa,University and research archives,2
Preservação e conservação,County/local authority archives,2
Preservação e conservação,National archives,2
Tema não identificado,County/local authority archives,2
Tema não identificado,Não informado no APE,2
Visita e descoberta do arquivo,County/local authority archives,2
Visita e descoberta do arquivo,University and research archives,2
Apresentação institucional,Regional archives Municipal archives,1
Comunicação institucional,Municipal archives,1
Comunicação institucional,Specialised governmental archives,1
Digitalização e acesso,Church and religious archives,1
Digitalização e acesso,County/local authority archives,1
Digitalização e acesso,Regional archives,1
Digitalização e acesso,Specialised non-governmental archives and archives of other cultural (heritage) institutions,1
Divulgação de serviços e projetos,Media archives,1
Exposições e eventos,Media archives,1
Exposições e eventos,Não informado no APE,1
Formação e mediação,University and research archives,1
História e pesquisa,Business archives,1
História e pesquisa,Não informado no APE,1
Música e performance,Church and religious archives,1
Música e performance,Municipal archives,1
Tema não identificado,Specialised non-governmental archives and archives of other cultural (heritage) institutions,1
Visita e descoberta do arquivo,Church and religious archives,1
Visita e descoberta do arquivo,Media archives,1
