visibilidade,tipo_institucional,total
Site indisponível para verificação,Não informado no APE,217
Sem evidência pública detectável de audiovisual,Não informado no APE,132
Site indisponível para verificação,County/local authority archives,71
Site indisponível para verificação,Municipal archives,62
Potencial audiovisual em navegação interna,University and research archives,53
Potencial audiovisual em navegação interna,County/local authority archives,50
Site indisponível para verificação,University and research archives,45
Sem evidência pública detectável de audiovisual,Regional archives,43
Sem evidência pública detectável de audiovisual,Municipal archives,42
Sem evidência pública detectável de audiovisual,University and research archives,41
Sem evidência pública detectável de audiovisual,National archives,36
Sem evidência pública detectável de audiovisual,County/local authority archives,31
Site indisponível para verificação,Regional archives,31
Potencial audiovisual em navegação interna,Specialised non-governmental archives and archives of other cultural (heritage) institutions,30
Evidência pública detectável de audiovisual,University and research archives,27
Sem evidência pública detectável de audiovisual,Specialised non-governmental archives and archives of other cultural (heritage) institutions,27
Potencial audiovisual em navegação interna,Municipal archives,26
Site indisponível para verificação,Specialised non-governmental archives and archives of other cultural (heritage) institutions,25
Potencial audiovisual em navegação interna,Não informado no APE,21
Evidência pública detectável de audiovisual,National archives,15
Evidência pública detectável de audiovisual,Specialised non-governmental archives and archives of other cultural (heritage) institutions,15
Evidência pública detectável de audiovisual,Não informado no APE,13
Sem evidência pública detectável de audiovisual,Church and religious archives,13
Site indisponível para verificação,National archives,13
Evidência pública indireta de audiovisual,Não informado no APE,12
Site indisponível para verificação,Private persons and family archives,12
Evidência pública detectável de audiovisual,County/local authority archives,10
Potencial audiovisual em navegação interna,Regional archives,10
Evidência pública indireta de audiovisual,University and research archives,9
Evidência pública detectável de audiovisual,Church and religious archives,8
Evidência pública indireta de audiovisual,Municipal archives,8
Potencial audiovisual em navegação interna,National archives,8
Potencial audiovisual em navegação interna,Business archives,7
Sem evidência pública detectável de audiovisual,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",7
Site indisponível para verificação,Church and religious archives,7
Site indisponível para verificação,Specialised governmental archives,7
Evidência pública detectável de audiovisual,Municipal archives,6
Evidência pública indireta de audiovisual,Specialised non-governmental archives and archives of other cultural (heritage) institutions,6
Sem evidência pública detectável de audiovisual,Business archives,6
Evidência pública indireta de audiovisual,Church and religious archives,5
Site indisponível para verificação,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",5
Site indisponível para verificação,Business archives,5
Evidência pública indireta de audiovisual,County/local authority archives,4
Potencial audiovisual em navegação interna,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",4
Potencial audiovisual em navegação interna,Specialised governmental archives,4
Evidência pública detectável de audiovisual,Regional archives,3
Evidência pública indireta de audiovisual,National archives,3
Potencial audiovisual em navegação interna,Church and religious archives,3
Evidência pública detectável de audiovisual,Business archives,2
Evidência pública indireta de audiovisual,Regional archives,2
Sem evidência pública detectável de audiovisual,Specialised governmental archives,2
Evidência pública detectável de audiovisual,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",1
Evidência pública detectável de audiovisual,Media archives,1
Evidência pública detectável de audiovisual,Regional archives Municipal archives,1
Evidência pública detectável de audiovisual,Specialised governmental archives,1
Evidência pública indireta de audiovisual,"Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",1
Evidência pública indireta de audiovisual,Specialised governmental archives,1
Potencial audiovisual em navegação interna,"Regional archives County/local authority archives Municipal archives Specialised governmental archives Private persons and family archives Church and religious archives Business archives University and research archives Media archives Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations",1
Site indisponível para verificação,National archives Regional archives,1
Site indisponível para verificação,"University and research archives Archives of political parties, popular/labour movement and other non-governmental organisations, associations, agencies and foundations Specialised non-governmental archives and archives of other cultural (heritage) institutions",1
