institution,slug,country,continent,repository_code,archive_type,aqshf_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/prishja-e-xhamise/,Prishja e xhamise,Xhirime arkivore bruto,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: IV/1-x | duração: 0:33 | croma: Bardhë e zi | local: Shqiperi | produtor: Kinostudio “Shqipëria e re | Materialet janë pa zë. | Pamje e nje xhamie te rrenuar dhe dikush qe prixh minaren me kazem. Prishja e objekteve te kultit. Vendndodhja e xhamise eshte e pa identifikuar.,2026-01-30,Prishja e xhamise,2026-01-30,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/kur-bien-sirenat/,Kur bien sirenat,Dokumentar ushtarak,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: V/2-10 | duração: 33 | croma: Bardhë e Zi | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” dhe Sektori i Prodhimit Kinematografik te Ushtrise Popullore | Film dokumentar ushtarak mesimor mbi veprimet e forcave vullnetare dhe te popullesise per vetembrojtje, per mbrojtjen e qytetit dhe likuidimin e pasovave ne rast sulmi ajror armik. | Film dokumentar ushtarak mesimor mbi veprimet e forcave vullnetare dhe te popullesise per vetembrojtje, per mbrojtjen e qytetit dhe likuidimin e pasovave ne rast sulmi ajror armik.",2026-01-24,Kur bien sirenat,2026-01-24,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/178644/,178644,Film artistik,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: bosh | Kodi i referencës bosh Titulli Sinopsi Çmime Skenarist Teksti Regjisor Kompozitor Operator Piktor Montazhier Zëri Aktorë Kategoria Film artistik Kroma Viti i prodhimit Viti i…,2024-01-25,178644,2024-01-25,Ficção cinematográfica,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/174743/,174743,Documentaries,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-1026 | Kodi i referencës I/2-1026 Titulli Sinopsi Çmime Skenarist Teksti Regjisor Kompozitor Operator Piktor Montazhier Zëri Kategoria Documentaries Kroma Viti i prodhimit Viti i premierës Numri…,2023-12-17,174743,2023-12-17,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/aksion-per-ndertimin-e-banesave/,Aksion per ndertimin e banesave,Dokumentare,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-361 | direção: Fehmi Hoshafi | câmera: Hamdi Ferhati | duração: 9:26 | croma: Bardhe e zi/td> | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Filmi i kushtohet aksionit me goditje te perqendruar per ndertim banesash ne Peshkopi. | Kodi i referencës I/2-361 Titulli Aksion per ndertimin e banesave Sinopsi Pamje e pergjithshme e Peshkopise. Makina me vullnetare vijne ne Peshkopi. Pamje malesh me…,2023-12-17,Aksion per ndertimin e banesave,2023-12-17,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/kuvend-i-zjarrte-i-unitetit-vizita-e-ramiz-alise-ne-rrethin-e-korces-ersekes-dhe-pogradecit/,"Kuvend i zjarrte i unitetit. Vizita e Ramiz Alisë në rrethin e Korçës, Ersekës dhe Pogradecit",Documentaries,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/2-955 | local: Shqiperi | produtor: Kinostudio “Shqiperia e re” | Kodi i referencës I/2-955 Titulli Kuvend i zjarrte i unitetit. Vizita e Ramiz Alisë në rrethin e Korçës, Ersekës dhe Pogradecit Sinopsi Dokumentar për vizitën…",2023-12-17,"Kuvend i zjarrte i unitetit. Vizita e Ramiz Alisë në rrethin e Korçës, Ersekës dhe Pogradecit",2023-12-17,Documentário e registro histórico,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/3-ne-1/,3 në 1,Filma vizatimorë,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/4-175 | croma: Me ngjyra | Kodi i referencës I/4-175 Titulli 3 në 1 Sinopsi Skenarist Regjisor Kompozitor Operator Piktor Montazhier Zëri Kategoria Filma vizatimorë Kroma Me ngjyra Viti Kohëzgjatja (në…,2023-11-02,3 në 1,2023-11-02,Animação,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/abetarja-dhe-zogjet-e-oltes/,Abetarja dhe zogjet e Oltes,Filma vizatimorë,Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/4-121 | direção: Bujar Erebara | câmera: Vangjush Valla | duração: 6.5 | croma: Me ngjyra | Kodi i referencës I/4-121 Titulli Abetarja dhe zogjet e Oltes Sinopsi Oltes se vogel i pelqejne shume zogjte e vegjel qe jane ne Abetare. Ajo…,2023-11-02,Abetarja dhe zogjet e Oltes,2023-11-02,Animação,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/agroni-dhe-nafta/,Agroni dhe nafta,Filma vizatimorë,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/4-22 | direção: Boris Ikonomi | câmera: Tomi Vaso | duração: 7.2 | croma: Me ngjyra | Kodi i referencës I/4-22 Titulli Agroni dhe nafta Sinopsi Agron kerkon te pastroje me nje shishe nafte qe merr ne laboratorin e shkolles, por shoqet…",2023-11-02,Agroni dhe nafta,2023-11-02,Animação,Catálogo descritivo audiovisual institucional
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,AQSHF,https://aqshf.gov.al/motion_picture/ah-lepurusha-lepurusha/,"Ah lepurusha, lepurusha!",Filma vizatimorë,"Registro descritivo público do catálogo Motion Pictures do AQSHF; ficha audiovisual sem pressupor player aberto ou download de mídia. | código de referência: I/4-37 | direção: Artan Maku | câmera: Diana Diamanti | duração: 9.1 | croma: Me ngjyra | Kodi i referencës I/4-37 Titulli Ah lepurusha, lepurusha! Sinopsi Debora ka mbuluar gjithshka dhe lepurushat nga qe s’kane c’te hane, brejne lekuret e pemeve te…",2023-11-02,"Ah lepurusha, lepurusha!",2023-11-02,Animação,Catálogo descritivo audiovisual institucional
