institution,slug,country,continent,repository_code,archive_type,aqshf_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/,ok,200,0,0,Página oficial do arquivo nacional albanês de filmes.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/en/motion-pictures-listing/,ok,200,0,0,Listagem pública Motion Pictures usada como evidência de rota catalográfica.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/en/statistics/,ok,200,0,0,Página institucional de estatísticas e descrição do acervo audiovisual.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=1&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 1 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=2&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 2 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=3&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 3 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=4&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 4 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=5&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 5 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=6&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 6 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=7&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 7 de 28 do endpoint WordPress público `motion_picture`.,
Arkivi Qendror Shtetëror i Filmit / The Albanian National Film Archive,arkivi-qendror-shtet-ror-i-filmit-the-albanian-national-film-archive,Albania,Europe,AL-AQSHF,Institutional film archive,https://aqshf.gov.al/,True,True,https://aqshf.gov.al/,https://aqshf.gov.al/wp-json/wp/v2/motion_picture?per_page=100&page=8&_fields=id%2Cdate%2Cmodified%2Cslug%2Ctitle%2Clink%2Ccontent%2Cexcerpt,ok,200,100,0,Página 8 de 28 do endpoint WordPress público `motion_picture`.,
