institution,slug,country,continent,repository_code,archive_type,archipop_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-petite-reine-en-fete-570-7543-1-0.html,Petite Reine en fête,Cyclisme Tour de France,"registro ARCHIPOP 7543 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0590-0599/0590NN0005?feature=oembed | duração: 00:37:11 | formato: Fichier numérique | som: Sonore | coleção: Jean LEJARRE | Lille le vendredi 1er juillet et samedi 2 juillet 1994 accueille le départ du Tour de France. Images du Tour de France entrecoupées des commentaires de Jean Lejarre (commentateur sportif, commentateur historique, dévoilant les coulisses, l'envers du décor, la vie à Lille pendant le Tour).",1994
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-fouilles-archeologiques-de-lille-59-570-11477-1-0.html,Fouilles archéologiques de Lille (59),Archéologie Centre ville Fouille archéologique Moyen-Âge Place (lieu public),"registro ARCHIPOP 11477 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0670_0679/0677FS0174?feature=oembed | duração: 00:09:34 | formato: Film 16 mm | som: Muet | coleção: SERVICE RÉGIONAL DE L'ARCHÉOLOGIE HAUTS-DE-FRANCE | Contexte : Le site archéologique de la Grand'Place (Lille, Nord) a été fouillé en plein centre ville de 1987 à 1989. Il a livré plusieurs états de la place du marché de la ville à l'époque médiévale. Contenu : Fouille de la place du Général de Gaulle, Grand place de Lille. Vue sur la place, visiteurs derrière barrière Heras, bâtiments de la place. Chantier, relevé dans cadre de relevé, fouilleur avec appareil photo, fouilleur au travail. Fouille au sceau. Structures circulaires alignées. Très hautes grilles encadrent le chantier. Vue sur la statue et panote sur les passants dans la rue, puis sur le chantier, en plongée, vue de haut. Deux gr...",1989 environ
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-fouilles-archeologiques-de-saint-maur-60-570-11443-1-0.html,Fouilles archéologiques de Saint-Maur (60),Archéologie Fouille archéologique,"registro ARCHIPOP 11443 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0670_0679/0677FS0124?feature=oembed | duração: 00:08:00 | formato: Film 16 mm | som: Muet | coleção: SERVICE RÉGIONAL DE L'ARCHÉOLOGIE HAUTS-DE-FRANCE | Contexte : La statuette d'un guerrier gaulois en métal a été découverte en 1984 à Saint-Maur (Oise). Le caractère exceptionnel de cet objet a tout de suite été perçu. Il fut donc l'objet d'une première restauration en 1986 en vue de sa présentation au Musée de l'Oise. Suite à cette découverte, des fouilles archéologiques ont été menées à Saint-Maur dans les années 80-90 et ont permis de mettre au jour un sanctuaire d'époque gauloise. Contenu : Un fouilleur en bord de coupe dégage à la truelle des objets longilignes. Panote vers homme à la cigarette creuse devant un mur (?). / Un homme recouvre une paroi du sondage de substance blanche (late...",1988
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-reconstitution-d-une-maison-en-bois-et-fouilles-archeologiques-a-saint-maur-60-570-11452-1-0.html,Reconstitution d'une maison en bois et fouilles archéologiques à Saint-Maur (60),Archéologie Fouille archéologique,"registro ARCHIPOP 11452 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0670_0679/0677FS0135?feature=oembed | duração: 00:02:20 | formato: Film 16 mm | som: Muet | coleção: SERVICE RÉGIONAL DE L'ARCHÉOLOGIE HAUTS-DE-FRANCE | Contexte : La statuette d'un guerrier gaulois en métal a été découverte en 1984 à Saint-Maur (Oise). Le caractère exceptionnel de cet objet a tout de suite été perçu. Il fut donc l'objet d'une première restauration en 1986 en vue de sa présentation au Musée de l'Oise. Suite à cette découverte, des fouilles archéologiques ont été menées à Saint-Maur dans les années 80-90 et ont permis de mettre au jour un sanctuaire d'époque gauloise. Contenu : Archéosite, archéologie expérimentale, montage de maisons en poteaux de bois. Poteaux verticaux et horizontaux sont emboîtés. // Fouille d'un trou de poteaux et d'une fosse dans substrat argileux. Deu...",1987
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-star-la-570-10914-1-0.html,Star (La),Acteur Caméra Cinéma (art) Métier de l'audiovisuel,"registro ARCHIPOP 10914 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0730_0739/0730FI0005?feature=oembed | duração: 00:06:08 | formato: Film super 8 | som: Sonore | coleção: Benoît DOOREMONT | Ce film serait un making-of d’interviews. Toute une équipe de cinéma tourne au sein d’un salon, et réalise une interview, sans qu’on accède au contenu de l’interview. On entend l’équipe au travail, le bruit de la caméra en fonctionnement. En intérieur, un homme est assit sur une chaise, une femme le maquille une autre femme se tient debout à côté de lui ainsi qu'un homme se tient debout derrière lui . Un homme installe une caméra. Le preneur de son : un homme porte un casque et démêle des câbles, il a une perche à côté de lui. ”La star” : L'homme qui se faisait maquillé est assit à une table. Le directeur de la photographie : un homme se rapproche de lui avec un posemè...",1987
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-creche-1985-l-ecole-des-fans-2-570-10461-1-0.html,Crèche 1985 - L'école des fans 2,Chant (art) Danse (spectacle) Enfant Spectacle,"registro ARCHIPOP 10461 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0770_0779/0772FI0015?feature=oembed | duração: 00:03:20 | formato: Film super 8 | som: Sonore | coleção: André-Jean COLIN | Les enfants de la crèche d'Airaines présentent ""l'école des fans"", un spectacle sur scène où les enfants participent à un concours de chants et à des danses chorégraphiées en groupe. Ici les enfants interprètent chacun leur tour une chanson de Renaud, puis sont notés par leurs camarades. Le groupe danse ensuite au rythme du ""Bal masqué"" de la Compagnie créole. La crèche-garderie d'Airaines existe toujours, elle y accueille des enfants jusqu'à l'âge de 14 ans environ.",1985
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-gloire-a-marie-ii-forge-caloin-etaples-album-famille-570-2013-1-0.html,Gloire à Marie II - Forge Caloin - Etaples + Album famille,Bateau Pêche Photographie (art),registro ARCHIPOP 2013 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0320_0329/0325VM0008?feature=oembed | duração: 00:18:50 | formato: Umatic SP | som: Sonore | coleção: Alain PREVOST | Gloire à Marie II . 6 février 1985. Forge Caloin à Etaples - Loth. Mise à l'eau du Gloire à Marie. Bénédiction. Célébration religieuse.,1985
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-vacances-juillet-85-etc.-570-12723-1-0.html,Vacances juillet 85 etc.,Architecte Cimetière Monument commémoratif Parc d'attractions Pédalo Repas Tombe,"registro ARCHIPOP 12723 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0800_0809/0807FI0006?feature=oembed | duração: 00:20:45 | formato: Film super 8 | som: Muet | coleção: René SINTIVE | Dans une maison, un homme et une femme étudient des dessins industriels flous sur une table, entourés d'objets décoratifs. La fenêtre offre une vue sur la rue. Plus loin, dans la même maison, un oiseau est en cage et des personnes sont attablées dans la cuisine. Dans un parc, un panneau indique ""Chercheur de Dieu, main accrochée à Jesus-Christ, main ouverte au partage, son bagage : l'évangile, un livre à prières, un chapelet, en marche toujours pelerin"", à côté d'une statue. Des enfants traversent une place près d'une église. Un panneau indique ""Maison natale de St Benoit Labre"" à Amettes 62. La maison, le chemin de croix, la chapelle, les portraits de saint et les vitraux s...",1985
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-any-martin-rieux-570-2160-1-0.html,Any Martin Rieux,Voiture à pédales,registro ARCHIPOP 2160 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0340_0349/0346FS0017?feature=oembed | duração: 00:01:39 | formato: Film 16 mm | som: Muet | coleção: Jean-Didier BOUTTÉE | Course de voitures à pédales,1984
ARCHIPOP,archipop,France,Europe,FR-ARCHIPOP,Institutional audiovisual archive,https://archipop.org/,True,True,https://lesfilms.archipop.org/,Archipop,https://lesfilms.archipop.org/les-films-atelier-dessin-a-montataire-partie-1-570-5128-1-0.html,Atelier Dessin à Montataire - Partie 1,Animateur socio-culturel Atelier pédagogique Dessin (art) Enfant Peinture (art),"registro ARCHIPOP 5128 | player incorporado: https://diazarchipop.oembed.diazinteregio.org/embed/0610-0619/0616FI0055?feature=oembed | duração: 00:02:39 | formato: Film super 8 | som: Sonore | coleção: Daniel LADRIX | Claudie, animatrice d'un atelier dessin à Montataire depuis octobre 1979 encadre un groupe d'enfants. La jeune femme questionne chaque enfant sur sa peinture. Elle est interviewée sur les objectifs de l'atelier par le réalisateur du reportage (membre du Club de cinéma amateur de Montataire) : ""Les objectifs, c'est d'apporter le moyen au plus grand nombre d'enfants d'utiliser la peinture comme moyen de distraction. C'est l'atelier de la ville qui ne doit en aucun cas supplanter les carences de l'école. La caractéristique principale de l'atelier, c'est qu'ici les enfants font un travail libre. Ce qui n'exclut pas que moi je propose quand même assez régulièrement des exercice...",1980
