institution,slug,country,continent,repository_code,archive_type,asim_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Viure%20a%20Mallorca%20V%20(part%201)/asim::167b348730829c9c68bc631b377b9f09,Viure a Mallorca V (part 1),Amateur film | Maria Valls (craftswoman) / Miquela Balleser (craftswoman) / Majorca / Campos / flour mill / bobbin lace,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Living in Majorca (part 1) | gênero: Amateur film | duração: 00:10:36 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/196405041 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1967 | Documentary about Mallorca in which some cultural activities of the cultural tradition are presented: a flour mill (specifically Can Soler de Campos) and the bobbin lace with the artisans Maria Valls and Miquela Ballester. The documentary was supposed to be part of a series dedicated to this subject but, finally, was not completed.",2002,Viure a Mallorca V (part 1),2002-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Viure%20a%20Mallorca%20V%20(part%202)/asim::b119d48ad68a20d453deb1f1a6631f17,Viure a Mallorca V (part 2),Amateur film | Andreu Ballester (farmer) / Margalida Penya (craftswoman) / Majorca / Llucmajor / grafting / soap / almond / shell,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Living in Majorca (part 2) | gênero: Amateur film | duração: 00:13:44 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/196405101 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1968 | Documentary about Mallorca where some artisan activities of the cultural tradition are presented: the art of grafting fruit trees, with the master Andreu Ballester; the manufacture of soap with the fat left over from the slaughterings or of the remains of oil from the mill; the elaboration of the delicious “tambor” of almond and the delicate crafts made with shells, presented by Margalida Penya, from Llucmajor. The documentary was supossed to be part of a series dedicated to this subject but, finally, was not completed.",2002,Viure a Mallorca V (part 2),2002-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Viure%20a%20Mallorca%20V%20(part%203)/asim::ee89cf13af9629d81e61dde532c576d9,Viure a Mallorca V (part 3),Amateur film | Majorca / hunting / slab / flour / kneader / rind / pastry,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Living in Majorca (part 3) | gênero: Amateur film | duração: 00:10:38 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/196405184 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1969 | Documentary about Mallorca in which some traditional activities of the cultural tradition are revealed: the traditional hunting of birds (blackbirds, thrushes, etc.) with slabs; the preparation of wheat flour in the kneader to make bread, pastry and cakes (cake of “raïssons”, pork rinds, which is typical of the time of the slaughter of the pig). The documentary was to be part of a series dedicated to this subject that, finally, was not completed.",2002,Viure a Mallorca V (part 3),2002-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Un%20temps,%20els%20calciners%20(part%201)/asim::02840ba0280528a763a41affe556f919","Un temps, els calciners (part 1)",Amateur film | Pedro Escribano (lime maker) / Majorca / Felanitx / lime / kiln / limestone / oven / fire / timber / fig bread,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: One time, the lime makers (part 1) | gênero: Amateur film | duração: 00:11:23 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/149314977 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1882 | Documentary filmed in Felanitx (Mallorca) in Pedro Escribano's lime kiln. We are shown how to make a lime kiln, the preparation of limestone and how the blocks are placed in rows inside the oven alongside pieces of timber that fuel the fire and separate the different layers of blocks. Finally, the oven is closed with stones, forming a kind of vault called fig bread, which is covered with a thin layer of fused lime so the fire does not escape between the interstices.",1992,"Un temps, els calciners (part 1)",1992-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Un%20temps,%20els%20calciners%20(part%202)/asim::9ae8c3c50c2d5c3b1b0245ef48e53902","Un temps, els calciners (part 2)",Amateur film | Pedro Escribano (lime maker) / Majorca / Felanitx / lime / kiln / fire / limestone / quicklime,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: One time, the lime makers (part 2) | gênero: Amateur film | duração: 00:12:24 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/149315162 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1883 | Documentary filmed in Felanitx (Mallorca) in Pedro Escribano's lime kiln. A fire is lit in the lime kiln and the process continues by observing the changes of colour of the stones. At the end, the stones are tested to see if the process is finished, the limestone blocks that keep the proper conditions are extracted. The final products are fused lime, of which the fusion process is shown, and quicklime.",1992,"Un temps, els calciners (part 2)",1992-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/P%C3%A0tria%20Cabrera%20(part%201)/asim::e8affdca707fbe58968ff181f1bea102,Pàtria Cabrera (part 1),Amateur film | Cabrera / Cap Ventós / N’Ensiola / island / boat / seagull / islet / cape / cove / lighthouse / castle / port / beach / harvest / salt,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Homeland Cabrera (part 1) | gênero: Amateur film | duração: 00:12:12 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/193870587 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1943 | Documentary of the island of Cabrera. A boat arrives to the island and a seagull speaks of the islets that surround it, after naming the capes, the coves, the lighthouses. We see the castle and the port of Cabrera full of sailing boats. The seagull perches on a boat to tour around the island from Ventós cape. We see different beaches, the harvest of the cocó salt and we arrive at the tip of n'Ensiola with its lighthouse.",1991,Pàtria Cabrera (part 1),1991-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/P%C3%A0tria%20Cabrera%20(part%202)/asim::5ac72f2bf5bf4994195729604cbc9955,Pàtria Cabrera (part 2),Amateur film | Cabrera / Cap Llebeig / Can Feliu / Picamosques / N’Ensiola / island / seagull / boat / cape / port / castle / summer / camp / hiker / monument / french / hill / lighthouse,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Homeland Cabrera (part 2) | gênero: Amateur film | duração: 00:11:40 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/193871264 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1944 | Documentary of the island of Cabrera. The tour around the island continues with the gull and the boat. We see the Llebeig cape and the port of Cabrera with its castle. The history of the island is reviewed. Young people involved in a summer work camp clean the island. Hikers visit the monument of the French, the growing area of Can Feliu, the hill of na Picamosques and the lighthouse of n'Ensiola.",1991,Pàtria Cabrera (part 2),1991-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/P%C3%A0tria%20Cabrera%20(part%203)/asim::55d2a12527a587c3f95820884338a83e,Pàtria Cabrera (part 3),Amateur film | Cabrera / Cova de Santa Maria / Cova dels Coloms / Cova d’en Marc / Cova Blava / Colònia de Sant Jordi / Majorca / Ses Salines / island / cove / ship / sunset / seagull / boat / newspaper / park,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Homeland Cabrera (part 3) | gênero: Amateur film | duração: 00:11:30 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/193871806 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1945 | Documentary of the island of Cabrera. The tour to the island makes a stop in the cove of Santa Maria and we see several caves (dels Coloms, d'en Marc, Blava) and islets. Finally the ship arrives at Colònia de Sant Jordi (ses Salines) at sunset. The next day, the seagull returns to Cabrera on the boat. Different newspaper clippings show the appointment of Cabrera as a national park.",1991,Pàtria Cabrera (part 3),1991-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Un%20temps,%20els%20teixidors/asim::1b6822219ee0a62f1aa35ea6ea8cb0c2","Un temps, els teixidors",Amateur film | Guillem Bujosa Rosselló (weaver) / Majorca / Santa Maria del Camí / weaver / verse / tool / shuttle / spinning wheel / press / guild / loom / workshop / artworks / fabric,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: One time, the weavers | gênero: Amateur film | duração: 00:11:14 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/149315511 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1888 | Documentary filmed in Can Bujosa in Santa Maria del Camí (Mallorca). Mestre Guillem Bujosa Rossello is the oldest weaving mestre (""master"") in Mallorca. He recites some verses while working and shows us the various tools of his trade, including the shuttles and the spinning wheel. His son Guillem Bujosa shows a fabric press from the 16th century. We see the patrons of the weavers' guild. Mestre William makes a demonstration of how the loom works while we are given a series of biographical and historical notes about his workshop. Finally, we can see some different types of fabrics and artworks.",1991,"Un temps, els teixidors",1991-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Arxiu del So i de la Imatge de Mallorca,arxiu-del-so-i-de-la-imatge-de-mallorca,Spain,Europe,ES-ASIM,Institutional film and audiovisual archive,https://www.conselldemallorca.es/asim,True,True,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Conradors%20d%E2%80%99un%20temps%20perdut%20(part%201)/asim::572be82ebee81c41e03c6ea33d14ee00,Conradors d’un temps perdut (part 1),Amateur film | Porreres / Majorca / wheat / sowing / plough / ear / autumn / spring / summer / harvest / stook / cart / threshing floor / sheaf,"Ficha pública do ASIM no European Film Gateway, com acesso mediado por EFG/Mémoire Filmique e player quando detectado. | título alternativo: Growers of a lost time (Part 1) | gênero: Amateur film | duração: 00:13:45 | coleção: Films Gabriel Mayans | direção: Gabriel Mayans | produtora: Onso Films | cor: Colour | som: With sound | direitos: In Copyright / Gabriel Mayans | fonte de mídia: https://vimeo.com/149314556 | ver também: https://memoirefilmiquedusud.eu/idurl/1/1879 | Documentary filmed in Porreres (Mallorca) where we can see the different tasks involved in growing wheat. We see the sowing in autumn and the ploughing, the growth of the seeds and their spring flowering that reveals green ears. In the summer, it is time for the harvest and as the stooks are formed, they are loaded on the cart and transported to the threshing floor. The threshing floor is prepared before distributing the sheaves on its surface.",1990,Conradors d’un temps perdut (part 1),1990-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
