institution,slug,country,continent,repository_code,archive_type,barch_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Weltkrieg%201914-18,%20Frontflieger%20u.%20a./barch::425b9b1b7dbf8b9f1241dd1dcd7a8134","Weltkrieg 1914-18, Frontflieger u. a.","Documentary film | EFG1914 / World War I / Submarine warfare / Infantry / World War, 1914-1918 -- Prisoners and prisons, French / World War, 1914-1918","Ficha pública de Bundesarchiv no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | gênero: Documentary film | duração: 00:13:11 | produtora: Messter (Berlin), Sascha-Film (Wien) | cor: Black & White | som: Without sound | direitos: In Copyright | ver também: https://www.filmportal.de/node/1225569 | Tauchmanöver von “U 10” in einer Bucht (gesunken im Juni 1916). Beobachtung des Luftraums an Deck eines österreichischen Kriegsschiffes; Flakgeschütz wird zum Beschuß eingerichtet. Alarm bei einer österreichischen Marine-Fliegerstation; Flugzeuge werden aus den Hangars gerollt; Doppeldeckeram Himmel. Feuerndes Eisenbahngeschütz; feuernde Batterie in Tarnstellung; schwere englische Zugmaschine; deutscher Sturmtrupp beim Überwinden eines Drahthindernisses; vorgehende Infanterie im Schutze von Nebelkörpern; Sturmtrupp geht im Graben vor; Kavallerieeinheit zieht über eine Landstraße; französischer Gefangenenzug passiert einen Bahnhof; Offiziere besichtigen erbeutete Geschosse. Besuch eines Lazaretts durch Generalfeldmarschall Gottlieb Graf v. Haeseler; im Gespräch mit Verwundeten und inmitten einer Offiziersgruppe; Abfahrt im Auto. Der neue Gouverneur von Belgien, Generaloberst Ludwig Frhr. v. Falkenhausen , mit Offizieren seines Stabes auf dem Hof seines Dienstgebäudes in Brüssel (1917). Admiral Ludwig v. Schroeder und Vizeadm...",[1916-1917],"Weltkrieg 1914-18, Frontflieger u. a.",[1916-1917],Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Filmdokumente%20zur%20Geschichte%20der%20deutschen%20Marine%20Teil%20I:%20Kaiserliche%20Marine%201907-1920,%20%22U%2035%22%20im%20Mittelmeer%201917/barch::8259793a9e31b9422ccfdb8e9d7273e1","Filmdokumente zur Geschichte der deutschen Marine Teil I: Kaiserliche Marine 1907-1920, ""U 35"" im Mittelmeer 1917","Documentary film | EFG1914 / World War I / Arnauld de la Perière (U 35, 1917) / Seestreitkräfte (Kriegsmarine); Marine; U-Boot; Mittelmeer; 1917; Kompilationsfilm / World War, 1914-1918","Ficha pública de Bundesarchiv no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | gênero: Documentary film | duração: 00:45:17 | produtora: Deutsches Marine-Institut; Marine-Offizier-Vereinigung | cor: Black & White | som: Without sound | direitos: In Copyright / Deutsches Marine-Institut Bon | ver também: https://www.filmportal.de/node/1227336",1980,"Filmdokumente zur Geschichte der deutschen Marine Teil I: Kaiserliche Marine 1907-1920, ""U 35"" im Mittelmeer 1917",1980-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Europa%20lebt/barch::d9a261a38ad09d6bce2e3a0a46092514,Europa lebt,Documentary film | Montanunion / EGKS / Montan Union / ECSC / VICTOR-E project,Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: Europe is alive | gênero: Documentary film | duração: 00:11:04 | direção: Daniel Wronecki | produtora: Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/619495239 | ver também: https://www.filmportal.de/node/1734019 | Montan film about the European Coal and Steel Community.,1955,Europa lebt,1955-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Fl%C3%BCchtlinge%20helfen%20sich%20selbst/barch::109fe5bdca58d2be59d667c5fed31a8b,Flüchtlinge helfen sich selbst,Short film | VICTOR-E project / Germany,"Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: Refugees helping themselves | gênero: Short film | duração: 00:16:11 | direção: Peter Patty | produtora: Bavaria Filmkunst GmbH (München-Geiselgasteig) | cor: Black & White | som: With sound | direitos: In Copyright / USIA - Embassy of the United States of America / Press Office, Berlin | fonte de mídia: https://vimeo.com/618516078 | ver também: https://www.filmportal.de/node/1733994",1955,Flüchtlinge helfen sich selbst,1955-01-01,Registro audiovisual em catálogo,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Mit%20Herz%20und%20Hand%20(Berlin%201954)/barch::dbf2502f438db335a45b96c7eabde348,Mit Herz und Hand (Berlin 1954),"Documentary film | Sportfest / Kultur / Wiederaufbau / Stadtansichten / Politik / Notaufnahmelager Marienfelde / Nachkriegsdeutschland / 1949-1961 (Gesamtzeitraum, von deutschen Staatengründungen bis Berliner Mauerbau) / Findbuch Sonderfilme Deutsche Wochenschau GmbH / Sports festival / Culture / Reconstruction / City views / Politics / Emergency reception camp Marienfelde / Postwar Germany / 1949-1961 (entire period, from the founding of German states to the building of the Berlin Wall) / VICTOR-E project / Erhard, Ludwig Wilhelm / Heuss, Theodor / Scholz, Gustav / Lübke, Heinrich / Ehlers, Hermann / Brentano, Heinrich von / Molotow, Wjatscheslaw Michailowitsch / Dulles, John Foster / Adenauer, Konrad / Germany","Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: With heart and hand (Berlin 1954) | gênero: Documentary film | duração: 00:10:23 | direção: Heinz Wiers | produtora: Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/619534954 | ver também: https://www.filmportal.de/node/1734669 | A plane lands in Berlin, passengers leave the plane and pass through customs, suitcases are unloaded. Ride by cab or bus into the city. Chancellor Adenauer on the bus to Berlin. Stream of refugees in front of the reception centers, refugee camps, the new emergency reception center in Marienfelde, refugee settlement. Fields of ruins, clean-up work. In a brick factory, new building material is made from rubble. Construction fences and reconstruction work everywhere. On the other side of the zone border, in East Berlin, Bernauer Strasse, nothing of the sort was happening. New buildings being erected, construction on Kurfürstendamm; road work, bridge building. Berlin's industrial plants working at full speed again. Adenauer speaks to the workforce of a rebuilt factory. Industrial exhibition in Berlin. Federal Minister of Economics Ludwig Erhard visits the exhibition. Important world political conferences are held in Berlin: U.S. Secretary of State J.F. Dulles, Russian Foreign M...",1954,Mit Herz und Hand (Berlin 1954),1954-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Reporter%20aus%20Leidenschaft/barch::c7103bdb39a7f58d7584063142dba975,Reporter aus Leidenschaft,"Documentary film | Filmberichter / Film (Filmwirtschaft, Filmtechnik / vgl. 3.11.1.3 Fernsehen) / Findbuch Sonderfilme Deutsche Wochenschau GmbH / Film reporters / Film (film industry, film technology) / VICTOR-E project / Adenauer, Konrad / Germany","Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: Reporters with a passion | gênero: Documentary film | duração: 00:16:24 | direção: Manfred Purzer | produtora: Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/629394461 | ver também: https://www.filmportal.de/node/1734668 | Film about the professional ethics and everyday work of the newsreel cameraman. Committed to timeliness, he respects state secrets and the privacy of citizens. - Cameramen at work: on the roof of the moving newsreel car, railroad bridge, Horst Grund at a dizzying height during the reconstruction of the Rhine bridge near Cologne-Rodenkirchen (cf. WIB 42 of April 12, 1953), repair work on the Frauenkirche in Munich (cf. WIB 64 of September 16, 1953), Erich Stoll at a press meeting with Konrad Adenauer. The newsreel cameraman reports on the events of the national (17. June 1953 in Berlin, in front of the headquarters of the American forces in Berlin, reporters are pushed away, Erich Onasch is banned from filming in front of the Allied Control Council in Berlin; Use of telephoto lens) and international politics (demonstration of communist students in Japan, political unrest around the world, war in Indochina), natural disasters (floods), of assassinations (of the Sultan of Morocco Su...",1954,Reporter aus Leidenschaft,1954-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Lieber%20Leierkastenmann/barch::e8d6ed2f957d3a36ec77e0394d382ae6,Lieber Leierkastenmann,"Documentary film | Kriegsschäden / Wiederaufbau / Berlin, Hauptstadt der DDR / 1949-1961 (Gesamtzeitraum, von deutschen Staatengründungen bis Berliner Mauerbau) / Findbuch Sonderfilme Deutsche Wochenschau GmbH / War damages / Reconstruction / Berlin, capital of the GDR / 1949-1961 (entire period, from the founding of German states to the building of the Berlin Wall) / VICTOR-E project / Berlin / Westberlin / Brandenburg / Germany","Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: Dear organ grinder | gênero: Documentary film | duração: 00:14:20 | produtora: Neue Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/619546495 | ver também: https://www.filmportal.de/node/1734664 | The recent history of Berlin: World War II, collapse, reconstruction - presented on the basis of newsreel material.",1953,Lieber Leierkastenmann,1953-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Moord%C3%A4mmerung/barch::576e853073a8b59213eca919a1532a2f,Moordämmerung,Documentary film | VICTOR-E project / Germany,"Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: Moor Dawn | gênero: Documentary film | duração: 00:14:38 | direção: Hans Weißbach | produtora: Neue Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/629341924 | ver também: https://www.filmportal.de/node/1734666 | Hands cutting bread with bread machine, slices of bread. Farmer driving tractor on field. Windmill. Loaves of bread lying in shop window. Map of northern Germany: Emsland is marked. (10:00:00 - 10:01:35) Moorland. Burning heath. Shepherd with moorland sheep. Two children in front of farmhouse. Moor farmers in Moorkate. Farmer's wife with calf. Old man sitting at table. Old woman sitting at open fireplace. Kettle over fireplace (close). Moor cottage (outside). (10:01:25 - 10:02:40) Woman coming out of house. Young bog farmer digging up garden. Young man cutting peat. Man pushing cart with peat over wooden planks, dumping peat load. Young peat digger giving bottle to baby in stroller. Woman with shopping bag walking through peat bog. Store. Grocer weighs sugar and gives it to woman. Men digging drainage ditches. Flooded and frozen meadows and pastures. Rushes (close). Horses pulling carts, sinking up to their bellies in bog. Horse with wooden shoes pulls plow. (10:02:35 - 10:04:30) Feet in wo...",1952,Moordämmerung,1952-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Das%20Bundessch%C3%A4tzchen/barch::1771f10f64f4c4bbf4be69f101d81b02,Das Bundesschätzchen,"Advertising film | Wette / Glücksspiel / Wiederaufbau / Bundesschatzbrief / Geldanlage / BRD/Bundesrepublik Deutschland / Rennbahn / 1949-1961 (Gesamtzeitrau, von deutschen Staatengründungen bis Berliner Mauerbau) / Wirtschaft (Arbeitgeber, Arbeitnehmer, Arbeitskampf, usw. s. Synonyme) / Fußball / Findbuch Sonderfilme Deutsche Wochenschau GmbH / Betting / Gambling / Reconstruction / Federal treasury bond / Investment / FRG/Federal Republic of Germany / Racecourse / 1949-1961 (entire period, from German state foundations to Berlin Wall construction) / Economy (employers, employees, labor dispute) / Football / VICTOR-E project / Germany","Ficha pública de Bundesarchiv no European Film Gateway. | gênero: Advertising film | duração: 00:03:53 | produtora: Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/619507156 | ver também: https://www.filmportal.de/node/1734020 | ""A love story, not only, it probably revolves around passion, but also around dear money."" - (Lovers); ""In 1950, 340 - 350,000 apartments were completed, in them can accommodate 1.5 million residents, which corresponds to the population of all of Hamburg or Munich and Stuttgart together."" - (Settlement and new high-rise buildings); ""A beginning on the road of success - (road) - made by the state. But who is the state - (road workers) - We, all of us have made a beginning. - (Road is tarred) - In 1950, about 1000 km of federal road have been renewed, but much remains to be done, in work, in diligence, in love for our cause. Taxes alone are not enough. You need loans, long-term, short-term loans to tide you over."" (various bridges) ""Of 5133 bridges destroyed, a total of 4485 bridges had been restored by the end of 1950.""; ""Let's not kid ourselves, we're all in the same boat - (launching of an ocean liner) - with 47 million passengers. By March 51, there were completed or under construction 125 cargo ships of 225,000 GRT, 25 freighters and tankers, and a...",1951,Das Bundesschätzchen,1951-01-01,Registro audiovisual em catálogo,Agregador audiovisual europeu especializado em cinema
Bundesarchiv,bundesarchiv,Germany,Europe,DE-BArch,Federal archive with film archive holdings,https://www.bundesarchiv.de/en/research-our-records/research-by-media-type/films/,True,True,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Der%20erste%20Schritt/barch::13b097c7dd4591489046c6d6db2c7217,Der erste Schritt,"Documentary film | Kohle / Industrie / Findbuch Sonderfilme Deutsche Wochenschau GmbH / Coal / Industry / VICTOR-E project / Schuman, Robert / Ruhrgebiet / Verdun / Lothringen / Frankreich / Europa / Ruhr / Verdun / Lorraine / France / Europe","Ficha pública de Bundesarchiv no European Film Gateway. | título alternativo: The first step | gênero: Documentary film | duração: 00:15:47 | direção: Günther Schnabel | produtora: Neue Deutsche Wochenschau GmbH (Hamburg) | cor: Black & White | som: With sound | direitos: In Copyright / Bundesarchiv | fonte de mídia: https://vimeo.com/619514585 | ver também: https://www.filmportal.de/node/1734665 | Letter from a French student to a German politician in which she presents him with her father's Cross of Merit. Flashback to the 1914-1918 war, Verdun, battlefields, cemetery. Pictures from the Ruhr area, destroyed factories, a German coal mine with obsolete equipment, the coal problem, import of coal from America, the border problem in Europe, transport difficulties in Germany, controls at the borders, on 24.11.1950 students open the barrier to Strasbourg, demand for the creation of a united Europe, pictures from the steelworks in Lorraine. Europe becomes economically healthier through the elimination of borders, through unification and modernized economy an increase in the purchasing power of all. (Source: Viewing protocol Bundesarchiv Koblenz)",1951,Der erste Schritt,1951-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
