institution,slug,country,continent,repository_code,archive_type,bbc_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/c39rz1jv9jpo,Into the arena of... acting,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 10:19 | Posted: 30 Sep 2025; Attribution: BBC | imagem: Neon Pink Arena logo over mosaic of actors,2025,Into the arena of... acting,2025-01-01,"Artes, cultura e entretenimento",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cwywk1plzejo,Into the arena of... directing,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 06:16 | Posted: 1 Oct 2025; Attribution: BBC | imagem: Neon Pink Arena logo over mosaic of directors,2025,Into the arena of... directing,2025-01-01,"Artes, cultura e entretenimento",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cy43npgj5plo,'I was always in corsets': Dame Maggie Smith on being typecast,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 02:42 | Posted: 27 Sep 2024; Attribution: BBC | imagem: Dame Maggie Smith in studio,2024,'I was always in corsets': Dame Maggie Smith on being typecast,2024-01-01,"Artes, cultura e entretenimento",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cv2z8pxgg66o,1960s: Sandy Row Christmas Lights,Explore More,"Registro público do tópico BBC Archive. | grupo: Explore More | duração: 01:27 | Posted: 24 Jun 2024; Attribution: BBC | imagem: Group of young women being interviewed in Sandy Row, Belfast in the 1960s",2024,1960s: Sandy Row Christmas Lights,2024-01-01,"Cotidiano, território e sociedade",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/ce4qply5dg3o,"2024: Daley Thompson... left, right, left...",Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 00:51 | Posted: 25 Jul 2024; Attribution: BBC | imagem: Loading screen for Daley Thompson Decathlon on Spectrum computer.,2024,"2024: Daley Thompson... left, right, left...",2024-01-01,"Tecnologia, ciência e inovação",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/c511jxynvpmo,BBC Archive: Ancient Customs and Folk Traditions,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 10:50 | Posted: 1 Jul 2024; Attribution: BBC | imagem: Compilation image of Ancient Customs and Folk Traditions,2024,BBC Archive: Ancient Customs and Folk Traditions,2024-01-01,Registro audiovisual de acervo televisivo,Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cj4d7e74dkeo,Prue Leith and the landlady who couldn't smell,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 01:50 | Posted: 18 Oct 2024; Attribution: BBC | imagem: Prue Leith smiling,2024,Prue Leith and the landlady who couldn't smell,2024-01-01,Registro audiovisual de acervo televisivo,Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/c7043kgn482o,Robert Oppenheimer on his hopes for science in the 1960s,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 03:02 | Posted: 23 Oct 2024; Attribution: BBC | imagem: Robert Oppenheimer sitting at a desk.,2024,Robert Oppenheimer on his hopes for science in the 1960s,2024-01-01,"Tecnologia, ciência e inovação",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cevwgrv2rndo,The Great British Summer Holiday,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 03:01 | Posted: 8 Jul 2024; Attribution: BBC | imagem: Many people sit on a beach in the sun.,2024,The Great British Summer Holiday,2024-01-01,"Cotidiano, território e sociedade",Arquivo televisivo público curado
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,BBC Archive,https://www.bbc.co.uk/videos/cye2x5k1gk5o,c1960 - Our Roving Reporter at Tullyhogue Fort,Explore More,Registro público do tópico BBC Archive. | grupo: Explore More | duração: 03:31 | Posted: 21 Jun 2024; Attribution: BBC | imagem: Image of an engraved stone,2024,c1960 - Our Roving Reporter at Tullyhogue Fort,2024-01-01,Programação televisiva e memória da mídia,Arquivo televisivo público curado
