institution,slug,country,continent,repository_code,archive_type,bbc_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt,ok,200,0,0,Página pública BBC Archive; redireciona para o tópico curatorial coletado.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/archiveservices/archive-access-for-non-commercial-use,ok,200,0,0,"Página oficial de acesso não comercial; contexto metodológico, não corpus coletado.",
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://archivesearch.tools.bbc.co.uk/welcome,ok,200,0,0,"Archive Search; ferramenta separada, não tratada como corpus público aberto.",
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://archiveservices.tools.bbc.co.uk/,ok,200,0,0,"Archive Services; serviço para produtores com registro, não corpus público aberto.",
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://discover.bbcrewind.co.uk/,ok,200,0,0,BBC Rewind; superfície geobloqueada fora do Reino Unido na rodada.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://archive-downloader.bbcrewind.co.uk/,ok,200,0,0,"Archive Downloader; rota com licença RemArc e aceite de termos, não usada como base desta coleta.",
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt,ok,200,31,31,Página 1 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=2,ok,200,22,22,Página 2 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=3,ok,200,23,23,Página 3 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=4,ok,200,23,23,Página 4 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=5,ok,200,22,22,Página 5 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=6,ok,200,22,22,Página 6 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=7,ok,200,19,19,Página 7 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=8,ok,200,18,18,Página 8 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=9,ok,200,19,19,Página 9 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=10,ok,200,17,17,Página 10 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=11,ok,200,16,16,Página 11 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=12,ok,200,10,10,Página 12 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=13,ok,200,5,5,Página 13 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=14,ok,200,14,14,Página 14 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=15,ok,200,11,11,Página 15 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=16,ok,200,19,19,Página 16 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
BBC Archive,bbc-archive,United Kingdom,Europe,GB-BBC-ARCHIVE,Broadcast audiovisual archive,https://www.bbc.co.uk/archive,True,True,https://www.bbc.co.uk/topics/c01yxyz46myt,https://www.bbc.co.uk/topics/c01yxyz46myt?page=17,ok,200,21,21,Página 17 de 42 do tópico público BBC Archive; apenas promos rotulados como vídeo entram no corpus.,
