institution,slug,country,continent,repository_code,archive_type,bfi_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/54d66e00-fcee-51f5-bdb2-96fec6f4c72d,Year of the Ox,Documentary,Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Ethnology; Chinese New Year | locais: Soho | som: Sound | duração: 5 min | Brightcove: 6057949427001/ref:I4d2NiYzE6ygyb-ES_BLoOFl2brVTOcm | Impressions of London's Chinatown during the Chinese new year celebrations for the Year of the Ox. | This film from the Disability Arts Video Project offers impressions of London's Chinatown during the Chinese New Year celebrations for the Year of the Ox.,1997,Year of the Ox,1997-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/3a8160ba-1c4b-5c17-b995-ae5e4e941e28,Dead London,Drama,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Drama | assuntos: Death; London; Predictions | locais: Farringdon Station; King's Cross Sta | som: Sound | duração: 19 min | Brightcove: 6057949427001/ref:IzZDBndjrcnaJNc9glJ7GykSwdGRKBo4 | Two men have established a theory which allows them to predict violent deaths in London. Things start to go awry when they share that theory with a newcomer. | Ewan Bremner and Dexter Fletcher star as a pair of morbid fortune tellers in this modern tale of dark arts. | Paul and Nick are an odd duo who have developed a method that allows them to predict the sudden death of unsuspecting innocents in London. When their unbroken record of accurate predictions is threatened by an American tourist who discovers their theory, the morose forecasters start to unravel. A strikingly imaginative 1990s British fable shot in stunning black and white.",1996,Dead London,1996-01-01,Ficção cinematográfica,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/d179a6a1-22f5-5d55-8cd7-4f95989336dd,Sundial,Artists' Moving Image,Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Artists' Moving Image | assuntos: London; Canary Wharf | locais: Bethnal Green | som: Sound | duração: 1 min | Brightcove: 6057949427001/ref:VkZGo4NzE6NlRR7e-U7cmQo9ZAXBpXZH | The first part of `The Under the tower trilogy'. Makes a comparison between the post-industrial East End of London and the aggressive capitalism represented by the Canary Wharf tower.,1993-09-28,Sundial,1993-09-28,"Artes, música e experimentação",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/b63e1e4e-b94f-5e43-8b4b-6668176db321,Hedd Wyn,War; Historical drama,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: War; Historical drama | assuntos: World War I; Welsh poetry | locais: Trawsfynydd | som: Sound | duração: 112 min | Brightcove: 6057949427001/ref:IxZHM3YzE6WnqG51qXH407RXtI7UAnfX | Ellis Evans has an ambition to win the Welsh literary prize for his poetry. However, the First World War is looming and although Ellis at first refuses to sign up he is eventually forced to enlist, and is killed in the massacre of the 1917 Battle of Passchendaele. Five weeks later he is posthumously awarded the top literary prize for an epic poem written at the Front. | The stirring story of poet Ellis Evans-Hedd Wyn, the Welsh poet posthumously awarded the Eisteddfod chair at Birkenhead in 1917 after failing to return from 1st World War trenches. | Poetry was Ellis Evans' passion- his life's ambition to be chaired at a National Eisteddfod. He achieved this at the Birkenhead Eisteddfod of 1917. Unfortunately, he never knew of his success as he was fighting the Germans in the trenches of Ypres, where he died during his first day on the Western Front.",1992,Hedd Wyn,1992-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/8d24ada2-aaa4-5aa3-8146-8d646e2b3cfd,Floating,Drama; Comedy; Artists' Moving Image,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Drama; Comedy; Artists' Moving Image | assuntos: Teenagers; Divorce; Mental disorders; Infidelity; Noah's ark; Arson | locais: Limehouse | som: Sound | duração: 40 min | Brightcove: 6057949427001/ref:1mdnJndTrbx2aQJejUz794ae6TEy7_9Z | An absurdist comedy in which a Docklands bus driver living in a block of flats believes that the flood is coming and begins destroying the living room to build an ark. | Deliciously dark psychodrama about a Docklands bus driver who turns his family home into a second Noah's ark. | Disturbed by visions of a labyrinthine London about to be consumed by water, a lonely father begins to destroy his family's tower block flat in order to make room for an unlikely refuge in their front room. Eerie, absurdist and darkly comic, this brilliant psychodrama won director Richard Heslop Best Short Film at Cannes in 1992. Richard Heslop went to St Martins School of Art and was a punk and a very early skateboarder. He met Derek Jarman in 1981 and subsequently worked on several of Jarman's films, including The Queen is Dead and The Garden. He makes a cameo appearance - alongside fine artist Cerith Wyn Evans - in Caravaggio. Heslop also made pop videos for The Shamen, Happy Mondays and Suede and, in 2012, made the feature film Frank (not to be confused with the 2014 film of the...",1991,Floating,1991-01-01,Ficção cinematográfica,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/66f09e2c-69cb-5d86-b5c9-24cab120ed95,Muybridge Revisited,Animation; Artists' Moving Image,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Animation; Artists' Moving Image | locais: Fulham | som: Sound | duração: 5 min | Brightcove: 6057949427001/ref:BzZGcydToTOsuB-E9de_mM-6DiDALguH | Consists of re-animation of Muybridge loops cut with experimental videographics with the people and buildings of Fulham. | Iconic images by photo-pioneer Eadweard Muybridge come to life in this striking video collage. | Wrestling men and kicking mules feature alongside other jumping and lunging figures, all moving to hard electronic beats against a backdrop of buildings in Hammersmith and Fulham. Video artist George Snow used bold computer programming techniques to animate Eadweard Muybridge's 19th-century time and motion studies to stunning, psychedelic effect. | George Snow worked with the 1980s experimental pop group The Art of Noise; graphics from Muybridge Revisited can be seen in the video for the 12inch mix of their track Legs. Snow made the video with fellow artist George Barber. Muybridge's early photography remains a powerful inspiration to artists of all sorts. Steven Pippin was nominated for the 1999 Turner Prize for his exhibition Laundromat-Locomotion, in which he transformed 12 laundry machines into cameras, exploring time and motion in an aesthetic style reminiscent of the famous photographer. Muybridge himself lived an extraordin...",1986,Muybridge Revisited,1986-01-01,Animação,Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/881e7488-ad08-5f3c-8ef4-25e052d1bf87,The London Story,Comedy; Musical,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Comedy; Musical | assuntos: London; Politics; International relations | locais: Waterloo Sta | som: Sound | duração: 16 min | Brightcove: 6057949427001/ref:x3NXMzdjr4RWHm77Pse2GFy5fowK_wOh | While Britain decides who its political allies are, Europe or the United States, three characters decide to act. They do so in the manner of a Technicolor musical comedy set against famous London locations. | Sally Potter's lively dance film about spies and government intrigue. | This tale about three eccentric characters and their conspiratorial plans to reveal government secrets is played out like a silent comedy - or a Technicolor musical. Against a backdrop of familiar London locations, body gestures and movements are precisely but playfully performed to the dramatic music of Prokofiev's Romeo and Juliet.",1986,The London Story,1986-01-01,"Vida pública, política e história",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/1c2ff36b-55ac-5f06-8cd7-2667ea8f0a80,Sixty-four Day Hero: A Boxer's Tale,Biopic; Sport,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Biopic; Sport | assuntos: Boxing; Turpin, Randolph (1928-1966) | som: Sound | duração: 100 min | Brightcove: 6057949427001/ref:tzbXg5NjE6m0b4ukxy-T3gg2Jogf3DHl | Documentary on championship boxer Randolph Turpin. It follows writer Gordon Williams on an investigation into the circumstances surrounding the life and death of Randolph Turpin, who in 1951 at the age of 23 defeated Sugar Ray Robinson to become Middleweight Champion of the World. He held the title for a mere 64 days. In 1966, he shot himself after attempting to kill his 18-month old daughter. | The turbulent life and death of championship boxer Randolph Turpin. | In this compelling and thought-provoking documentary, sports writer and novelist Gordon Williams uses archive footage, as well as interviews with family members and friends, to investigate the troubled life of the mixed-race British boxing hero Randolph Turpin. | In 1951, after defeating the American Sugar Ray Robinson for the title Middleweight Champion of the World, 23-year-old Turpin became a national hero. He held the title for only 64 days before losing a rematch with Robinson. Turpin's reign as a sporting hero was over, and the subsequent years of scandal, bankruptcy and humiliation led him to an early death at the age of 38.",1985,Sixty-four Day Hero: A Boxer's Tale,1985-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/8062fd3b-ba9a-5eaf-b23d-3fa8ac4a74b1,The West London Film,Industry sponsored film,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Industry sponsored film | assuntos: Greater London Council; Investment; Economic recessions; West London | locais: Westminster | som: Sound | duração: 30 min | Brightcove: 6057949427001/ref:BiZnJlNTE6p2DfAhXtfrb4rULP0H5kMV | Unlike other parts of the country during the depression of the thirties, the west of London had a flood of investment and job creation. Major multi- national companies took advantage of what the area could offer them. However, over the last twenty years they have rapidly left. West London no longer offers the same benefits to companies, who have often moved production overseas and cut jobs in the UK. This film looks at the reasons why redundancies are now hitting West London harder than the inner city, and at what the GLC (Greater London Council) and the GLEB (Greater London Enterprise Board) are doing to create an alternative economic strategy for jobs in London. Made by the GLC's Industry and Employment Board.",1985,The West London Film,1985-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,BFI Replay,https://replay.bfi.org.uk/video/8dd466c9-88d2-52bc-9607-92009ebdd6e7,Being and Doing,Documentary,"Registro público materializado no BFI Replay. | disponibilidade: Internet-UK | gêneros: Documentary | assuntos: Performance artists | som: Sound | duração: 60 min | Brightcove: 6057949427001/ref:cxeTRzZjE6qC3Weq-69TIDn0UWzQaq8L | About Performance Art and its historical origins including its links with folk customs. The film includes extracts from the work of many different performance artists from England and abroad collected from 1979 to 1983, amongst them: Tibor Hajas (Hungary), Rasa Todosijevic (Yugoslavia), Iain Robertson (Scotland), Zbigniew Warpechowski (Poland), Milan Knizak (Czechoslovakia), Natalia LL (Poland), Ewa Partum (Poland), Jan Mlcoch (Czechoslovakia), Sonia Knox (Northern Ireland), Jerzy Beres (Poland) and Stuart Brisley (England). The film also records the Haxey Hood and Padstow Hobbyhorse folk dances from Lincolnshire and Cornwall respectively. | Ken McMullen and Stuart Brisley consider the links between performance art and folk ritual. | Performance art broke new ground in the 1970s; here its roots are considered in the context of traditional calendar customs as opposed to fine art. Unusual, dynamic footage of North Lincolnshire's Haxey Hood and Padstow's Mayday Obby Oss traditions are presented alongside tense performances by Natalia LL, Ewa Partum and Jerzy Beres. The Haxey Hood footage, shot on a crisp, cold January morning, looks otherworldly. Tense m...",1984,Being and Doing,1984-01-01,"Documentário, cotidiano e memória local",Arquivo audiovisual público curado
