institution,slug,country,continent,repository_code,archive_type,bfi_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://www.bfi.org.uk/bfi-national-archive,ok,200,0,0,Página institucional do BFI National Archive.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://www.bfi.org.uk/bfi-national-archive/search-bfi-archive,ok,200,0,0,"Collections Search; catálogo de pesquisa, não streaming público integral.",
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://www.bfi.org.uk/bfi-national-archive/inside-archive/bfi-national-archive-faq,ok,200,0,0,"FAQ oficial; documenta Player, Mediatheque, YouTube e acesso presencial.",
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://www.bfi.org.uk/bfi-national-archive/search-bfi-archive/research-viewing-service,ok,200,0,0,"Research Viewing; acesso por agendamento, sem acesso remoto e com taxas.",
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://www.bfi.org.uk/bfi-national-archive/watch-archive-collections/visit-us-view-archive-material/bfi-mediatheque,ok,200,0,0,Mediatheque; acesso gratuito em espaços físicos selecionados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://player.bfi.org.uk/free,ok,200,0,0,BFI Player Free; superfície de exibição doméstica separada do corpus Replay.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/,ok,200,0,0,BFI Replay; superfície pública de vídeos e porta de entrada do corpus.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/about,ok,200,0,0,About BFI Replay; distingue acesso em casa e vídeos exclusivos em bibliotecas.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/collections,ok,200,0,0,"Coleções do BFI Replay; contexto curatorial, não usada como rota principal.",
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search,ok,200,11,11,Página 1 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=2,ok,200,14,14,Página 2 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=3,ok,200,13,13,Página 3 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=4,ok,200,15,15,Página 4 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=5,ok,200,15,15,Página 5 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=6,ok,200,15,15,Página 6 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=7,ok,200,13,13,Página 7 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=8,ok,200,15,15,Página 8 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=9,ok,200,15,15,Página 9 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=10,ok,200,15,15,Página 10 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=11,ok,200,15,15,Página 11 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
BFI National Archive,bfi-national-archive,United Kingdom,Europe,GB-BFI-NATIONAL-ARCHIVE,Film and television archive,https://www.bfi.org.uk/bfi-national-archive,True,True,https://replay.bfi.org.uk/search,https://replay.bfi.org.uk/search?page=12,ok,200,15,15,Página 12 de 55 da busca pública BFI Replay; interface declara 821 vídeos encontrados.,
