institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2044%20-%20%D0%A0%D0%BE%D0%B4%D1%8A%D1%82/bnfa::c8a0a26aac9051f4da4eea091a77b3ba,Кинопреглед 44 - Родът,Newsreel,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 44 - The Family | gênero: Newsreel | duração: 00:10:18 | direção: Rupchin, Alexander | produtora: Studia za nauchno-populyarni i documentali filmi Vreme | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=x4lNvWsQh8c | Dedicated to the Radonov family in the city of Bansko",1983,Кинопреглед 44 - Родът,1983-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0%2023/bnfa::79ebce27375b1177d294af5b6cf2ac40,Кинохроника 23,Newsreel | политика / промишленост / изкуство / спорт / Politics / Manufacture / Art / Sport,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 23 | gênero: Newsreel | duração: 00:10:14 | direção: Dosev, Ivan | produtora: Bulgarska Kinematografia | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=zl_shUxpjcU | I. Return of a Bulgarian government delegation, led by Todor Zhivkov, from the USSR. Airport - officials the delegates. Report from the visit of the delegation to the USSR. Meeting of Ulyanovsk Airport. Visiting the house of Vladimir Lenin. Laying a wreath at a monument. Sightseeing of a stadium. Meeting Valentina Tereshkova, astronaut. Talks with Leonid Brezhnev, Alexei Kosygin, and Andrey Gromiko. Signing of official documents. Awarding Todor Zhivkov with a Golden Star of a Hero of the USSR and the Order of Lenin by Leonid Brezhnev. Todor Zhivkov speaks. Sending the delegation to the airport near Moscow.– II. Sofia. 20 years of the Factory for metal cutting machines. Workroom. Machines. Workers.– III. Cooperative farm ""Lenin"" near Burgas. Machine operators are preparing for the harvest. Combine harvester. Wheat.– IV. Ruse. Political Dance Festival. Youth amateur ensembles from the country participate. Performances. V. Report from the football match between Bulgaria and Ireland. Audie...",1977,Кинохроника 23,1977-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0%2040/bnfa::768c33bc27e9c0b31d809ae8ef5f1363,Кинохроника 40,Newsreel | селско стопанство / промишленост / история / строителство / Agriculture / Industry / History / Construction,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 40 | gênero: Newsreel | duração: 00:09:34 | direção: Belichovski, Lilo | produtora: Studia za Hronikalni i Dokumentalni Filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=WUzDvBefFAA | I. Brigade leaders pick tomatoes. The tractor carries the baskets of tomatoes. Brigade leaders pick grapes. They trade baskets. The vineyards of APK ""G.Dimitrov"" - grape harvesters ""K-1"". The vineyards of APK ""Maritsa"", Pazardzhik. Krum Mishev's brigade works. The brigade of Nikola Alvardzhiev collects currants. – II. Plovdiv. The non-ferrous metals complex. Production of pure tin and zinc. Workshop. Metal pouring. Furnace. Machines. Command board. Medical blocks. – III. Burgas. The light construction enterprise ""Balkanstroy"". Production of light wall and roof panels for the construction of the Orenburg-West SSR gas pipeline. Workshop. Painting of pipes. Cutting of plastic. Finished products. – IV. Shumen. International symposium for the investigation of old Bulgarian inscriptions and the literature of the Preslav school. Excavations. The old city. Visitors. Madara's horseman. – V. The architecture of Bansko - the old houses, new construction. The square, old hou...",1977,Кинохроника 40,1977-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D1%85%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0%2017/bnfa::45945f7bcf82a123935f47e3e75afd89,Кинохроника 17,Newsreel | строителство / промишленост / археология / транспорт / спорт / Construction / Manufacture / Archeology / Transport / Sport,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Film chronicle 17 | gênero: Newsreel | duração: 00:10:21 | direção: Deyanov, Aleksandar | produtora: Bulgarska Kinematografia | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=m5Ah56_hyH4 | I. Sofia. Street, Lenin monument. Construction, crane. Shoe workshop. Furniture factory, finished products. Workshop. Park. II. Shumen. Madara Factory. Production of Skoda trucks under the guidance of Czech specialists. III. Novi pazar. The glass and porcelain factory ""Kitka"". Bottle making machine. Workshop in the factory. Dishes. Cup making workshop. Service. IV. Sofia. The National Archaeological Museum. Exhibition - Ancient Thracian Culture. Hall, people watching. Exhibits: coins, jewelry, clay vessels, glass, ammunition. V. Sofia Airport. Outline for the personnel servicing the Sofia-Moscow flights. The crew, the pilot. A plane takes off. Stewardess, passengers, radio operator. Sheremetyevo Airport. VI. Sofia. Festivalna Hall. Report from a boxing tournament. Winner: Tsacho Andreykovski, Bulgaria.",1976,Кинохроника 17,1976-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2028/bnfa::225b00cd4f8600a3b409e8001b59e433,Кинопреглед 28,Newsreel | промишленост / селско стопанство / сатира / изкуство / природа / Manufacture / Agriculture / Satire / Art / Nature,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 28 | gênero: Newsreel | duração: 00:10:07 | direção: Dosev, Ivan | produtora: Komitet za Televizia i Radio; Studia za Dokumentalni Filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=mcGZCfwcqNs | I. The Kozloduy NPP building. View of the complex. The first reactor in operation. Construction of the plant - scaffolding, couring of concrete, installation of machines, etc.– II. The field of a cooperative farm in the village of Katunitsa, region of Plovdiv - harvest with combines. Pouring grain into a pile. Watering corn plants with a machine. Plowing in an orchard. Mechanized spraying of tomatoes. Women pick tomatoes. Loading crates of tomatoes in a truck. Activities in the ""Maritsa"" cannery in Pazardzhik.– III. Meeting of the management of the ""V. Kolarov"" High Current Plant. Center for Research and Development of a metalcasting state organization. Representatives of the State Control for the unsuccessful reconstruction of the foundry of the plant and the losses. Workers are inactive. Pouring of metal into molds. Representatives of the plant speak.– IV. Sofia. Exhibition of Czechoslovak hunting trophies. A man speaks. People look at exhibits. Hunt...",1974,Кинопреглед 28,1974-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2029/bnfa::e070de45e65dd187335036330a0fccbb,Кинопреглед 29,Newsreel | строителство / селско стопанство / здравеопазване / спорт / Construction / Agriculture / Healthcare / Sport,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 29 | gênero: Newsreel | duração: 00:09:14 | direção: Penchev, Petar | produtora: Komitet za televizia i radio; Studia za documentali filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=qmy_Ps7kMaM | I. City of Byala. Celebration on the occasion of Builder's Day - July 14. Speaking is Pencho Kubadinski, deputy. Chairman of the Council of Ministers. Opening of a monument to master Kolyo Ficheto. – II. Buildings housing the shifts of the International Youth Brigade ""G. Dimitrov"", battalion ""N. Vaptsarov"" near Devnya. – III. Fields in Silistra District. Harvesting with combines. – IV. City of Bankya. Clinic. Dr. Alexander Dimitrov applies a new way to treat disc herniation through extension. – V. Sofia. ""V. Levski"" Stadium. July 14, 1974. Closing of the 4th Republican Spartakiad and the 4th Republican Festival of artistic self-activity. Speech by Todor Zhivkov, Chairman of the State Council. –",1974,Кинопреглед 29,1974-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2032/bnfa::0ae03a6170babd6ac97c080bb7a866a4,Кинопреглед 32,Newsreel | история / промишленост / селско стопанство / етнография / сатира / History / Manufacture / Agriculture / Ethnography / Satire,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 32 | gênero: Newsreel | duração: 00:09:57 | direção: Dosev, Ivan | produtora: Studia za Hronikalni i Dokumentalni Filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=3I9i-uw9RHQ | I. Commemorating 30 years since the death of Emil Shekerdzijski. His photographs and books. Documents from his time in prison. The location where he died. His memorial. – II. Kremikovtsi. The metallurgical complex. Steelworkers near the furnaces. Steel pouring. – III. Bansko. Co-op member Sara Smedarchin speaks. In the field - tobacco leaf harvesting, sorting, and watering of tobacco plantations. – IV. Satire. Warehouses with gunpowder barrels. Broken gunpowder barrels in a store. Interviews with citizens and vendors in ""Fruit and Vegetables"". – V. Near Gabrovo. The Ethnographic Museum ""Etara"".",1974,Кинопреглед 32,1974-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2041/bnfa::4cc79b972ea7827413b065732ed51c95,Кинопреглед 41,Newsreel | политика / промишленост / селско стопанство / Politics / Industry / Agriculture,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 41 | gênero: Newsreel | duração: 00:09:53 | direção: Penchev, Petar | produtora: Studia za Hronikalni i Dokumentalni Filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=Q0yJlY0jdPg | I. Footage from the Israeli military operation ""Grab and Kill"" in Lebanon. Tanks. Bombings. Shootouts. – II. Turkmenistan. Views from the capital Ashgabat. Oil reserves, sand, oil refineries. Kara Kum canal. A view of the reservoir. Braiding of flax. Students entering the institute. – III. Soviet specialists in Bulgaria. Construction of the TPP ""Bobov Dol"". With Bulgarian builders. The metallurgical plant ""Kremikovtsi"". Before the blast furnaces for steel smelting. Specialists examine the machine. Metallurgists. – IV. Cave. Factory ""V.Muletarov"". Production process. Cutting of cloth. Machine-made shoes. Finished product. Women measuring shoes. – V. Work on the future pier ""Varna - West"". Installing an explosive system on the bottom of Beloslavskoye Lake. Explosion. – VI. Warriors, students, workers, and employees participate in agricultural brigades. In the vegetable garden. Picking apples. Braiding flax and tobacco. Arranging grapes. Picking cherries and currants....",1972,Кинопреглед 41,1972-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%2039/bnfa::8924fea1cd743dbc296953c528bc9d84,Кино преглед 39,Newsreel | политика / история / Politics / History,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 39 | gênero: Newsreel | duração: 00:10:17 | direção: Penchev, Petar | produtora: Studia za Hronikalni i Dokumentalni Filmi | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=KvtpyLH2Ksg | I. Military maneuvers. – II. General Atanas Semerdjiev speaks at a meeting for the occasion of the Day of the Bulgarian National Army. – III. Ceremonial dawn. – IV. The partisan movement - photos. – V. Museum ""Zorge"". Yablons and Max Klausen visiting the museum. Portrait of Richard Zorge. – VI. Essay on the Radonov family from the town of Bansko. – VII. Dispatch of new recruits. – VIII. Pleven. The Higher Military School ""G. Benkovski"". Educational activities. – IX. Report about Captain-Lieutenant Pavlov, commander of the ""Drazki"" ship from our Black Sea fleet. – X. Soviet military delegation, led by Colonel Noskov visits the division where officer Hudolev serves for the brotherhood of the two parts. – XI. Military maneuvers.",1970,Кино преглед 39,1970-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,European Film Gateway,https://www.europeanfilmgateway.eu/detail/%D0%9A%D0%B8%D0%BD%D0%BE%20%D0%BF%D1%80%D0%B5%D0%B3%D0%BB%D0%B5%D0%B4%206/bnfa::c524acbe56ea690c43b7c1be4424b562,Кино преглед 6,Newsreel | политика / религия / промишленост / Politics / Religion / Industry,"Ficha pública da Bulgarian National Film Archive no European Film Gateway. | título alternativo: Newsreel 6 | gênero: Newsreel | duração: 00:11:37 | produtora: Bulgarsko Delo | cor: Black & White | som: With sound | direitos: In Copyright - Educational Use Permitted / Bulgarian National Film Archive | fonte de mídia: https://www.youtube.com/watch?v=LuA_7B1RhzY | I. A speech by the Minister of Transport Grigor Stoichkov. Double railway line Karnobat–Zimnitsa.– II. Photo of the family of the poet Geo Milev. An evening dedicated to the 75th anniversary of the poet's birth, organized by the Union of Bulgarian Writers. On film: Leda Mileva, Georgi Dzhagarov, Georgi Karaslavov, relatives of the poet. Professor Georgi Tsanev, literary critic and historian, speaks.– III. Hall, Georgi Dzhagarov, Chairman of the Union of Bulgarian Writers, and Sergey Mikhalkov, Secretary of the Soviet Writers, sign a contract for cooperation between Bulgarian and Russian writers.– IV. A hall in the Sofia City People's Council. Architect Georgi Stoilov, Chairman of the Executive Committee of the Sofia City People's Council presents the ""Sofia Award"" for 1969 to cultural figures. Awardees: Ruzha Delcheva /actress/, Georgi Durov /cinematographer/, directors Yanko Yankov, Nikola Zlatanov, and Lyudmil Staykov. A word from General Ivan Mihailov.– V. Sofia. Conference of filmmakers. Zahari Zhandov /director/,...",1970,Кино преглед 6,1970-01-01,Documentário e registro histórico,Agregador audiovisual europeu especializado em cinema
