institution,slug,country,continent,repository_code,archive_type,bnfa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://bnf.bg/,erro,,0,0,Rota HTTPS do site oficial; testada para registrar fragilidade TLS quando ocorrer.,"HTTPSConnectionPool(host='bnf.bg', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1006)')))"
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,http://bnf.bg/,ok,200,0,0,Site oficial da Bulgarian National Film Archive por HTTP.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,http://bnf.bg/en/film_library/,ok,200,0,0,Página institucional da filmoteca; contexto de preservação e acesso.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,http://bnf.bg/en/film_library/movie_fund/,ok,200,0,0,Página Film Collection; declara escala do acervo fílmico.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,http://bnf.bg/en/archive/,ok,200,0,0,"e-Catalogue próprio em inglês; contexto, não rota principal do corpus.",
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,http://bnf.bg/bg/archive/,ok,200,0,0,e-Catalogue próprio em búlgaro; informa desenvolvimento quando aplicável.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/about_efg/partners_contributors/bulgarian-national-film-archive,ok,200,0,0,Página da BNFA como arquivo contribuinte no European Film Gateway.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa,ok,200,8,8,Página 1 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=1%2C0%2C0,ok,200,8,8,Página 2 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
Bulgarian National Film Archive,bulgarian-national-film-archive,Bulgaria,Europe,BG-BNFA,National film archive,http://bnf.bg/,True,True,https://www.europeanfilmgateway.eu/search-efg/bnfa,https://www.europeanfilmgateway.eu/search-efg/bnfa?page=2%2C0%2C0,ok,200,8,8,Página 3 da coleção BNFA no European Film Gateway; 168 resultados de vídeo anunciados.,
