institution,slug,country,continent,repository_code,archive_type,bnt_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/news/nedelni-nyuansi-285148news.html,Неделни нюанси,Архив (А-Я),"Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 2 | fonte de mídia: https://bnt.bg/f/video/o/285/14715ba9379c8779395df4a2fc62f912.mp4 | „Неделни нюанси” среща зрителите с познати и любими лица от сферата на музиката, киното, театъра, спорта, модата и шоубизнеса, както и с личните истории на непознати хора. Представя популярни дестинации и интересни места в чужбина, любопитни събития. Запазено място в предаването имат и водещи здравни специалисти, консултанти по хранене и персонални треньори, които дават ценни съвети и препоръки на зрителите. ""Неделни нюанси"" предлага една по-различна неделя, в която има за всеки вкус по нещо. Полезно, развлекателно, образователно и забавно – това е „Неделни нюанси“. Вижте животът такъв, какъвто е. Водещ – Симона Пейчева. Гледайте „Неделни нюанси“ всяка неделя от 12:30 ч. по БНТ 2!",2024-05-26
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-ajfelovata-kula,Европейски маршрути: Айфеловата кула,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 2 | fonte de mídia: https://p.bnt.bg/e/u/eu_marshruti_300914_aifelovata_kula_x264-42691.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-greven-muzeyat-na-vosa-chnite-figuri,Европейски маршрути: Гревен - Музеят на восъчните фигури,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 2 | fonte de mídia: https://p.bnt.bg/e/u/eu_marshruti_greven-muzei_vosuchni_figuri_290414_x264-49155.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-katedralata-v-sevilya,Европейски маршрути: Катедралата в Севиля,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 5 | fonte de mídia: https://p.bnt.bg/e/v/evropeiski_marshruti_261216_katedralata_v_sevilia_x264-5997.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-madrid,Европейски маршрути: Мадрид,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 3 | fonte de mídia: https://p.bnt.bg/e/u/europeiski_marshruti_090814_x264-44597.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-na-gosti-na-shekspir,Европейски маршрути: На гости на Шекспир,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 5 | fonte de mídia: https://p.bnt.bg/e/v/evropeiski_marshruti_091016_na_gosti_na_shekspir_x264-10059.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-nuleviyat-meridian-i-naj-zapadnata-tochka-na-evropa,Европейски маршрути: Нулевият меридиан и най-западната точка на Европа,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 2 | fonte de mídia: https://p.bnt.bg/e/v/evropeiski_marshruti_100814_nuleviqt_meridian_x264-44573.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-ohrid-rachna-izrabotka-na-hartiya,Европейски маршрути: Охрид - Ръчна изработка на хартия,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 5 | fonte de mídia: https://p.bnt.bg/e/v/evropeiski_marshruti_271016_ohrid_x264-9053.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/evropejski-marshruti-ronda,Европейски маршрути: Ронда,Архив (А-Я),Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 3 | fonte de mídia: https://p.bnt.bg/e/u/eu_marshruti_190914_ronda_x264-43269.mp4,2020-05-31
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,BNT.bg,https://bnt.bg/bg/a/ochakvajte-ra-kopisa-t-epizod-10,"""Ръкописът"" - епизод 10",Архив (А-Я),"Registro público do recorte Архив (А-Я) da BNT. | página da listagem: 8 | título na listagem: Ръкописът - епизод 10 | fonte de mídia: https://p.bnt.bg/r/a/rakopisat_ep10_site_x264-20977.mp4 | В десети епизод на „Ръкописът” още двама приключиха състезанието. В началото му финалистите бяха разделени в три групи. Всяка от тях имаше интересна и запомняща се среща, след която журито постави и задачите, по които участниците трябваше да пишат. Първата група - Любослава Трайкова, Васил Панайотов и Денис Българанов - посети Народната библиотека. Там тримата имаха възможността да видят уникален ръкопис от 18 век, дамаскина на възрожденския деятел поп Пунчо от с. Мокреш, Ломско. Втората група – Светозара Давидкова и Пламен Глогов - имаше среща с младия художник Даниел Атанасов, от когото участниците научиха как се създават комиксите, как те разказват истории. Третата група – Любомир Халачев, Ралица Стоянова и Георги Бърдаров - разбраха „колко е трудно да се пише за деца” от преподавателката в НАТФИЗ, специалност кукли, Жени Пашова. Изпълнението на задачите бе коментирано в студиото и от специалните гости – писателката Людмила Филипова, художника Даниел Атанасов и Петя Александрова –...",2016-07-31
