institution,slug,country,continent,repository_code,archive_type,bnt_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/,ok,200,0,0,Página institucional da Bulgarian National Television.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bnt1/shows,ok,200,0,0,"Lista pública de programas; contexto, não rota principal do corpus.",
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/arhiv-a-ya-25cat.html,ok,200,0,0,"Categoria pública Архив (А-Я), rota principal do corpus.",
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/filmov-arkhiv,ok,200,0,0,Página institucional do arquivo fílmico; descreve acervo interno de filmes.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/audiovizualno-nasledstvo-v-es,ok,200,0,0,Página institucional do arquivo digital/de arquivos em ficheiro; descreve acervo interno.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/bnt-s-naj-golemiya-audio-vizualen-arhiv-v-ba-lgariya,ok,200,0,0,Página pública sobre o arquivo audiovisual da BNT; contexto metodológico.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/arhiv-a-ya-25cat.html,ok,200,0,0,Página 1 de 8 da categoria pública Архив (А-Я); 12 entradas listadas.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/pokoleniya-328851news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/balgarsko-selo-322332news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/sportnite-talanti-na-balgariya-320121news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/120-godini-ot-ilindensko-preobrazhensko-vastanie-319861news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/-preprochitame-shtastliveca-160-godini-ot-rozhdenieto-na-aleko-konstantinov-313793news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/300-godini-ot-rozhdenieto-na-sv-paisiy-hilendarski-deca-chetat-istoriya-slavyanobalgarska-311972news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/pravopisane-306859news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/istoriyata-nakratko-306856news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/kampaniya-bnt2-rodolyubie-306361news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/muzika-bezkrai-297914news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/otkriy-me-292717news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/nauka-za-biznes-292537news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/arhiv-a-ya-25cat.html?page=2,ok,200,0,0,Página 2 de 8 da categoria pública Архив (А-Я); 12 entradas listadas.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/s-bnt-na-uchilishte-na-fokus-7-klas-290738news.html,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/news/nedelni-nyuansi-285148news.html,ok,200,1,1,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/278076-lekari-po-vreme-na-pandemiya,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/novinarski-istorii-60-godini-po-sveta-i-u-nas,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/maturata-na-fokus,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
Bulgarian National Television,bulgarian-national-television,Bulgaria,Europe,BG-BNT,Public television audiovisual archive,https://bnt.bg/,True,True,https://bnt.bg/arhiv-a-ya-25cat.html,https://bnt.bg/bg/a/pitay-bnt,ok,200,0,0,Página de detalhe da categoria Архив (А-Я); incorporada ao catálogo apenas quando há player público.,
