institution,slug,country,continent,repository_code,archive_type,ccma_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/espai-internet-28102012/video/4309331/,3Cat,https://www.3cat.cat/3cat/espai-internet-28102012/video/4309331/,Espai Internet 28/10/2012,Telenotícies; Telenotícies; CLIP_PPD; DTY_VIDEO_MM; Espai Internet; Telenotícies-Edicions; Català; No geolocalitzat,"Les imatges de la història de TV3 són a l'abast de tothom a la web ""Descobreix l'arxiu de TV3"". El segon tema té a veure amb la setmana de Tots Sants, un bon moment per recomanar una web de necrològiques. Rememori.com. Per acabar, una història que també té a veure amb la mort, però no només amb ella. Parlarem de grans propines i d'una web que recull les cares de sorpresa dels cambrers que les reben. | recorte: Descobreix l'arxiu de TV3 | duração: 00:02:28:24 | emissão: 28/10/2012 14:30:00 | publicação: 28/10/2012 14:30:00 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4309331/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/4/1/1351435460214.jpg",2012-10-28
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/club-super3/video/4302570/,3Cat,https://www.3cat.cat/3cat/video/4302570/embed/?tipus_embed=google,Club Super3,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"El Club Super3 va iniciar les seves emissions el 1991, com a club i com a programa contenidor que incloïa dibuixos animats intercalats amb gags o esquetxos. Mostra dels primers gags del Club Super3 amb els personatges de la Nets, la Noti i el Petri, atacats pel Megazero, del qual es defensaven amb l'ajuda dels súpers i la Super Mà. Els programes com a tals no s'han preservat, però sí tots els gags i les sèries d'animació, que estan en fase de digitalització. | recorte: Descobreix l'arxiu de TV3 | duração: 00:05:36:11 | emissão: 11/02/1991 00:00:00 | publicação: 24/10/2012 17:02:15 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4302570/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/3/8/1351091011383.jpg",1991-02-11
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/mikimoto-club/video/4302530/,3Cat,https://www.3cat.cat/3cat/video/4302530/embed/?tipus_embed=google,Mikimoto club,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Magazín juvenil, que incloïa entrevistes i actuacions, dirigit a i presentat per Miquel Calzada (Mikimoto), que es va emetre a TV3, en directe, en horari de tarda de 1989 a 1990. En aquest emissió, Mikimoto entrevista el grup Sopa de Cabra, que interpreten ""L'Empordà"". | recorte: Descobreix l'arxiu de TV3 | duração: 00:20:02:11 | emissão: 30/10/1989 00:00:00 | publicação: 24/10/2012 16:35:49 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4302530/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/2/0/1351089404302.jpg",1989-10-30
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/bona-cuina/video/4302450/,3Cat,https://www.3cat.cat/3cat/video/4302450/embed/?tipus_embed=google,Bona cuina,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Primer programa de cuina de TV3, dirigit i presentat per Jaume Pastellé, que va estar en antena a TV3 de 1987 a 1993, i que després va tenir continuació en altres programes de cuina, fins al ""Cuines"" actual. Aquesta és la primera emissió del programa. Molts dels gairebé 700 capítols de ""Bona cuina"" estan ja digitalitzats i són consultables a TV3alacarta. | recorte: Descobreix l'arxiu de TV3 | duração: 00:03:20:20 | emissão: 05/10/1987 00:00:00 | publicação: 24/10/2012 16:04:05 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4302450/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/9/0/1351087492309.jpg",1987-10-05
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/filiprim/video/4309450/,3Cat,https://www.3cat.cat/3cat/video/4309450/embed/?tipus_embed=google,Filiprim,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Un dels primers concursos de TV3, amb concursants telefònics i públic al plató. Filiprim dirigit i presentat per Josep Maria Bachs, es va emetre diàriament (de dilluns a divendres) en directe de 1986 a 1990, dirigit i presentat per Josep Maria Bachs i per Jordi Estadella la darrera temporada. En aquesta emissió de 1986 participen Josep Maria Bachs, Jordi Novella i Jaume Sorribas, ""l'encarregat"". Del programa Filiprim, com dels concursos posteriors, no s'ha preservat tota la col·lecció, sinó una mostra suficientment representativa (com a mínim d'un 10% de les emissions), que ja esta digitalitzada. | recorte: Descobreix l'arxiu de TV3 | duração: 00:41:34:15 | emissão: 09/10/1986 00:00:00 | publicação: 23/10/2012 16:19:20 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4309450/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/9/0/1351437649309.jpg",1986-10-09
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/temps-de-neu/video/4306870/,3Cat,https://www.3cat.cat/3cat/video/4306870/embed/?tipus_embed=google,Temps de neu,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"El programa ""Temps de neu"", informatiu dels esports d'hivern, està en antena des de 1986, tot i que s'emet només durant la temporada d'hivern. Aquesta és la primera emissió del programa, dirigit i presentat inicialment per Eduard Berraondo. Temps de Neu, com els altres programes informatius d'esports, està en fase de digitalització, ja estan digitalitzats els 10 primers anys, fins al 1994. A TV3alacarta i a la pàgina web del programa se'n poden consultar les últimes emissions. | recorte: Descobreix l'arxiu de TV3 | duração: 00:23:18:16 | emissão: 01/09/1986 00:00:00 | publicação: 24/10/2012 12:24:09 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4306870/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/4/7/1351247130374.jpg",1986-09-01
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/angel-casas-show/video/4304050/,3Cat,https://www.3cat.cat/3cat/video/4304050/embed/?tipus_embed=google,Àngel Casas Show,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Programa dirigit i presentat per Àngel Casas, que es va emetre per TV3 durant diverses temporades, de 1984 a 1988. Aquesta emissió és un programa especial resum de la primera etapa del programa, que inclou fragments d'actuacions i entrevistes del personatges més significatius que havien passat pel programa: Christopher Lee , Mary Santpere, Miguel Bose, Charles Aznavour, Catherine Deneuve... Tots el programes d'aquesta sèrie estan ja digitalitzats. | recorte: Descobreix l'arxiu de TV3 | duração: 01:23:27:00 | emissão: 24/06/1986 00:00:00 | publicação: 25/10/2012 03:17:33 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4304050/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/6/2/1417716024726.jpg",1986-06-24
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/mecanoscrit-del-segon-origen/video/4303190/,3Cat,https://www.3cat.cat/3cat/video/4303190/embed/?tipus_embed=google,Mecanoscrit del segon origen,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Primer capítol d'una de les primeres sèries de ficció produïdes per TV3, dirigida a un públic juvenil. Adaptació de la novel·la del mateix títol de Manuel de Pedrolo, on es descriu la lluita per la vida de dos joves, un noi i una noia, únics supervivents a la terra despres d'un atac extraterrestre. Dirigida per Ricard Reguant i interpretada per Àgueda Font i Guillem d'Efak. Totes les sèries de ficció produïdes per TV3 estan ja digitalitzades i la majoria son consultables a TV3alacarta | recorte: Descobreix l'arxiu de TV3 | duração: 00:25:37:03 | emissão: 29/12/1985 00:00:00 | publicação: 24/10/2012 20:46:40 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4303190/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/3/4/1351104507843.jpg",1985-12-29
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/fes-flash/video/4303010/,3Cat,https://www.3cat.cat/3cat/video/4303010/embed/?tipus_embed=google,Fes Flash,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"""Fes Flash"" va ser un dels primers programes infantils de TV3. Era un programa diari, amb diversos personatges i seccions, que incloïa també sèries d'animació. Es va emetre durant tres temporades, de 1985 a 1987. Aquesta emissió inclou un capítol de la sèrie de titelles ""Les aventures del Senyor Cordills"". | recorte: Descobreix l'arxiu de TV3 | duração: 00:05:48:21 | emissão: 14/06/1985 00:00:00 | publicação: 24/10/2012 19:36:23 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4303010/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/4/3/1351100237734.jpg",1985-06-14
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/galeria-oberta/video/4303570/,3Cat,https://www.3cat.cat/3cat/video/4303570/embed/?tipus_embed=google,Galeria Oberta,Descobreix l'arxiu de TV3; Descobreix l'arxiu de TV3; ALTRES; DTY_VIDEO_MM; Descobreix l'arxiu de TVC; Català; No geolocalitzat,"Programa cultural, dirigit i presentat per Vicenç Villatoro, que inclou un informatiu , dossier, i l'emissió d'un espectacle. Es va emetre per TV3 les dues primeres temporades, 1984 - 1986 Aquesta emissió inclou entrevistes amb la soprano Agnes Baltsa i amb l'escriptor Xavier Bru de Sala que parla de la seva traducció del Cyrano que interpreta Josep Maria Flotats, i un reportatge sobre la futura construcció del MACBA a Barcelona. Tots els programes de Galeria Oberta estan ja digitalitzats | recorte: Descobreix l'arxiu de TV3 | duração: 00:44:50:23 | emissão: 15/03/1985 00:00:00 | publicação: 24/10/2012 22:55:08 | player público 3Cat registrado sem baixar mídia | embed: https://www.3cat.cat/3cat/video/4303570/embed/?tipus_embed=google | imagem: https://img.3cat.cat/multimedia/jpg/9/2/1351112231829.jpg",1985-03-15
