institution,slug,country,continent,repository_code,archive_type,ccma_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://www.3cat.cat/3cat/,ok,200,0,0,"Plataforma pública 3Cat, acesso sob demanda a vídeos.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://www.3cat.cat/corporatiu/ca/el-grup/,ok,200,0,0,Página corporativa que identifica a CCMA/3Cat como grupo audiovisual público.,
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://www.3cat.cat/venda-imatges/,ok,200,0,0,"Serviço de venda/cópia de imagens de arquivo; documentado como acesso sob demanda, fora do corpus público coletado.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/cercador/tot?_format=json&text=Descobreix+l%27arxiu+de+TV3&tipologia=DTY_VIDEO_MM&items_pagina=12&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,12,0,Página 1 da busca pública 3Cat por `Descobreix l'arxiu de TV3`.,
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4309331&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,0,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4304050&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,1,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4303810&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,1,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4303770&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,1,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4303570&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,1,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,ccma-3cat,Spain,Europe,ES-CCMA,Public service broadcaster digital video archive,https://www.3cat.cat/3cat/,True,True,https://www.3cat.cat/3cat/,https://api.3cat.cat/videos?_format=json&id=4303550&no_agrupacio=PUAG_PROGVID&origen=item&pagina=1&sdom=img&version=2.0&cache=180&https=true&master=yes,ok,200,1,1,"Ficha JSON pública 3Cat verificada, com página/player registrado sem baixar mídia.",
