institution,slug,country,continent,repository_code,archive_type,cdna_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250825171038535/cite%20des%20castors%204%20WEB.mp4,Cités des Castors IV,Guy DUMOUSSAUD,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:17:43 | ano/período: Septembre-Décembre 1954 | realização: Guy DUMOUSSAUD | data de publicação: 2025-08-25 | Les ""Castors Angoumoisins"", membres d'une coopérative d'autoconstruction, extraient la roche dans une carrière, entament les premiers travaux de soubassement des maisons et poursuivent la réalisation d'une cité ouvrière à Gond-Pontouvre (Charente) en 1954. Collection : Archives départementales de Charente. --- En 1952, un groupe d'ouvriers fonde une coopérative d'autoconstruction à Angoulême (Charente) pour réaliser de nouvelles habitations individuelles selon les principes du mouvement Castor. Sous l'impulsion et la coordination d'un ingénieur, Jean Sebire, les ""Castors Angoumoisins"" se lancent dans la construction d'un premier lotissement comprenant 43 maisons individuelles à Gond-Pontouv...",Septembre-Décembre 1954
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20251126121655968/C%20P9%20SPE01%200001%20PR%2003.mp4,11 novembre 1949 à Limoges,Nestor SPEL,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:09:47 | ano/período: Novembre 1949 | realização: Nestor SPEL | data de publicação: 2025-11-26 | Les délégations départementales de l'Union Française des Anciens Combattants (UFAC) et des Combattants de la Paix et de la Liberté défilent dans les rues de Limoges (Haute-Vienne) et déposent des gerbes de fleurs aux différents monuments aux morts de la ville, le 11 novembre 1949. Note : La séquence concluant cette archive montre également l'arrivée d'une délégation des Combattants de la Paix et de la Liberté aux Assises Nationales du Peuple Français pour la Paix et la Liberté à Paris en novembre 1949. --- Tournés par un militant communiste entre 1948 et 1949, ces films relatent le déroulement de plusieurs manifestations organisées dans le contexte de la naissance du Mouvement de la Paix. O... | Limoges, Haute-Vienne. 00'00 EXT Vue des drapeaux tricolores portant les mentions du 63e Régiment d'Infanterie et d'une organisation d'anciens combattants. Puis, les porteurs de drapeaux, en tête de cortège, lancent le défilé. / 00'20 Le cortège de manifestants défilent dans la rue de la Mauvendière et arrive près du Champ de Foire, devant la maison d'arrêt de Limoges. Une femme dépose une gerbe de fleurs devant la plaque commémorative. Les manifestants se recueillent. / 01'08 Le cortège de manifestants poursuit son défilé dans les rues du centre-ville de Limoges (rue Louvrier de Lajolais, avenue de la Libération, avenue Garibaldi). Vue de Georges Guingouin, en tête de cortège. Plusieurs manifestants défilent avec leurs parapluies ouverts. / 02'17 Plusieurs personnalités (Georges Guingouin, ...) se recueillent devant le monument aux morts de la guerre de 1870, place Jourdan. Un homme joue de la trompette. Des porteurs relèvent leurs drapeaux. Vue de la gerbe de fleurs, portant la bannière de l'Union Française des Anciens Combattants, au pied du monument. / 02'45 Diverses vues des affiches d'hebdomadaires politiques, lacérées et recouvertes de croix gammées. / 05'07 Diverses vues d...",Novembre 1949
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250723111332525/Cinq%20mouvements%20sur%20l_eau_WEB.mp4,Cinq mouvements sur l'eau,Jean-Pierre VALLADEAU,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:08:44 | ano/período: Non déterminée | realização: Jean-Pierre VALLADEAU | data de publicação: 2025-07-23 | Dans ce film expérimental, Jean-Pierre Valladeau se livre à cinq études esthétiques dans le cadre d'une recherche plastique sur les formes et les mouvements de l'eau. | Localisation inconnue. 00'00 BT cinq mouvements sur l'eau / 00'04 Diverses formes géométriques et complexes [cercle, lune, carré, lignes, pique, triangle, nuage] émettent un reflet lumineux sur une étendue d'eau agitée. Une partition de piano accompagne l'apparition et le mouvement des formes. / 00'55 Diverses formes colorées [cercles et lignes verts, carrés rouges, trèfle, pique] se reflètent et s'animent sur la surface de l'eau. Les cercles verts projettent des nuages et des vagues, dans un jeu de superposition des formes. / 01'48 CPLO PANO Diverses vues des arbres aux branches décharnées sous un ciel gris. Diverses vues du reflet des arbres sur la surface de l'eau. / 03'30 ZOOM Répétition rapide de plusieurs vues zoomées des sapins, derrière une petite église. ZOOM Puis, répétition rapide d'une vue inversée du ciel ensoleillé et de la cime des sapins. ZOOM Répétition rapide de vues zoomées du massif de sapins derrière la petite église et de leurs reflets sur l'eau. / Rome, Italie. 05'11 Diverses vues saccadées des fontaines de la place Saint-Pierre (Vatican) et de Rome [Fontaine des Quatre Fleuves, Fontaine du Panthéon, Fontaine de Trévi, Fontaine du Triton, Fontaine de Neptune...",Non déterminée
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250722170004750/Le%20Bois%20II_WEB.mp4,Le Bois II,Jean-Pierre VALLADEAU,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:09:49 | ano/período: Non déterminée | realização: Jean-Pierre VALLADEAU | data de publicação: 2025-07-22 | Ce documentaire expérimental, réalisé par Jean-Pierre Valladeau à Surgères, Aulnay (Charente-Maritime) et Lesterps (Charente), nous convie à une méditation poétique sur le bois et son exploitation dans les activités humaines. D'après son auteur, ""[ce film] se penche sur l'homme, l'accompagne dans son labeur, dans ses rêves et s'offre pour unir la terre au souffle de l'infini."" Ce film documentaire a été récompensé par la médaille Jean Giraudoux. C'est également la seconde version d'un film plus ancien, réalisé par Jean-Pierre Valladeau dans les années 1960, et consultable ici : https://cdna.memoirefilmiquenouvelleaquitaine.fr/films/le-bois-i | Localisation inconnue. 00'00 BT Le Bois. Un film de Jean-Pierre Valladeau. En fond sonore, un morceau de musique classique, interprété au violon. / 00'23 PANO Vue d'un arbre mort dans une prairie. ZOOM Vue d'un tas de branches coupées au sol. Diverses vues de branches, d'arbres et de feuilles automnales. Puis, vue d'un arbre dans un pré plongé dans la brume. CPLO Vue d'une branche de l'arbre et du soleil derrière le brouillard. En voix off, un narrateur [Jean-Pierre Valladeau] commente poétiquement la place de l'arbre et du bois dans les croyances. / Surgères, Charente-Maritime. 01'33 Vue partielle de l'église romane de Surgères / Lesterps, Charente. 01'38 Vue partielle de l'abbatiale de Lesterps. En voix off, le narrateur évoque le dialogue poétique entre le bois et la pierre. / Aulnay, Charente-Maritime. 01'44 PL Vue de l'église Saint-Pierre-d'Aulnay et de son cimetière. / Localisation inconnue. 01'55 TRAV Promenade sur une rivière, traversant des prés et des bois. En voix off, le narrateur évoque la relation entre l'arbre et l'eau. En fond sonore, un court morceau de musique classique. / 02'32 Diverses vues d'un arbre [bouleau], de son feuillage automnal et de son écorce blanch...",Non déterminée
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250715092635950/Ambroisie_WEB.mp4,Ambroisie,Jean-Pierre VALLADEAU,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:08:02 | ano/período: Mai 1985 | realização: Jean-Pierre VALLADEAU | data de publicação: 2025-07-17 | Réalisé par Jean-Pierre Valladeau, ce documentaire expérimental relate le déroulement de la fête annuelle du Félibrige, la Sainte Estelle, dans la ville de Saint-Junien (Haute-Vienne) en 1985. --- Accueillie trois fois à Saint-Junien au cours du XXe siècle (en 1965, 1985 et 2000), la Sainte Estelle (Santo-Estello en occitan) est une fête laïque célébrée chaque année dans une ville membre du Félibrige. Cette association historique, fondée par des jeunes poètes - et parmi eux, Frédéric Mistral - en 1854, a pour objectif de préserver et de promouvoir la langue et la culture des pays de langue d'Oc. Le Félibrige organise annuellement la Sainte Estelle sur trois jours, dans une ville hôte entièr... | Saint-Junien, Haute-Vienne. 00'00 BT Ambroisie, sur plusieurs fonds colorés. En fond sonore, quelques notes de piano accompagnent les changements de couleurs. / 00'04 EXT TRAV Promenade accélérée dans les rues de Saint-Junien, entrecoupée de vues d'un spectacle de danse folklorique et d'une foule de spectateurs. En fond sonore, une partition musicale interprétée au piano. / 00'18 Vues d'un décor de porte médiévale. / 00'21 TRAV Promenade accélérée dans les rues décorées de Saint-Junien et parmi des groupes d'individus en tenues folkloriques. Portrait d'une jeune femme, revêtant un habit traditionnel (barbichet, …). / 01'05 RAL Vue ralentie d'une foule de passants dans la rue Lucien Dumas. Puis, vues de plusieurs personnes en tenues traditionnelles et de musiciens jouant de leur instrument (vièle, cornemuse, violon). En fond sonore, la partition au piano laisse place à une musique traditionnelle. / 01'31 INT Spectacle accéléré de danse et de musique traditionnelles. Danseurs et musiciens en costumes traditionnels se succèdent sur scène. / 01'43 EXT Plusieurs manifestants costumés sortent de la collégiale de Saint-Junien, au milieu d'une foule de spectateurs. Divers portraits de man...",Mai 1985
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20260310152128819/Final_CP8GAC010084DO_WEB.mp4,Côte d'Ivoire I,Jacques & Janine BARBARY,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:13:50 | ano/período: Mai - Juin 1954 | realização: Jacques & Janine BARBARY | data de publicação: 2026-03-10 | Un couple part en croisière en Afrique de l'Ouest depuis Bordeaux et fait escale dans plusieurs villes (Dakar, Conakry, Sassandra), avant de terminer leur voyage à Abidjan, de mai à juin 1954. | Bordeaux, Gironde. 00'00 BT ""Jacques et Janine Barbary présentent :"", ""Côte d'ivoire"", ""Le film de leur première expédition en Afrique Noire"". Vue d'une carte de l'Europe dessinée avec Bordeaux inscrit. / 00'29 Diverses vues du port de Bordeaux et de son équipement (grues, wagons, ...). Des caisses de cargaison sont chargées sur un bateau. Diverses vues de dockers. Puis, vues des passagers observant le départ de leur bateau et d'un groupe d'individus sur le quai. TRAV Vue défilante des quais et des bateaux depuis le cargo. / 03'48 BT Carte de l'Europe dessinée. Une ligne en pointillé se dessine progressivement. / 03'54 Vues des vagues et des ponts du bateau. Vue d'une bouée, portant la mention ""Général Leclerc Bordeaux"". Des marins attachent des cordes sur un mât de charge. / 04'48 Des passagers lisent sur des chaises longues sur un pont inférieur. Vues en alternance d'un homme et d'une femme se promenant sur les ponts du bateau. / 06'10 Des membres de l'équipage poussent des effigies de chevaux en bois sur une piste dessinée sur le pont. Des passagers observent la course. / 06'50 BT BT Carte de l'Afrique de l'Ouest dessinée, avec des indications géographiques (Dakar, Conakry, Sas...",Mai - Juin 1954
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250825095522446/cite%20des%20castors%201%20WEB.mp4,Cités des Castors I,Guy DUMOUSSAUD,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:15:59 | ano/período: Juin-Juillet 1954 | realização: Guy DUMOUSSAUD | data de publicação: 2025-08-25 | Les ""Castors Angoumoisins"", membres d'une coopérative d'autoconstruction, débutent le premier chantier de construction d'une cité ouvrière et préparent les fondations des premières maisons à Gond-Pontouvre (Charente) fin juin - début juillet 1954. Collection : Archives départementales de Charente. --- En 1952, un groupe d'ouvriers fonde une coopérative d'autoconstruction à Angoulême (Charente) pour réaliser de nouvelles habitations individuelles selon les principes du mouvement Castor. Sous l'impulsion et la coordination d'un ingénieur, Jean Sebire, les ""Castors Angoumoisins"" se lancent dans la construction d'un premier lotissement comprenant 43 maisons individuelles à Gond-Pontouvre puis d...",Juin-Juillet 1954
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20250825121946120/cite%20des%20castors%202%20WEB.mp4,Cités des Castors II,Guy DUMOUSSAUD,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:17:32 | ano/período: Juillet 1954 | realização: Guy DUMOUSSAUD | data de publicação: 2025-08-25 | Les ""Castors Angoumoisins"", membres d'une coopérative d'autoconstruction, débutent le second chantier de construction d'une cité ouvrière dans le quartier de la Grande-Garenne d'Angoulême (Charente) et préparent les fondations des premières maisons en juillet 1954. Collection : Archives départementales de Charente. --- En 1952, un groupe d'ouvriers fonde une coopérative d'autoconstruction à Angoulême (Charente) pour réaliser de nouvelles habitations individuelles selon les principes du mouvement Castor. Sous l'impulsion et la coordination d'un ingénieur, Jean Sebire, les ""Castors Angoumoisins"" se lancent dans la construction d'un premier lotissement comprenant 43 maisons individuelles à Gon...",Juillet 1954
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/20251126105058196/C%20P9%20SPE01%200001%20PR%2001.mp4,Mouvement communiste pour la Paix,Nestor SPEL,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:04:18 | ano/período: Juillet 1949 | realização: Nestor SPEL | data de publicação: 2025-11-26 | Dans le cadre de la naissance du Mouvement de la Paix, des militants communistes se rendent dans les ruines du village d'Oradour-sur-Glane (Haute-Vienne), en compagnie de Jacques Duclos, pour déposer une gerbe de fleurs au cimetière. Ils retrouvent ensuite l'ancienne figure de la Résistance, Georges Guingouin, lors d'une fête populaire organisée par l'association des Anciens FFI-FTPF et des organisations proches du PCF en juillet 1949. --- Tournés par un militant communiste entre 1948 et 1949, ces films relatent le déroulement de plusieurs manifestations organisées dans le contexte de la naissance du Mouvement de la Paix. Officiellement apolitique, le Mouvement de la Paix est initié dans le... | Oradour-sur-Glane, Haute-Vienne. 00'00 EXT Jacques Duclos et plusieurs responsables communistes [Adrien Duquéroix, Jean Tricart, Aimé Faugeras, Marcel Rigout] sortent d'un bâtiment en bois, se recueillent devant le monument à la mémoire des victimes dans le nouvel Oradour et marchent au milieu des ruines de l'ancien Oradour. / 00'34 Jacques Duclos dépose une gerbe de fleur dans le cimetière au nom du PCF, et se recueille avec les responsables communistes. / Localisation inconnue. 01'00 Diverses vues de la foule de personnes participant à une fête au milieu d'un bois. Un homme s'approche de la caméra et prend une cigarette. Trois hommes attablés boivent un verre. / 01'27 Vues des stands des associations France - URSS et des Anciens FFI-FTPF de Haute-Vienne. / 01'44 Vue de Georges Guingouin, d'Adrien Duqueroix et d'un militant communiste [?] discutant et se promenant. / 01'54 Vue d'un groupe d'enfants. / 02'00 Vue de plusieurs photomontages accrochés et consacrés à Georges Guingouin et au maquis. / 02'12 Des hommes visent une cible avec des boules lors d'un jeu de pétanque. / 02'30 Diverses vues de familles assises dans l'herbe et de personnes patientant autour d'une scène décorée....",Juillet 1949
Cinémathèque de Nouvelle-Aquitaine,cin-math-que-de-nouvelle-aquitaine,France,Europe,FR-CDNA,Regional audiovisual and amateur film archive,https://cdna.memoirefilmiquenouvelleaquitaine.fr/,True,True,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,Cinémathèque de Nouvelle-Aquitaine,https://videos-cdna.memoirefilmiquenouvelleaquitaine.fr/2025082516112110/cite%20des%20castors%205%20WEB.mp4,Cités des Castors V,Guy DUMOUSSAUD,"Ficha pública da CdNA; registro materializado a partir do endpoint público de filmes. | duração: 0:14:25 | ano/período: Hiver 1955 | realização: Guy DUMOUSSAUD | data de publicação: 2025-08-25 | Les ""Castors Angoumoisins"", membres d'une coopérative d'autoconstruction, poursuivent les travaux de soubassement des premières maisons et réalisent une route conduisant à la future cité ouvrière de Gond-Pontouvre (Charente) à l'hiver 1955. Collection : Archives départementales de Charente. --- En 1952, un groupe d'ouvriers fonde une coopérative d'autoconstruction à Angoulême (Charente) pour réaliser de nouvelles habitations individuelles selon les principes du mouvement Castor. Sous l'impulsion et la coordination d'un ingénieur, Jean Sebire, les ""Castors Angoumoisins"" se lancent dans la construction d'un premier lotissement comprenant 43 maisons individuelles à Gond-Pontouvre puis d'un sec...",Hiver 1955
