institution,slug,country,continent,repository_code,archive_type,cineam_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/,ok,200,0,0,Site institucional CINÉAM.,
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/a-propos-897-0-0-0.html,ok,200,0,0,"Página sobre missão, descrição dos filmes e uso da base Diaz.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/deposez-vos-films-898-0-0-0.html,ok,200,0,0,"Página sobre depósito, salvaguarda e preservação de filmes.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-905-0-0-0.html,ok,200,0,0,"Listagem pública `Films / Exploration`, usada como rota de coleta.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/realisations-1094-0-0-0.html,ok,200,0,0,"Página de realizações e ações audiovisuais; contexto, não rota principal da coleta.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-905-0-0-0.html,ok,200,18,0,Página 1 da listagem pública `Films / Exploration` do CINÉAM.,
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-moulins-nichoirs-et-anniversaire-905-0-0-0.html?_doc=9%3A4%3A3818&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-les-enfants-jouent-dans-l-herbe-905-0-0-0.html?_doc=9%3A4%3A3817&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-les-filles-et-leur-dinette-905-0-0-0.html?_doc=9%3A4%3A3816&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
CINÉAM,cineam,France,Europe,FR-CINEAM,Institutional amateur film and audiovisual archive,https://www.cineam.asso.fr/,True,True,https://www.cineam.asso.fr/exploration-905-0-0-0.html,https://www.cineam.asso.fr/exploration-famille-en-appartement-905-0-0-0.html?_doc=9%3A4%3A3815&page=1,ok,200,1,1,"Ficha pública CINÉAM verificada, com embed Diaz registrado sem baixar mídia.",
