institution,slug,country,continent,repository_code,archive_type,cinearchives_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-9eme-grand-prix-cycliste-de-l-humanite-1104-20-1-2.html,9ÈME GRAND PRIX CYCLISTE DE L'HUMANITÉ,COLLECTIF CINÉ-LIBERTÉ; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: COLLECTIF CINÉ-LIBERTÉ | duração: 00:13:00 | som: Sonore | Le 9ème grand prix cycliste de L'Humanité, le Havre-Rouen-Paris, avec le concours de la F.S.G.T. La première partie du film suit la course, de",1937,9ÈME GRAND PRIX CYCLISTE DE L'HUMANITÉ,1937-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-colonies-de-vacances-de-colombes-1937-1104-472-1-2.html,COLONIES DE VACANCES DE COLOMBES (1937),Albert MOURLAN; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Albert MOURLAN | duração: 00:10:00 | som: Muet | En 1935, une liste Front populaire l'a emporté à Colombes: le communiste Elie Bruneau est devenu maire. Comme les autres villes de la Ceinture",1937,COLONIES DE VACANCES DE COLOMBES (1937),1937-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-fils-du-peuple-1104-92-1-2.html,FILS DU PEUPLE,ANONYME; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: ANONYME | duração: 00:05:00 | som: Sonore | Maurice Thorez chez lui, en banlieue parisienne, dans sa maison d'Ivry-Sur-Seine : ""bon père et bon époux"", il dicte des chapitres de sa",1937,FILS DU PEUPLE,1937-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-francais-francaises-visages-de-france-1104-46-1-2.html,FRANÇAIS FRANÇAISES - VISAGES DE FRANCE,André VIGNEAU; Sonore,Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: André VIGNEAU | duração: 00:12:00 | som: Sonore | Film offert par les amis de l'URSS (l 'AUS) à l'Union soviétique dans le cadre de l'exposition universelle de 1937. Après un exposé qui donne une,1937,FRANÇAIS FRANÇAISES - VISAGES DE FRANCE,1937-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-grande-esperance-la-1104-23-1-2.html,GRANDE ESPÉRANCE (LA),Jacques BECKER; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Jacques BECKER | duração: 00:29:00 | som: Sonore | Scènes et illustrations du congrès du P.C.F. à Arles, du 25 au 29 décembre 1937. Au contenu politique du congrès s'ajoute la description de son",1937,GRANDE ESPÉRANCE (LA),1937-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-sanidad-en-el-frente-y-en-la-retaguardia-1104-49-1-2.html,SANIDAD EN EL FRENTE Y EN LA RETAGUARDIA,Rafael GIL; Sonore,Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Rafael GIL | duração: 00:11:00 | som: Sonore | Ce document traite du travail réalisé par le front populaire concernant la santé et le secours apportés aux Madrilènes après les bombardements de,1937,SANIDAD EN EL FRENTE Y EN LA RETAGUARDIA,1937-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-temps-des-cerises-le-1104-21-1-2.html,TEMPS DES CERISES (LE),Jean-Paul LE CHANOIS; Sonore,Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Jean-Paul LE CHANOIS | duração: 01:13:00 | som: Sonore | Petite saga familiale commandée par le PCF pour illustrer la nécessité d'une retraite pour les vieux travailleurs. Le Temps des cerises suit la,1937,TEMPS DES CERISES (LE),1937-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-victoire-de-la-vie-1104-94-1-2.html,VICTOIRE DE LA VIE,Henri CARTIER-BRESSON; Sonore,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: Henri CARTIER-BRESSON | duração: 00:47:00 | som: Sonore | L'effort sanitaire et la mobilisation de l'Espagne républicaine, sur le front et à l'arrière, et la solidarité médicale des pays étrangers,",1937,VICTOIRE DE LA VIE,1937-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-1er-mai-1936-1104-148-1-2.html,1ER MAI 1936,ANONYME; Muet,"Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: ANONYME | duração: 00:02:00 | som: Muet | Manifestations dans Paris : manifestants place de la Bastille et dans le bois de Vincennes ; le siège de la CGT. Malgré son titre, tout porte à",1936,1ER MAI 1936,1936-01-01,"Vida pública, política e história",Arquivo audiovisual institucional
Ciné-Archives,cin-archives,France,Europe,FR-CINEARCHIVES,Institutional film and labour movement audiovisual archive,https://www.cinearchives.org/,True,True,https://www.cinearchives.org/catalogue-1104-0-0-0.html,Ciné-Archives,https://www.cinearchives.org/catalogue-bucarest-defile-militaire-et-fete-religieuse-1104-1602-1-2.html,"BUCAREST, DÉFILÉ MILITAIRE ET FÊTE RELIGIEUSE",ANONYME; Son manquant,Ficha pública do catálogo Ciné-Archives; registro materializado a partir da listagem oficial. | realização: ANONYME | duração: 00:07:00 | som: Son manquant | Ce document comporte deux séquences distinctes : la première montre la famille royale assister à un défilé militaire. La deuxième partie relate une,1936,"BUCAREST, DÉFILÉ MILITAIRE ET FÊTE RELIGIEUSE",1936-01-01,Documentário e registro histórico,Arquivo audiovisual institucional
