institution,slug,country,continent,repository_code,archive_type,cinemateca_portuguesa_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=10391&type=Video,1º Maio - Festa Unitária dos Trabalhadores de Todo o Mundo,"Portugal, 1978","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1978 | duração: 00:15:45",1978,1º Maio - Festa Unitária dos Trabalhadores de Todo o Mundo,1978-01-01,"Vida pública, política e história",Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=5632&type=Video,1º Maio 76: Jornada de Unidade,"Portugal, 1976","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1976 | duração: 00:09:;41",1976,1º Maio 76: Jornada de Unidade,1976-01-01,Registro audiovisual em cinemateca digital,Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=4125&type=Video,24 Imagens Por Segundo,"Portugal, 1976","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1976 | duração: 00:11:34",1976,24 Imagens Por Segundo,1976-01-01,Registro audiovisual em cinemateca digital,Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=11655&type=Video,A Arte e a Justiça,"Portugal, 1967","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1967 | duração: 00:10:45",1967,A Arte e a Justiça,1967-01-01,"Vida pública, política e história",Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=2604&type=Video,1ºs Jogos Desportivos Luso-Brasileiros 1960,"Portugal, 1960","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1960 | duração: 00:26:40",1960,1ºs Jogos Desportivos Luso-Brasileiros 1960,1960-01-01,Esporte e cultura física,Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=1659&type=Video,30 Anos Com Salazar,"Portugal, 1957","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1957 | duração: 00;31:28",1957,30 Anos Com Salazar,1957-01-01,"Vida pública, política e história",Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=2561&type=Video,A Aldeia e as Quatro Estações,"Portugal, 1955","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1955 | duração: 00:17:27",1955,A Aldeia e as Quatro Estações,1955-01-01,"Território, cidade e patrimônio",Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=1648&type=Video,A Apoteótica Visita a Portugal do Presidente da República Brasileira,"Portugal, 1955","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1955 | duração: 00:21:45",1955,A Apoteótica Visita a Portugal do Presidente da República Brasileira,1955-01-01,"Vida pública, política e história",Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=1642&type=Video,A Celebração do 28 de Maio em 1952,"Portugal, 1952","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1952 | duração: 00:17:33",1952,A Celebração do 28 de Maio em 1952,1952-01-01,Registro audiovisual em cinemateca digital,Cinemateca digital institucional
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,Cinemateca Digital,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=1916&type=Video,18 Anos no Governo da Nação,"Portugal, 1950","Ficha pública de vídeo na Cinemateca Digital; registro materializado a partir da listagem oficial. | Portugal, 1950 | duração: 00:39:22",1950,18 Anos no Governo da Nação,1950-01-01,Registro audiovisual em cinemateca digital,Cinemateca digital institucional
