institution,slug,country,continent,repository_code,archive_type,cinemateca_portuguesa_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/,ok,200,0,0,Página institucional da Cinemateca Portuguesa.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/colecoes/filme-e-video.aspx,ok,200,0,0,Página oficial Filme e Vídeo: acervo de imagens em movimento.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/servicos/acesso-arquivo-filmico.aspx,ok,200,0,0,Página oficial de acesso ao Arquivo Fílmico e Videográfico.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital.aspx,ok,200,0,0,Página Cinemateca Digital: plataforma de visionamento online.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://felix.cinemateca.pt/,ok,200,0,0,Portal Félix: dados abertos e catálogos do património cinematográfico português.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/video.aspx,ok,200,10,0,Página 1 da listagem pública de vídeos da Cinemateca Digital.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/video.aspx?page=2,ok,200,10,0,Página 2 da listagem pública de vídeos da Cinemateca Digital.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/video.aspx?page=3,ok,200,10,0,Página 3 da listagem pública de vídeos da Cinemateca Digital.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/video.aspx?page=4,ok,200,10,0,Página 4 da listagem pública de vídeos da Cinemateca Digital.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/video.aspx?page=5,ok,200,10,0,Página 5 da listagem pública de vídeos da Cinemateca Digital.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=13016&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=13015&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=13402&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=13695&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=13618&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
Cinemateca Portuguesa - Museu do Cinema,cinemateca-portuguesa-museu-do-cinema,Portugal,Europe,PT-CINEMATECA,National film and moving image archive,https://www.cinemateca.pt/,True,True,https://www.cinemateca.pt/cinemateca-digital/video.aspx,https://www.cinemateca.pt/cinemateca-digital/Ficha.aspx?obraid=14518&type=Video,ok,200,1,1,Ficha pública aberta para enriquecimento de metadados e detecção de iframe.,
