institution,slug,country,continent,repository_code,archive_type,cinematheque_bretagne_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50582?feature=oembed,40 ans de la Cinémathèque de Bretagne : clip,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:03:07 | formato original: Fichier numérique | som: Sonore | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50582?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une capsule vidéo sur le thème de l’anniversaire dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50576?feature=oembed,40 ans de la Cinémathèque de Bretagne : entretien avec André Colleu,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:32:34 | formato original: Fichier numérique | som: Sonore | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50576?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une série de huit entretiens dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne. André Colleu, un des membres fondateurs de la Cinémathèque, revient sur son histoire.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50585?feature=oembed,40 ans de la Cinémathèque de Bretagne : entretien avec Bertrand Kerézéon,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:17:12 | formato original: Fichier numérique | som: Sonore | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50585?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une série de huit entretiens dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne. Bertrand Kerézéon, un des déposants de la Cinémathèque, revient sur son histoire.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50577?feature=oembed,40 ans de la Cinémathèque de Bretagne : entretien avec Marie Hélia,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:18:26 | formato original: Fichier numérique | som: Sonore | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50577?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une série de huit entretiens dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne. Marie Hélia, réalisatrice, évoque son rapport à l’archive et aux collections de la Cinémathèque.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50586?feature=oembed,40 ans de la Cinémathèque de Bretagne : entretien avec Marie-Laure Le Dreff et Jeanine Nogues,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:16:40 | formato original: Fichier numérique | som: Sonore | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50586?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une série de huit entretiens dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne. Marie-Laure Le Dreff et Jeanine Nogues, bénévoles de la Cinémathèque, reviennent sur leur expérience.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/50581?feature=oembed,40 ans de la Cinémathèque de Bretagne : teaser,Film amateur | Bretagne,"Ficha pública da Cinémathèque de Bretagne. | duração: 00:03:05 | formato original: Fichier numérique | som: Sonore | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/50581?feature=oembed | Résumé + - À l’occasion des 40 ans de la Cinémathèque de Bretagne, les étudiantes Alice Audinet, Rose Lagadec, Eloïse McDonaugh et Alicia Sagorin ont réalisé une capsule vidéo sur le thème de l’anniversaire dans le cadre d'un projet tutoré pour le Master Patrimoine et musées de l'Université de Bretagne occidentale. Le montage a été réalisé avec le soutien et l’accompagnement d’Emmanuelle Pencalet, monteuse et membre du conseil d’administration de la Cinémathèque de Bretagne.",2026
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://www.cinematheque-bretagne.bzh/voir-les-films-films-scolaires-de-pont-l-abbe-4eme-a-fugue-generale-426-47714-0-2.html,Films scolaires de Pont l'Abbé - 4ème A - Fugue générale,Film amateur | Bretagne,Ficha pública da Cinémathèque de Bretagne; registro materializado a partir da listagem oficial. | categoria: Film amateur | Bretagne,1984
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://www.cinematheque-bretagne.bzh/voir-les-films-films-scolaires-de-pont-l-abbe-4eme-d-chapardage-426-47755-0-2.html,Films scolaires de Pont l'Abbé - 4ème D - Chapardage,Film amateur | Bretagne,Ficha pública da Cinémathèque de Bretagne; registro materializado a partir da listagem oficial. | categoria: Film amateur | Bretagne,1982
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/47378?feature=oembed,Films scolaires de Douarnenez - Collège St Anges - 5 ème jaune,Film amateur | Bretagne,Ficha pública da Cinémathèque de Bretagne. | duração: 00:03:21 | formato original: Film super 8 | som: Muet | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/47378?feature=oembed | Résumé + -,1976
Cinémathèque de Bretagne,cin-math-que-de-bretagne,France,Europe,FR-CINEMATHEQUE-BRETAGNE,Regional audiovisual and amateur film archive,https://www.cinematheque-bretagne.bzh/,True,True,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,Cinémathèque de Bretagne,https://diazcdb.oembed.diazinteregio.org/embed/47380?feature=oembed,Films scolaires de Douarnenez - Collège St Anges - 5 ème rouge,Film amateur | Bretagne,Ficha pública da Cinémathèque de Bretagne. | duração: 00:03:21 | formato original: Film super 8 | som: Muet | coloração: Couleur | categoria: Film amateur | Bretagne | embed: https://diazcdb.oembed.diazinteregio.org/embed/47380?feature=oembed | Résumé + -,1976
