institution,slug,country,continent,repository_code,archive_type,cinematheque_francaise_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/155794-le-reve-d-abel-gance-erik-bullot-2024/,Le Rêve d'Abel Gance,Érik Bullot,Ficha pública HENRI da Cinémathèque française. duração: 10:12.,2024,Le Rêve d'Abel Gance,2024-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/155589-tahiti-les-jours-du-retour-benjamin-delattre-2024/,Tahiti les jours du retour,Benjamin Delattre,Ficha pública HENRI da Cinémathèque française. duração: 1:11:13.,2024,Tahiti les jours du retour,2024-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/154466-kotonaru-julien-suaudeau-2023/,Kotonaru. Portrait de mon sensei en sept tableaux,Julien Suaudeau,Ficha pública HENRI da Cinémathèque française. duração: 13:14.,2023,Kotonaru. Portrait de mon sensei en sept tableaux,2023-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/155792-nos-levres-sont-les-miennes-laurens-saint-gaudens-2023/,Nos lèvres sont les miennes,Laurens Saint-Gaudens,Ficha pública HENRI da Cinémathèque française. duração: 10:07.,2023,Nos lèvres sont les miennes,2023-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153627-freedom-is-in-our-hands-babylon-13-2022/,Freedom Is in Our Hands,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 3:21.,2022,Freedom Is in Our Hands,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153635-irpin-a-week-from-liberation-babylon-13-2022/,Irpin. A Week from Liberation,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 5:01.,2022,Irpin. A Week from Liberation,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153629-shporik-babylon-13-2022/,Shporik,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 8:05.,2022,Shporik,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153633-this-is-our-monuments-babylon-13-2022/,This Is Our Monuments,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 3:56.,2022,This Is Our Monuments,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153634-those-who-left-their-homes-babylon-13-2022/,Those Who Left Their Homes,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 5:39.,2022,Those Who Left Their Homes,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
Cinémathèque française / Musée du cinéma,cin-math-que-fran-aise-mus-e-du-cin-ma,France,Europe,FR-CINEMATHEQUE-FRANCAISE,National cinematheque and online film streaming platform,https://www.cinematheque.fr/les-collections-de-la-cinematheque-francaise.html,True,True,https://www.cinematheque.fr/henri/,HENRI,https://www.cinematheque.fr/henri/film/153631-war-is-when-there-are-shootings-as-in-the-game-babylon-13-2022/,War Is When There Are Shootings. As in the Game,Babylon '13,Ficha pública HENRI da Cinémathèque française. duração: 9:31.,2022,War Is When There Are Shootings. As in the Game,2022-01-01,Patrimônio cinematográfico e cinefilia,Arquivo audiovisual institucional
