institution,slug,country,continent,repository_code,archive_type,cinememoire_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2883,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-011-Streaming.mp4,Course canine,"Sud de la France; Document brut | | | Film amateur; Barrage | | | Animal dressé | | | Relation homme-animal | Fermer; Barrage, Animal dressé, Relation homme-animal, Sud de la France, Image sombre, Image qui saute, Document brut, Film amateur",Registro público do catálogo Cinémémoire. | sequência: 001-011 | duração: 3' 11'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Sud de la France | gênero: Document brut | | | Film amateur | descritores: Barrage | | | Animal dressé | | | Relation homme-animal | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-011-Streaming.jpg | fonte de vídeo: video/mp4 | Chien /levrier / barrage. images qui sautent.,Années 80,Course canine,Années 80,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2887,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-015-Streaming.mp4,Parc d'attraction (sombre),"Document brut | | | Film de famille; Grande roue | | | Parc (d'attraction) | | | Toboggan | Fermer; Grande roue, Parc (d'attraction), Toboggan, Image sombre, Document brut, Film de famille",Registro público do catálogo Cinémémoire. | sequência: 001-015 | duração: 4' 1'' | formato: 8 mm | som/cor: Muet - Couleur | gênero: Document brut | | | Film de famille | descritores: Grande roue | | | Parc (d'attraction) | | | Toboggan | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-015-Streaming.jpg | fonte de vídeo: video/mp4 | .,Années 80,Parc d'attraction (sombre),Années 80,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2879,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-007-Streaming.mp4,Soirée de mariage (images rouges),"Document brut | | | Film de famille; Réception | | | Bal | | | Danse (loisir) | | | Mariage | Fermer; Réception, Bal, Danse (loisir), Mariage, Dominante rouge, Document brut, Film de famille","Registro público do catálogo Cinémémoire. | sequência: 001-007 | duração: 4' 27'' | formato: Super 8 | som/cor: Muet - Couleur | gênero: Document brut | | | Film de famille | descritores: Réception | | | Bal | | | Danse (loisir) | | | Mariage | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-007-Streaming.jpg | fonte de vídeo: video/mp4 | Quelques portraits, de famille, puis danse sombre et rouge, valse. Soirée de mariage - pellicule virée.",Années 80,Soirée de mariage (images rouges),Années 80,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2885,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-013-Streaming.mp4,Carro,"Carro; Document brut | | | Film de famille | | | Film de vacances; Bord de mer; Relation mère-fils | | | Panneau indicateur | Fermer; Relation mère-fils, Panneau indicateur, Carro, Image sombre, Image qui saute, Document brut, Film de famille, Film de vacances, Bord de mer",Registro público do catálogo Cinémémoire. | sequência: 001-013 | duração: 3' 60'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Carro | gênero: Document brut | | | Film de famille | | | Film de vacances | toponímia: Bord de mer | descritores: Relation mère-fils | | | Panneau indicateur | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-013-Streaming.jpg | fonte de vídeo: video/mp4 | Bateau gonflable pneumatique.,Années 70,Carro,Années 70,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2877,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-005-Streaming.mp4,Images rouges,"Document brut; Repas familial | Fermer; Repas familial, Dominante rouge, Document brut","Registro público do catálogo Cinémémoire. | sequência: 001-005 | duração: 3' 23'' | formato: Super 8 | som/cor: Muet - Couleur | gênero: Document brut | descritores: Repas familial | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-005-Streaming.jpg | fonte de vídeo: video/mp4 | Sombrero , des jeunes, des vieux qui font la fête, autour d'une table embouteillée. repas familiale / pellicule virée, rouge, ambiance mexicaine bien...",Années 70,Images rouges,Années 70,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2884,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-012-Streaming.mp4,Manège,"Bouches-du-Rhône-13; Document brut | | | Film de famille; Bouches-du-Rhône-13, Image sombre, Document brut, Film de famille","Registro público do catálogo Cinémémoire. | sequência: 001-012 | duração: 1' 22'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Bouches-du-Rhône-13 | gênero: Document brut | | | Film de famille | descritores: Bouches-du-Rhône-13, Image sombre, Document brut, Film de famille | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-012-Streaming.jpg | fonte de vídeo: video/mp4 | .",Années 70,Manège,Années 70,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=11694,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-018-Streaming.mp4,Soirée entre militaires,"Document brut | | | Film amateur | Fermer; Document brut, Film amateur","Registro público do catálogo Cinémémoire. | sequência: 001-018 | duração: 6' 30'' | formato: Super 8 | som/cor: Sonore - Couleur | gênero: Document brut | | | Film amateur | Fermer | descritores: Document brut, Film amateur | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-018-Streaming.jpg | fonte de vídeo: video/mp4 | À un café avec des amis, des personnes, des militaires - une soirée organisée dans un café à Marseille - vue sur le vieux port depuis le haut du bassin de...",Années 70,Soirée entre militaires,Années 70,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2889,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-017-Streaming.mp4,Ski nautique,"Provence-Alpes-Côte d'Azur | | | La Ciotat | | | Mer Méditerranée | | | Saint-Cyr-sur-Mer; Mer | | | Grand-mère | | | Bateau à moteur | | | Adolescent | | | Personne âgée | | | Ski nautique | Fermer; Mer, Grand-mère, Bateau à moteur, Adolescent, Personne âgée, Ski nautique, Provence-Alpes-Côte d'Azur, La Ciotat, Mer Méditerranée, Saint-Cyr-sur-Mer, Image voilée","Registro público do catálogo Cinémémoire. | sequência: 001-017 | duração: 8' 19'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Provence-Alpes-Côte d'Azur | | | La Ciotat | | | Mer Méditerranée | | | Saint-Cyr-sur-Mer | descritores: Mer | | | Grand-mère | | | Bateau à moteur | | | Adolescent | | | Personne âgée | | | Ski nautique | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-017-Streaming.jpg | fonte de vídeo: video/mp4 | Une sortie en bateau au large de La Ciotat et de Saint Cyr sur mer. Ils font du ski nautique, le temps est très ensoleillé.",Années 60 | Années 70,Ski nautique,Années 60 | Années 70,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=2888,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/001-016-Streaming.mp4,Camping à la plage,"Provence-Alpes-Côte d'Azur; Document brut | | | Film de vacances; Plage; Père (famille) | | | Enfant | | | Costume de bain | | | Serveur | | | Vacances | | | Baignade | | | Pédalo | | | Caravane | | | Tente de camping | | | Terrain de camping | | | Peugeot | Fermer; Père (famille), Enfant, Costume de bain, Serveur, Vacances, Baignade, Pédalo, Caravane, Tente de camping, Terrain de camping, Peugeot, Provence-Alpes-Côte d'Azur, Document brut, Film de vacances, Plage",Registro público do catálogo Cinémémoire. | sequência: 001-016 | duração: 4' 4'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Provence-Alpes-Côte d'Azur | gênero: Document brut | | | Film de vacances | toponímia: Plage | descritores: Père (famille) | | | Enfant | | | Costume de bain | | | Serveur | | | Vacances | | | Baignade | | | Pédalo | | | Caravane | | | Tente de camping | | | Terrain de camping | | | Peugeot | Fermer | poster: https://cinememoire.net/streaming/cinememoire/sequences/001-016-Streaming.jpg | fonte de vídeo: video/mp4 | Cafetière / sac de couchage / rose.,Années 60,Camping à la plage,Années 60,Filme amador e memória familiar,Arquivo audiovisual institucional
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/notice?num_seq=18292,Cinémémoire,https://cinememoire.net/streaming/cinememoire/sequences/002-002-Streaming.mp4,Mururoa + Fangautaufa - vie quotidienne,"Polynésie française; Film amateur | | | Document brut | Fermer; Polynésie française, Film amateur, Document brut","Registro público do catálogo Cinémémoire. | sequência: 002-002 | duração: 22' 29'' | formato: 8 mm | som/cor: Muet - Couleur | geografia: Polynésie française | gênero: Film amateur | | | Document brut | Fermer | descritores: Polynésie française, Film amateur, Document brut | poster: https://cinememoire.net/streaming/cinememoire/sequences/002-002-Streaming.jpg | fonte de vídeo: video/mp4 | Façade du centre d'expérimentation du pacifique à Papeete, capitale de la Polynésie française. Paysages d'une île : plages, palmiers, etc. Plusieurs...",Années 60,Mururoa + Fangautaufa - vie quotidienne,Années 60,Filme amador e memória familiar,Arquivo audiovisual institucional
