institution,slug,country,continent,repository_code,archive_type,cinememoire_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/,ok,200,0,0,Site institucional Cinémémoire.,
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,ok,200,0,0,"Página `Archives en lignes`, evidência de filmes em acesso livre.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/recherche-simple,ok,200,0,0,"Busca pública `Archives en ligne`, usada como rota de coleta.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/recherche-simple?p=1,ok,200,5,10,Página 1 da busca pública Cinémémoire.,
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2873,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2874,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2875,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2876,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2877,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/recherche-simple?p=2,ok,200,5,10,Página 2 da busca pública Cinémémoire.,
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2878,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2879,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2880,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2881,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2882,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/recherche-simple?p=3,ok,200,5,10,Página 3 da busca pública Cinémémoire.,
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2883,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2884,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2885,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2886,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2887,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/recherche-simple?p=4,ok,200,5,10,Página 4 da busca pública Cinémémoire.,
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2888,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=2889,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=11694,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=4611,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
Cinémémoire,cin-m-moire,France,Europe,FR-CINEMEMOIRE,Institutional amateur and family film archive,https://cinememoire.net/archives-cinememoire-ligne/archives-cinememoire-ligne,True,True,https://cinememoire.net/recherche-simple,https://cinememoire.net/notice?num_seq=18292,ok,200,1,1,"Ficha pública Cinémémoire verificada, com vídeo HTML5 registrado sem baixar mídia.",
