institution,slug,country,continent,repository_code,archive_type,cna_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cna.public.lu/en.html,ok,200,0,0,Site institucional do Centre national de l'audiovisuel.,
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cna.public.lu/fr/archives/lescollections.html,ok,200,0,0,"Página oficial sobre coleções, incluindo imagens animadas.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cna.public.lu/en/archives/access.html,ok,200,0,0,Página oficial de acesso; aponta CNAsearch e descreve consulta/reuso.,
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cna.public.lu/en/archives/access/formulaire-acces.html,ok,200,0,0,Formulário oficial de consulta para materiais de acervo.,
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/search/simple,ok,200,0,0,"Busca simples do CNAsearch; sondada como contexto, sem POST por instabilidade WAF.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,15,0,"Perfil público CNAsearch `Philippe Schneider, réalisateur` iniciado por rota estável.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,15,0,"Página 2 do perfil público CNAsearch `Philippe Schneider, réalisateur`.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,15,0,"Página 3 do perfil público CNAsearch `Philippe Schneider, réalisateur`.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,15,0,"Página 4 do perfil público CNAsearch `Philippe Schneider, réalisateur`.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,15,0,"Página 5 do perfil público CNAsearch `Philippe Schneider, réalisateur`.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/results,ok,200,4,0,"Página 6 do perfil público CNAsearch `Philippe Schneider, réalisateur`.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150015551,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150018471,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150024929,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150025878,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150026277,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150026278,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150027217,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150028805,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150029841,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150030100,ok,200,1,0,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150030259,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150031505,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150031600,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150031920,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150032136,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150032272,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150032305,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150033962,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150038121,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150038784,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150041497,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150044208,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150044730,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150044733,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150045447,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
Centre national de l'audiovisuel (CNA),cna-luxembourg,Luxembourg,Europe,LU-CNA,National audiovisual archive,https://cna.public.lu/en.html,True,True,https://cnasearch.public.lu/searchprofiles/run/4/film,https://cnasearch.public.lu/Details/film/150046217,ok,200,1,1,"Ficha pública CNAsearch verificada, com fonte MP4 registrada quando exposta.",
