institution,slug,country,continent,repository_code,archive_type,cnc_aff_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Soeurs%20d'armes/cnc::9277b9ecec9430d8daff050f0f291c01,Soeurs d'armes,"Feature film | World War, 1914-1918 -- France / Women and war / Patriotism / EFG1914 / World War I / Espionnage ; Film historique","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Sisters in Arms | gênero: Feature film | duração: 00:114:12 | coleção: Ekwata Productions | direção: Poirier, Léon | produtora: SACIC | cor: Black & White | som: With sound | direitos: In Copyright / © Ekwata Productions | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/62737.html | During the First World War, Louise de Bettignies and Léonte Vanhout crossed the Dutch border fifteen times to deliver information to the English troops positioned in front of Arras. They were arrested and tried. After a long imprisonment, Louise de Bettignies died in the prison infirmary, whereas Léonie Vanhout was set free after the victory.",1937
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,"https://www.europeanfilmgateway.eu/detail/Verdun,%20souvenirs%20d'histoire/cnc::ea316a52da7bb2c72b0df71303e82921","Verdun, souvenirs d'histoire","Feature film | World War, 1914-1918 -- France / World War, 1914-1918 -- Battlefields -- France / Pacifism / EFG1914 / World War I / Bataille de la Somme ; Champ de bataille ; Guerre ; Guerre 1914-1918 ; Soldat ; Verdun","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Verdun, Memories from History | gênero: Feature film | duração: 00:92:00 | coleção: Ekwata Productions | direção: Poirier, Léon | produtora: Les Films Léon Poirier | cor: Black & White | som: With sound | direitos: In Copyright / © Ekwata Productions | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/101623.html | A soldier tells young children, with simple words, the story of the Battle of Verdun.",1931
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Le%20Mar%C3%A9chal%20Foch%20(1)./cnc::bae26634d42847108a7cac97df248b1b,Le Maréchal Foch (1).,"Documentary | World War, 1914-1918 -- France / Military ceremonies, honors, and salutes / EFG1914 / World War I / Guerre 1914-1918 ; Portait ; Armée ; Maréchal Foch","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Marshal Foch | gênero: Documentary | duração: 00:18:24 | coleção: ECPAD | direção: Unknown | produtora: SCA - Section Cinématographique des Armées | cor: Tinted / Toned / Hand coloured | som: Without sound | direitos: In Copyright / ECPAD | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/A_1334.html | The main stages of Marshal Foch's life from 1913-1929: in 1913 in Nancy, during the Great War, with General Weygand at the end of the conflict, at the victory celebrations, traveling in Europe and the United States, and during various inaugurations. His funeral and his brothers in arms paying homage.",1930
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/La%20Guerre%20sans%20armes%20ou%20Espionnage/cnc::b7b6715c9ae8ed51ead0c10c05d96e2f,La Guerre sans armes ou Espionnage,"Feature film | World War, 1914-1918 -- France / World War, 1914-1918 -- Secret service -- Great Britain / Women and war / World War, 1914-1918 -- Belgium / EFG1914 / World War I / Belgique ; Bettignies, Louise de ; Espionnage ; Guerre 1914-1918 ; Intelligence Service ; Nord-Pas-de-Calais ; Roubaix","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Espionage or The War Without Weapons | gênero: Feature film | duração: 00:96:00 | coleção: Maison de la Bonne Presse / Bayard Presse | direção: Choux, Jean | produtora: Exclusive Agency Films | cor: Black & White | som: Without sound | direitos: In Copyright / © Bayard Presse | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/31031.html | This is the romanticized story of Louise de Bettignies, who was a spy and heroin of the First World War. In October 1914, in Roubaix, Geneviève de Vandeville delivers mail in secret. Brilliant and effective, she is soon contacted by the Intelligence Service who asks her to lead a team of spies. Geneviève, who is responsible for delivering intelligence from dangerous regions, enlists the help of Maria, a young girl who becomes her friend. Maria and her lover ask Geneviève to plan their escape into Holland. This mission will prove fatal for Geneviève. She is detected by the German counterespionage, arrested, and imprisoned in Brussels. She becomes sick and dies in prison before the war ends. Some time later, Maria and her lover pay their respects to the monument in effigy of Louise de Bettignies.",1929
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Verdun%20tel%20que%20le%20poilu%20l'a%20v%C3%A9cu/cnc::2e4f361c1a2d102a6c452001e959f805,Verdun tel que le poilu l'a vécu,"Compilation | Pacifism / World War, 1914-1918 -- France / World War, 1914-1918 -- Battlefields -- France / EFG1914 / World War I / Guerre 1914-1918 ; Hommage ; Images d'archives ; Soldat ; Verdun","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Verdun Through the Eyes of a Poilu | gênero: Compilation | duração: 00:72:07 | coleção: Centre national du cinéma et de l'image animée - CNC | direção: Buhot, Emile | produtora: Les Films Emile Buhot | cor: Black & White | som: Without sound | direitos: In Copyright / Contact CNC | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/73024.html | An account of the Battle of Verdun through a montage of archive images, to the glory of the soldiers.",1927
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/The%20Work%20of%20the%20Civilian%20Division%20of%20the%20American%20Fund%20for%20French%20wounded/cnc::b9a48069c71d77cdf5b7590e1057b35a,The Work of the Civilian Division of the American Fund for French wounded,"Documentary | World War, 1914-1918 -- France / World War, 1914-1918 -- United States / Rural conditions / Agriculture / World War, 1914-1918 -- Civilian relief / EFG1914 / World War I / Après-guerre; Comité Américain; Ravitaillement; Reconstruction (après guerre)","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: L'Œuvre de la section civile du Comité américain pour les blessés français | gênero: Documentary | duração: 00:23:10 | coleção: Musée franco-américain du Château de Blérancourt | direção: unknown | produtora: American Committee | cor: Black & White | som: Without sound | direitos: In Copyright / Musée franco-américain du Château de Blérancourt | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/146888.html | In Blérancourt, a little town in Aisne where the Civil Security has been set up on the ruins of the chateau, American women raise the American flag. Mr. Fernand David, the Minister of Agriculture, and Mr. Leullier, the Prefect of Aisne, come to thank the American Committee for its help. The land, which has lain fallow for three years, can be worked and sowed again thanks to new tractors. In the destroyed villages, all focus goes to rebuilding the homes and re-opening the schools. Equipment destroyed by the Germans is stored at the ""morgue,"" and soldiers repair instruments for tilling. Livestock, milk, cider, poultry, and goats from other regions are distributed to the villagers. A dispensary is opened for first aid. Temporary...",1924
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Public%20Health%20Department%20and%20Medical%20Work/cnc::46f773e7d35413fb1c0f2d0162273ae6,Public Health Department and Medical Work,"Documentary | World War, 1914-1918 -- France / World War, 1914-1918 -- United States / World War, 1914-1918 -- Civilian relief / World War, 1914-1918 -- Health aspects / EFG1914 / World War I / Après-guerre; Comité Américain; Convalescence; Dispensaire; Hygiène; Puériculture","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | gênero: Documentary | duração: 00:10:02 | coleção: Musée franco-américain du Château de Blérancourt | direção: unknown | produtora: American Committee | cor: Black & White | som: Without sound | direitos: In Copyright / Musée franco-américain du Château de Blérancourt | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/147959.html | The Public Health Department was created to put reception and counseling facilities into place--with the American Committee's help-- for parents in difficulty. An American Committee nurse, assisted by ten nurses from Bordeaux's Florence Nightingale hospital, monitor the health of five thousand children in the disaster-stricken Vic-sur-Aisne canton. The Soissons committee sends nurses to visit families living in the ruins. In Saint-Christophe, mothers bring their babies to the dispensary to have them weighed. An abundance of meals, baths, snacks, and everyday care is provided at the Boullay-Thierry convalescent home. The mayor of Soissons has asked the Committee to organize another fresh milk distribution for the public, called the ""taste of milk."" Trucks drive to the surrounding farms to take care of the necessary daily...",1922? ?
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Baptising%20Church%20Bells%20in%20Devastated%20France/cnc::37a340537b358962474d84f29dc37116,Baptising Church Bells in Devastated France,"Documentary | World War, 1914-1918 -- France / World War, 1914-1918 -- United States / World War, 1914-1918 -- Civilian relief / EFG1914 / World War I / Après-guerre; Cloche; Comité Américain; Région dévastée","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Baptême de cloches dans les régions dévastées | gênero: Documentary | duração: 00:06:17 | coleção: Musée franco-américain du Château de Blérancourt | direção: Tyree, Millard | produtora: American Committee | cor: Black & White | som: Without sound | direitos: In Copyright / Musée franco-américain du Château de Blérancourt | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/147925.html | In front of Landricourt's temporary church, a crowd attends the baptism of a bell that will replace the one destroyed during WWI. The new bell was donated by the Poetry Society of America in memory of the poet Alan Seeger, who died in combat in 1916. His mother, Mrs. Charles L. Seeger, is present. The bell is hoisted up and begins to ring while a heavy rain beats down on the attendees.",1922
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Public%20Health%20and%20Child%20Hygiene/cnc::34cfb78cba630e4c303867b8a6c78e4b,Public Health and Child Hygiene,"Documentary | World War, 1914-1918 -- France / World War, 1914-1918 -- United States / World War, 1914-1918 -- Civilian relief / World War, 1914-1918 -- Health aspects / EFG1914 / World War I / Après-guerre; Comité Américain; Convalescence; Hygiène; Mortalité infantile; Tuberculose; Zone rouge","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Hygiène sociale et hygiène de l'enfance | gênero: Documentary | duração: 00:14:37 | coleção: Musée franco-américain du Château de Blérancourt | direção: Tyree, Millard | produtora: American Committee | cor: Black & White | som: Without sound | direitos: In Copyright / Musée franco-américain du Château de Blérancourt | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/147958.html | The American Committee's health department brings the medical authorities' and parliamentary circles' attention to the state of children's public health in the disaster-stricken Aisne region. Seventeen nurses care for a population of sixty thousand people, who are still living in the ruins. Eight others are spread throughout dispensaries in Reims and the Blérancourt hospital. Thanks to their care, infant mortality drops in the cantons under their supervision, while it increases in the rest of the department. The nurses visit children who are injured or have tuberculosis and, along with the committee, organize their convalescent care in Swiss families. Fresh milk and cod-liver oil distributions are planned. Fifteen major operations are performed every mo...",1922
Centre national du cinéma et de l'image animée - Archives françaises du film,centre-national-du-cin-ma-et-de-l-image-anim-e-archives-fran-aises-du-film,France,Europe,FR-CNC-AFF,National film archive,https://www.cnc.fr/a-propos-du-cnc/directions-et-services/direction-du-patrimoine-cinematographique,True,True,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,European Film Gateway,https://www.europeanfilmgateway.eu/detail/Athletics%20in%20the%20Devastated%20Department%20of%20the%20Aisne/cnc::a50fd54059707bf666b10bca32bdcc18,Athletics in the Devastated Department of the Aisne,"Documentary | World War, 1914-1918 -- France / World War, 1914-1918 -- United States / World War, 1914-1918 -- Civilian relief / EFG1914 / World War I / Après-guerre; Athlétisme; Comité Américain; Reconstruction (après guerre); Sport; Stade","Ficha pública de Centre national du cinéma et de l'image animée - Archives françaises du film no European Film Gateway. | player EFG sinalizado no HTML, sem fonte de mídia materializada na coleta estática | título alternativo: Athlétisme dans le département dévasté de l'Aisne | gênero: Documentary | duração: 00:17:49 | coleção: Musée franco-américain du Château de Blérancourt | direção: Tyree, Millard | produtora: American Committee | cor: Black & White | som: Without sound | direitos: In Copyright / Musée franco-américain du Château de Blérancourt | ver também: http://lise.cnc.fr/Internet/ARemplir/parcours/EFG1914/pages_FR/147921.html | After five years of war and hardship, young people need a distraction from the dreary atmosphere of the devastated villages. In Aisne, the reconstruction is slow. The American Committee decides to advance funds for purchasing land for a stadium and an ""exercise field"" where the young people will once again be able to do sports activities. At the Saint-Crépin château, former trenches are acquired, de-mined, and filled. Mr. Marquigny, the mayor of Soissons, comes to place the first stone of the stadium, and the event gives rise to a large athletic gathering. The Country Club challenge is won by De Nys, the word champion in the 16,000 meter run. The first rugby match is played since the war. Children's dances and gymnastics demonstrations are int...",1921
