institution,slug,country,continent,repository_code,archive_type,cpsa_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0001_0009/0001/00011176?feature=oembed,Évolution de la mer de glace du massif du Mont-Blanc (L'),LABEL VIE D'ANGE,Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:06:12 | formato: Fichier numérique | som: Sonore | coloração: NB et Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0001_0009/0001/00011176?feature=oembed,2024,Évolution de la mer de glace du massif du Mont-Blanc (L'),2024-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0060_0069/0069/00690019SD?feature=oembed,"Naturisme, Guadeloupe",Bruno ROULLARD,Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:19:18 | formato: Film 16 mm | som: Sonore | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0060_0069/0069/00690019SD?feature=oembed,1981,"Naturisme, Guadeloupe",1981-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0230_0239/0233/02330015?feature=oembed,"Rassemblement sur le plateau du Larzac, La Réunion","Bernard JAQUINOD; La Réunion (974); Manifestation, Manifestation anti nucléaire",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:26:45 | formato: Film super 8 | som: Sonore | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0230_0239/0233/02330015?feature=oembed,1980,"Rassemblement sur le plateau du Larzac, La Réunion",1980-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://www.letelepherique.org/le-catalogue-des-collections-vall%C3%A9e-blanche-depuis-la-pointe-helbronner-la-527-5008-0-2.html,Vallée Blanche depuis la pointe Helbronner (La),Vallée Blanche depuis ... Jean Claude MARCELLI Ajouter à ma sélection,Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain; registro materializado a partir da listagem oficial.,1976,Vallée Blanche depuis la pointe Helbronner (La),1976-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0050_0059/0050/00500011SD?feature=oembed,"Manifestation Lutte du Larzac, Paris, Côte d'Azur","Lucette FONGEALLAZ; Paris (75), Nice (06); Chômage, Grève, Développement économique, Usine (bâtiment)",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:23:35 | formato: Film super 8 | som: Sonore | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0050_0059/0050/00500011SD?feature=oembed,1973,"Manifestation Lutte du Larzac, Paris, Côte d'Azur",1973-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0020_0029/0021/00210011SD?feature=oembed,Kilifichu,"Gérard REGAT; Aravis (massif des), Haute-Savoie (74); Montagne, Escalade",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:16:30 | formato: Film super 8 | som: Sonore | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0020_0029/0021/00210011SD?feature=oembed,1970,Kilifichu,1970-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0060_0069/0066/00660001SD?feature=oembed,"Mariage, Commémoration 7° BCA - Glières Grenoble et autres","Gilbert RENAULT; Annecy (lac d'), Haute-Savoie (74), Nâves-Parmelan (74); Lac naturel, Montagne, Commémoration, Mariage",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:21:43 | formato: Film super 8 | som: Muet | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0060_0069/0066/00660001SD?feature=oembed,1970,"Mariage, Commémoration 7° BCA - Glières Grenoble et autres",1970-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0260_0269/0268/02680011_480?feature=oembed,Neige de France,"Vallée Blanche (glacier), Mont-Blanc (massif du); Ski",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:26:27 | formato: Film 16 mm | som: Sonore | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0260_0269/0268/02680011_480?feature=oembed,1970,Neige de France,1970-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0090_0099/0095/00950274HD?feature=oembed,Vieil Annecy,"Jacques-Clair HUGON; Annecy (lac d'), Haute-Savoie (74), Annecy (74); Zone urbaine",Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:00:56 | formato: Film 35 mm | som: Muet | coloração: Noir & Blanc | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0090_0099/0095/00950274HD?feature=oembed,1970,Vieil Annecy,1970-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
Cinémathèque des Pays de Savoie et de l'Ain,cin-math-que-des-pays-de-savoie-et-de-l-ain,France,Europe,FR-CPSA,Regional audiovisual and amateur film archive,https://www.letelepherique.org/,True,True,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,Cinémathèque des Pays de Savoie et de l'Ain,https://diazcpsa.oembed.diazinteregio.org/embed/0620_0629/0626/06260001_480?feature=oembed,Annecy couleur,Philippe BONNOT; Annecy (74); Lac naturel,"Ficha pública da Cinémathèque des Pays de Savoie et de l'Ain. | duração: 00:04:12 | formato: Film 9,5 mm | som: Muet | coloração: Couleur | embed: https://diazcpsa.oembed.diazinteregio.org/embed/0620_0629/0626/06260001_480?feature=oembed",1967,Annecy couleur,1967-01-01,"Território, cidade e memória local",Arquivo audiovisual institucional
