institution,slug,country,continent,repository_code,archive_type,csc_cineteca_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,Vimeo,https://vimeo.com/508351237,"Alberto Crespi e Giorgio Gosetti presentano la mostra su Monicelli alla Casa del Cinema, curata dal Centro Sperimentale",Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,"Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Alberto Crespi e Giorgio Gosetti presentano la mostra su Monicelli alla Casa del Cinema, curata dal Centro Sperimentale SHARE | player público: https://vimeo.com/508351237",2021-02-12
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,Vimeo,https://vimeo.com/509807804,"Uno mattina: Alberto Anile, Conservatore della Cineteca Nazionale, parla di Cinecensura",Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,"Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Uno mattina: Alberto Anile, Conservatore della Cineteca Nazionale, parla di Cinecensura SHARE | player público: https://vimeo.com/509807804",2021-02-08
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=Jn0bWvYmzvs,Effetto notte 2023. Intervista a Francesca Calvelli,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Francesca Calvelli SHARE | player público: https://www.youtube.com/watch?v=Jn0bWvYmzvs,2023-08-02
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=fXkw7xE1woM,Effetto notte 2023. Intervista a Roberto Perpignani,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Roberto Perpignani SHARE | player público: https://www.youtube.com/watch?v=fXkw7xE1woM,2023-08-02
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=V6tdxf4g1Fk,Effetto notte 2023. Intervista a Walter Fasano,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Walter Fasano SHARE | player público: https://www.youtube.com/watch?v=V6tdxf4g1Fk,2023-08-02
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=0_mJZY7S66k,Effetto notte 2023. Intervista a Cristiano Travaglioli,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Cristiano Travaglioli SHARE | player público: https://www.youtube.com/watch?v=0_mJZY7S66k,2023-07-28
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=yX9GZ4zzvcw,Effetto notte 2023. Intervista a Marco Spoletini,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Marco Spoletini SHARE | player público: https://www.youtube.com/watch?v=yX9GZ4zzvcw,2023-07-28
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=N4s5HvFbbzo,Effetto notte 2023. Intervista a Stefano Cravero,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Effetto notte 2023. Intervista a Stefano Cravero SHARE | player público: https://www.youtube.com/watch?v=N4s5HvFbbzo,2023-07-27
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=x_BObAH0H0A,In ricordo di Citto Maselli riproponiamo l'intervista video a cura di Alfredo Baldi e Stefano Landini,Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | In ricordo di Citto Maselli riproponiamo l’intervista video a cura di Alfredo Baldi e Stefano Landini SHARE | player público: https://www.youtube.com/watch?v=x_BObAH0H0A,2023-03-21
Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,fondazione-centro-sperimentale-di-cinematografia-cineteca-nazionale,Italy,Europe,IT-CSC-CINETECA,National film archive with public video catalog,https://www.fondazionecsc.it/cineteca-nazionale/,True,True,https://www.fondazionecsc.it/video-cineteca/,YouTube,https://www.youtube.com/watch?v=O3WNMUI51t4,"Intervista a Renato Scarpa, Santa Croce in Gerusalemme, Roma, 2018",Catalogo video della Cineteca Nazionale; cinema; patrimônio fílmico,"Ficha pública do Catalogo video da Cineteca Nazionale/CSC. | Intervista a Renato Scarpa, Santa Croce in Gerusalemme, Roma, 2018 SHARE | player público: https://www.youtube.com/watch?v=O3WNMUI51t4",2021-12-31
