institution,slug,country,continent,repository_code,archive_type,czech_tv_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226544160080005/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226544160080005/,5/8 Festivalové vteřiny,ČT na MFF Karlovy Vary; Kultura; Kulturní aktuality; Festival; Cultura,"programa: ČT na MFF Karlovy Vary | recorte: Cultura | gêneros: Kultura, Kulturní aktuality, Festival | duração: 8 min | ano: 2026 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-07-07
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120707/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120707/,7. července,Události v kultuře; Zpravodajství; Zprávy; Kultura; Cultura,"Pátý den festivalu v Karlových Varech — Dronová show v Karlových Varech — Wannieck Gallery v novém — Zpřistupněná Loreta v Rumburku | programa: Události v kultuře | recorte: Cultura | gêneros: Zpravodajství, Zprávy, Kultura | duração: 14 min | ano: 2026 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-07-07
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226411033400703/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226411033400703/,Zahájení 60. ročníku MFF Karlovy Vary,ČT na MFF Karlovy Vary; Kultura; Kulturní aktuality; Festival; Cultura,"programa: ČT na MFF Karlovy Vary | recorte: Cultura | gêneros: Kultura, Kulturní aktuality, Festival | duração: 137 min | ano: 2026 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-07-07
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120706/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120706/,6. července,Události v kultuře; Zpravodajství; Zprávy; Kultura; Cultura,"Premiéry v Karlových Varech — Nadace filmového festivalu. — Vysočina otevře nepřístupné Santiniho památky — Festival planet v Brně | programa: Události v kultuře | recorte: Cultura | gêneros: Zpravodajství, Zprávy, Kultura | duração: 13 min | ano: 2026 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-07-06
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32629838006/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32629838006/,Večer lidí dobré vůle – Velehrad 2026,Večer lidí dobré vůle – Velehrad; Kultura; Koncert; Společnost; Dobročinnost; Cultura,"Vystoupí Vladimír Javorský, Štěpán Rak, Ivo Viktorin, Naďa Válová, sbor Čolek, Hana Ulrychová, Jiří Pavlica s Hradišťanem, členové Filharmonie Bohuslava Martinů Zlín a Slovácký orchestr mladých. | programa: Večer lidí dobré vůle – Velehrad | recorte: Cultura | gêneros: Kultura, Koncert, Společnost, Dobročinnost | duração: 75 min | ano: 2026 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-07-04
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031010/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031010/,10/10 Zákupy,Skryté skvosty; Dokument; Historický dokument; Cestovatelský dokument; Kultura; Architektura; Historie; Památky; Česká historie; Cultura,"Habsburkové, kteří zákupský zámek získali na počátku 19. století, z něj učinili své prázdninové sídlo. | programa: Skryté skvosty | recorte: Cultura | gêneros: Dokument, Historický dokument, Cestovatelský dokument, Kultura, Architektura, Historie, Památky, Česká historie | duração: 27 min | ano: 2025 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-06-04
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031007/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031007/,9/10 Šternberk,Skryté skvosty; Dokument; Historický dokument; Cestovatelský dokument; Kultura; Architektura; Historie; Památky; Česká historie; Cultura,"Není Šternberk jako Šternberk! Dva hrady se stejnými jmény dokáží turistům pěkně zamotat hlavu. | programa: Skryté skvosty | recorte: Cultura | gêneros: Dokument, Historický dokument, Cestovatelský dokument, Kultura, Architektura, Historie, Památky, Česká historie | duração: 26 min | ano: 2025 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-05-28
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32529838006/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32529838006/,Večer lidí dobré vůle – Velehrad 2025,Večer lidí dobré vůle – Velehrad; Kultura; Koncert; Společnost; Dobročinnost; Cultura,"Před velehradskou bazilikou vystoupí zpěvák Ondřej Ruml, jazzový kytarista Rudy Linka, pěvecký sbor z Cambridge, sopranistka Lada Bočková nebo Jiří Pavlica s Hradišťanem. | programa: Večer lidí dobré vůle – Velehrad | recorte: Cultura | gêneros: Kultura, Koncert, Společnost, Dobročinnost | duração: 77 min | ano: 2025 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-03-17
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211002/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211002/,Malá hvězda nezapadá,Příběhy slavných; Dokument; Historický dokument; Dokument o osobnostech; Kultura; Kinematografie; Cultura,"Tomáš Holý | programa: Příběhy slavných | recorte: Cultura | gêneros: Dokument, Historický dokument, Dokument o osobnostech, Kultura, Kinematografie | duração: 52 min | ano: 2012 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-03-16
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211013/,Česká televize iVysílání,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211013/,Život v ofsajdu,Příběhy slavných; Dokument; Historický dokument; Dokument o osobnostech; Kultura; Kinematografie; Cultura,"Hugo Haas | programa: Příběhy slavných | recorte: Cultura | gêneros: Dokument, Historický dokument, Dokument o osobnostech, Kultura, Kinematografie | duração: 52 min | ano: 2013 | país de origem: Česko | ficha pública do iVysílání com mediaMeta.isPlayable=True; mídia não baixada",2026-03-16
