institution,slug,country,continent,repository_code,archive_type,czech_tv_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/,ok,200,0,0,Site institucional da Czech Television.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/ivysilani/,ok,200,0,0,Plataforma pública iVysílání de vídeos sob demanda.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/ivysilani/kategorie/4029-kultura/katalog/,ok,200,80,0,Catálogo público iVysílání: Cultura.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/,ok,200,10,0,Página de programa iVysílání: ČT na MFF Karlovy Vary.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226411033400703/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/15109272875-ct-na-mff-karlovy-vary/226544160080005/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/,ok,200,10,0,Página de programa iVysílání: Skryté skvosty.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031010/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/13826669737-skryte-skvosty/425235100031007/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/,ok,200,10,0,Página de programa iVysílání: Příběhy slavných.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211002/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/10123383458-pribehy-slavnych/413235100211013/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/,ok,200,10,0,Página de programa iVysílání: Události v kultuře.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120707/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/1097206490-udalosti-v-kulture/226411000120706/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/,ok,200,10,0,Página de programa iVysílání: Večer lidí dobré vůle – Velehrad.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32629838006/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
Czech Television,czech-television,Czech Republic,Europe,CZ-CT,Public service broadcaster digital video archive,https://www.ceskatelevize.cz/ivysilani/,True,True,https://www.ceskatelevize.cz/ivysilani/,https://www.ceskatelevize.cz/porady/14728574567-vecer-lidi-dobre-vule-velehrad/32529838006/,ok,200,1,1,Ficha de episódio iVysílání verificada por __NEXT_DATA__/mediaMeta.,
