institution,slug,country,continent,repository_code,archive_type,deutsche_kinemathek_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en,ok,200,0,0,Site institucional da Deutsche Kinemathek.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/research/archives/film-archive,ok,200,0,0,Página institucional do Film Archive.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/digital-collection,ok,200,0,0,Página institucional da coleção digital e portal de busca.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://sammlungen.deutsche-kinemathek.de/recherche/,ok,200,0,0,"Portal de busca público; aplicação JavaScript, usado como contexto, não como rota MVP de streaming.",
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming,ok,200,0,0,Página pública do programa Selects em streaming.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming,ok,200,9,9,Listagem pública Selects materializada por cards de filme com tags video/source.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/talk-straight-world-rural-queers,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/i-am-my-own-woman,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/narcissus-and-echo,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/me,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/november-moon,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/tendernesses,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/what-shall-we-do-without-death,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/erikas-passions,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
Deutsche Kinemathek / Museum für Film und Fernsehen,deutsche-kinemathek-museum-fuer-film-und-fernsehen,Germany,Europe,DE-DEUTSCHE-KINEMATHEK,Film archive and museum with public curatorial streaming program,https://www.deutsche-kinemathek.de/en/online/streaming,True,True,https://www.deutsche-kinemathek.de/en/online/streaming,https://www.deutsche-kinemathek.de/en/online/streaming/1-berlin-harlem,ok,200,1,1,Ficha pública Selects verificada com metadados de filme e sinal de player.,
