institution,slug,country,continent,repository_code,archive_type,dhm_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#marketing,Marketing,"GB 1953, R: Pierre Long, P: Pierre Long, Son et Lumière Films, Paris, Film Centre Ltd, London, for MSA","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | GB 1953, R: Pierre Long, P: Pierre Long, Son et Lumière Films, Paris, Film Centre Ltd, London, for MSA",1953,Marketing,1953-01-01,Filmes educativos e publicidade institucional,Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#one-two-three-no-1,"One, Two, Three, No. 1","NL 1953, R: Nelo Risi, Kyndby Power Plant, Ove Sevel, Victor Vicas, P: Peter Baylis, Cinetone Studios, Amsterdam","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | NL 1953, R: Nelo Risi, Kyndby Power Plant, Ove Sevel, Victor Vicas, P: Peter Baylis, Cinetone Studios, Amsterdam",1953,"One, Two, Three, No. 1",1953-01-01,"Reconstrução econômica, infraestrutura e trabalho",Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#school-for-colonels,School for Colonels,"US 1953, R: Julian Spiro, P: North Atlantic Treaty Organization by the Office of Information, U.S. (MSA/SRE)","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | US 1953, R: Julian Spiro, P: North Atlantic Treaty Organization by the Office of Information, U.S. (MSA/SRE)",1953,School for Colonels,1953-01-01,Filmes educativos e publicidade institucional,Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/whitsun-holiday/,Whitsun Holiday,"UK 1953; direção: Peter Baylis; produção: MSA Film Unit, Paris","Ficha pública do DHM/Zeughauskino para a seleção Films of the Marshall Plan; metadados filmográficos sem player aberto detectado. | Produced by: | MSA Film Unit, Paris | Directed by: | Peter Baylis | Country/Year: | UK 1953 | Length: | 11' | Language: | English | Format | : 35mm, 1,37, mono, s/w | Whitsun, the Pentecost weekend, puts millions of Europeans on the road for a brief vacation in the spring air. The ﬁlm contrasts the way West Europeans are free to choose how to spend their time with the lock-step celebration of the World Youth Congress in East Berlin. The Marshall Plan ﬁlm unit produced few ﬁlms of an outright anti-Communist nature, but this is one of them, a witty piece of propaganda. According to Albert Hemsing, Peter Baylis (who wrote and produced the One-Two-Three | - | series) made this ﬁlm “almost as a personal statement.” Apparently, it received no commercial distribution, but a number of non-Communist trade unions showed it in union halls. | © 2002 Linda R. Christenson",1953,Whitsun Holiday,1953-01-01,"História, reconstrução e memória política",Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#e-comme-europe,E... comme Europe,"FR 1952, R: Geza von Rádvanyi, P: DOC Films, Paris","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | FR 1952, R: Geza von Rádvanyi, P: DOC Films, Paris",1952,E... comme Europe,1952-01-01,"História, reconstrução e memória política",Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#silkmakers-of-como,Silkmakers Of Como,"IT um 1952, R: Ubaldo Magnaghi","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | IT um 1952, R: Ubaldo Magnaghi",1952,Silkmakers Of Como,1952-01-01,"Reconstrução econômica, infraestrutura e trabalho",Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#the-council-of-europe,The Council Of Europe,"FR 1952, P: MSA Film Section, Paris, for MSA","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | FR 1952, P: MSA Film Section, Paris, for MSA",1952,The Council Of Europe,1952-01-01,"História, reconstrução e memória política",Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#three-cities,Three Cities,"FR 1952, P: MSA Film Section, Paris, for MSA Washington","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | FR 1952, P: MSA Film Section, Paris, for MSA Washington",1952,Three Cities,1952-01-01,Plano Marshall e memória audiovisual europeia,Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan#your-eighty-dollars,Your Eighty Dollars,"FR 1952, P: MSA Film Section, Paris, for MSA Washington","Registro descritivo público da seleção online Films of the Marshall Plan do DHM/Zeughauskino; ficha audiovisual sem player aberto detectado. | item descrito diretamente na listagem pública, sem ficha individual linkada | FR 1952, P: MSA Film Section, Paris, for MSA Washington",1952,Your Eighty Dollars,1952-01-01,Filmes educativos e publicidade institucional,Catálogo descritivo audiovisual institucional
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,DHM Zeughauskino online,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/air-of-freedom/,Air of Freedom,BRD 1951; produção: ECA Western Germany and the U.S. High Commission for Germany (HICOG) and OSR.,"Ficha pública do DHM/Zeughauskino para a seleção Films of the Marshall Plan; metadados filmográficos sem player aberto detectado. | Produced by: | ECA Western Germany and the U.S. High Commission for Germany (HICOG) and OSR. | Country/Year: | BRD 1951 | Length : | 11' | Language : | English | Format: | 16mm, 1,37, mono, b/w | Famed radio station RIAS (Radio In the American Sector), which brought news and entertainment to the people of Berlin and Communist East Germany, is featured in this report. In the western sectors of the city reconstruction is proceeding apace, thanks to Marshall Aid. Leading European artists entertain at a concert. Marshall Plan Administrator Paul Hoffman opens the American exhibit at the new West Berlin Industries Fair. | © 2002 Sandra Schulberg | A newsreel–like report on Berlin 100 miles deep into the Russian zone of Germany, where (in its western sectors, at least) reconstruction of the city and its industries is proceeding apace, thanks to Marshall Plan aid. Features the role RIAS (Radio in the American Sector) plays in bringing news and entertainment to the entire city, and to the people of Communist East Germany. Leading European artists entertain at a concert. Marshall Plan Administrator Paul Hoffman opens the American exhibit at the new West Berlin Industries Fair. Also features “Stars over Europe” radio show. | © 2002 Linda R. Christenson",1951,Air of Freedom,1951-01-01,"História, reconstrução e memória política",Catálogo descritivo audiovisual institucional
