institution,slug,country,continent,repository_code,archive_type,dhm_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/,ok,200,0,0,Site institucional do Deutsches Historisches Museum.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/,ok,200,0,0,Superfície institucional do Zeughauskino.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/about-us/film-archive/,ok,200,0,0,Página institucional do Film Archive do DHM; informa arquivo fílmico e acesso para pesquisa.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/,ok,200,0,0,Página Zeughauskino online; indica coleção Films of the Marshall Plan.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.europeanfilmgateway.eu/node/1859,erro,,0,0,"Página do EFG usada apenas como evidência de identificação institucional, não como rota de corpus.","HTTPSConnectionPool(host='www.europeanfilmgateway.eu', port=443): Read timed out. (read timeout=25)"
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,ok,200,34,0,"Listagem pública The Films materializada integralmente; tags source da página são imagens, não player.",
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/200000000-mouths/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/air-of-freedom/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/translate-to-english-aquila/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/translate-to-english-aura-strom-aus-dem-norden/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/city-out-of-darkness/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/corinth-canal/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/die-insel/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/the-invisible-link/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/the-jungle-that-was/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/the-story-of-koula/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/village-without-words/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
Deutsches Historisches Museum / Zeughauskino,deutsches-historisches-museum-zeughauskino,Germany,Europe,DE-DHM,Museum film archive with public descriptive online film selection,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,True,True,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,https://www.dhm.de/zeughauskino/en/filmreihen/online-filmreihen/filme-des-marshall-plans/whitsun-holiday/,ok,200,1,0,Ficha individual pública verificada; nenhum player aberto detectado.,
