institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/de-udstillede_593691,De udstillede,Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her; dokumentar; gensyn; dr gensyn; person_lars von trier; thesaurus_filmhistorie; editorialptaxtop_gensyn; editorialptaxsub_kunst/kultur; culturalorigin_dansk,"Dansk dokumentar fra 2000. Lars von Trier står i 1996 bag en eksperimenterende forestilling med titlen 'Psykomobile #1: Verdensuret'- der udspiller sig i Kunstforeningen Gl. Strands lokaler. Nogle myrer i New Mexico bestemmer, hvordan 53 skuespillere skal | tipo DRTV: program | coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her | categorias: dokumentar, gensyn, dr gensyn | palavras-chave: person_lars von trier, thesaurus_filmhistorie, editorialptaxtop_gensyn, editorialptaxsub_kunst/kultur, culturalorigin_dansk | ano: 2000 | duração: 01:17:59 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2026-04-30T04:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/superchancen-_-de-bedste-oejeblikke_575117,Superchancen - de bedste øjeblikke,Gensyn: 00'erne - Se programmer fra DR's arkiv her; underholdning; gensyn; dr gensyn; acc_spoken_subtitles; person_suzanne bjerrehuus; thesaurus_tv-programmer; controlled_superchancen; editorialptaxtop_gensyn; editorialptaxsub_underholdning,"Dansk underholdningsprogram fra 2000. Se en samling indslag og muntre øjeblikke fra det landsdækkende bankospil, der gik over skærmen med Suzanne Bjerrehuus som vært i 1988. Her trækker hun nummerkugler og præsenterer internationale og danske kunstnere so | tipo DRTV: program | coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her | categorias: underholdning, gensyn, dr gensyn, acc_spoken_subtitles | palavras-chave: person_suzanne bjerrehuus, thesaurus_tv-programmer, controlled_superchancen, editorialptaxtop_gensyn, editorialptaxsub_underholdning, culturalorigin_dansk | ano: 2000 | duração: 19:57 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2026-01-23T05:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/kystfiskerne_552393,Kystfiskerne,Gensyn - Se programmer fra DR's arkiv her; dokumentar; livsstil; gensyn; dr gensyn; thesaurus_lokalsamfund; editorialptaxtop_gensyn; editorialptaxsub_identitet/relationer; culturalorigin_dansk,"Dansk reportage fra 1978. Har fiskerierhvervet nået bunden, eller er der en fremtid for dem, der fortsat drømmer om egen kutter? Fra Harboøre i syd til Højen i nord har kystfiskeri i generationer været familiernes levebrød, men samfundsudviklingen og poli | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: dokumentar, livsstil, gensyn, dr gensyn | palavras-chave: thesaurus_lokalsamfund, editorialptaxtop_gensyn, editorialptaxsub_identitet/relationer, culturalorigin_dansk | ano: 1978 | duração: 43:37 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2025-11-18T05:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/det-besatte-hus-allotria_465620,Det besatte hus Allotria,Gensyn - Se programmer fra DR's arkiv her; dokumentar; gensyn; dr gensyn; location_nørrebro; thesaurus_ungdomsliv; controlled_bz-bevægelsen; controlled_husbesættelser; editorialptaxtop_gensyn,"Dansk dokumentar fra 1983. I 1982 besætter en gruppe unge huset Allotria i Korsgade 45 i København. Og det er kun et blandt flere ulovligt besatte huse på Nørrebro i starten af 80'erne. BZ'erne afventer, at politiet vil rydde huset, og de bruger meget tid | tipo DRTV: program | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: dokumentar, gensyn, dr gensyn | palavras-chave: location_nørrebro, thesaurus_ungdomsliv, controlled_bz-bevægelsen, controlled_husbesættelser, editorialptaxtop_gensyn, editorialptaxsub_identitet/relationer, culturalorigin_dansk | ano: 1983 | duração: 46:15 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2024-10-01T04:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/portraetinterview-med-dronning-margrethe-_-40_aars-foedselsdag_431743,Portrætinterview med dronning Margrethe - 40-års fødselsdag,"Gensyn: Historie - Se programmer fra DR's arkiv her; dokumentar; historie; gensyn; dr gensyn; person_margrethe ii, dronning, danmark; thesaurus_kongelige; editorialptaxtop_gensyn; editorialptaxsub_kongelige; culturalorigin_dansk","Dansk portrætinterview fra 1980. Dronning Margrethe fylder 40 år. Det markeres med en samtale mellem regenten og journalisten Anne Wolden-Ræthinge - også kaldet Ninka. På Fredensborg Slot kommer de to kvinder ind på emner som kunst, livskvalitet, kristend | tipo DRTV: program | coleção: Gensyn: Historie - Se programmer fra DR's arkiv her | categorias: dokumentar, historie, gensyn, dr gensyn | palavras-chave: person_margrethe ii, dronning, danmark, thesaurus_kongelige, editorialptaxtop_gensyn, editorialptaxsub_kongelige, culturalorigin_dansk | ano: 1980 | duração: 55:05 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2024-01-08T05:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/proklamation-af-dronning-margrethe_431729,Proklamation af dronning Margrethe,"Gensyn: Historie - Se programmer fra DR's arkiv her; historie; gensyn; dr gensyn; organization_kongehuset; person_jens otto krag; person_margrethe ii, dronning, danmark; thesaurus_kongelige; controlled_tronskifte","Dansk reportage fra 1972. ""Kong Frederik 9. er død. Længe leve Hendes Majestæt Dronning Margrethe 2."". Statsminister Jens Otto Krag proklamerer Danmarks nye regent fra balkonen på Christiansborg Slotsplads d. 15. januar 1972. Klædt i sort holder den 31-år | tipo DRTV: program | coleção: Gensyn: Historie - Se programmer fra DR's arkiv her | categorias: historie, gensyn, dr gensyn | palavras-chave: organization_kongehuset, person_jens otto krag, person_margrethe ii, dronning, danmark, thesaurus_kongelige, controlled_tronskifte, editorialptaxtop_gensyn, editorialptaxsub_kongelige, culturalorigin_dansk | ano: 1972 | duração: 47:34 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2024-01-08T05:00:00.0000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/grevinde-danner_504036,Grevinde Danner,"Gensyn: Historie - Se programmer fra DR's arkiv her; dokumentar; historie; gensyn; dr2; person_louise danner, grevinde, danmark; controlled_kvindekamp; controlled_kvindelige rollemodeller; editorialptaxtop_gensyn; editorialptaxsub_historie","Grevinde Danner er en af de mest enestående skæbner i danmarkshistorien. Hun var en stærk, begavet og oprørsk kvinde, der med politisk tæft var langt forud for sin tid. Hun var 1800-tallets store mønsterbryder: Selvom hun var født som uægte barn i yderst | tipo DRTV: program | coleção: Gensyn: Historie - Se programmer fra DR's arkiv her | categorias: dokumentar, historie, gensyn, dr2 | palavras-chave: person_louise danner, grevinde, danmark, controlled_kvindekamp, controlled_kvindelige rollemodeller, editorialptaxtop_gensyn, editorialptaxsub_historie, culturalorigin_dansk | ano: 2015 | duração: 42:52 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2015-12-02T20:30:12.6800000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/frederik-ixs-liv-i-billeder_432706,Frederik IX's liv i billeder,"Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her; dokumentar; gensyn; dr2; person_frederik ix. konge, danmark; thesaurus_kongelige; editorialptaxtop_dokumentar; editorialptaxsub_kongelige; culturalorigin_dansk","Gennem stils og film fra DRs arkiv skildrer journalisten Alice Vestergaard i en nekrolog Frederik IX's liv fra fødselen og til hans død i januar 1972 . Her er glimt fra kongens mange officielle pligter i form af rejser og statsbesøg over reportager fra s | tipo DRTV: program | coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her | categorias: dokumentar, gensyn, dr2 | palavras-chave: person_frederik ix. konge, danmark, thesaurus_kongelige, editorialptaxtop_dokumentar, editorialptaxsub_kongelige, culturalorigin_dansk | ano: 2012 | duração: 17:10 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2012-01-17T13:39:34.9200000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/min-fanstjerne_584978,Min fanstjerne,Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her; dokumentar; gensyn; dr gensyn; thesaurus_ungdomsliv; editorialptaxtop_gensyn; editorialptaxsub_identitet/relationer; culturalorigin_dansk,"Dansk dokumentar fra 1961. Mogens Vemmer laver i starten af 60'erne en udsendelse om idoldyrkelse. Unge piger, der er medlemmer af en fanklub, læser højt af deres fanbreve og fortæller om deres fascination og tilbedelse af idolerne. Redaktøren af et ugebl | tipo DRTV: program | coleção: Gensyn: Dokumentar - Se dokumentarer fra DR's arkiv her | categorias: dokumentar, gensyn, dr gensyn | palavras-chave: thesaurus_ungdomsliv, editorialptaxtop_gensyn, editorialptaxsub_identitet/relationer, culturalorigin_dansk | ano: 2010 | duração: 25:44 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2010-10-21T13:07:39.8000000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/episode/monopolets-helte_-gorm-og-gregers_505183,Monopolets Helte: Sæson 1 – Gorm og Gregers,Gensyn - Se programmer fra DR's arkiv her; dokumentar; historie; gensyn; dr gensyn; thesaurus_1970-1979; thesaurus_1980-1989; thesaurus_biografier; thesaurus_danmark; thesaurus_journalistik,"Dansk portrætserie fra 2008. I begyndelsen af 80'erne blandede Gregers Dirckinck-Holmfeld og Hans-Georg Møller - ofte blot kaldet Gorm - seriøs journalistik med underholdning i et program, der varede hele aftenen. Programmet hed Lørdagskanalen, og de dans | tipo DRTV: episode | coleção: Gensyn - Se programmer fra DR's arkiv her | categorias: dokumentar, historie, gensyn, dr gensyn | palavras-chave: thesaurus_1970-1979, thesaurus_1980-1989, thesaurus_biografier, thesaurus_danmark, thesaurus_journalistik, thesaurus_tv, thesaurus_tv-programmer, editorialptaxtop_gensyn | ano: 2008 | duração: 49:01 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2008-10-05T19:00:26.5600000Z
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,DRTV/Gensyn,https://www.dr.dk/drtv/program/de-smaa-voksne_578146,De små voksne,Gensyn: 00'erne - Se programmer fra DR's arkiv her; livsstil; gensyn; dr gensyn; thesaurus_konfirmation; editorialptaxtop_gensyn; editorialptaxsub_identitet/relationer; culturalorigin_dansk,"Dansk reportage fra 2007. Limousine og rød løber i Bjæverskov. Kimberly og hendes mor har planlagt konfirmationsfesten længe - og der bliver ikke sparet på noget. På Nørrebro gør Josefine mindre væsen af festen, og for hende betyder det alt at blive konfi | tipo DRTV: program | coleção: Gensyn: 00'erne - Se programmer fra DR's arkiv her | categorias: livsstil, gensyn, dr gensyn | palavras-chave: thesaurus_konfirmation, editorialptaxtop_gensyn, editorialptaxsub_identitet/relationer, culturalorigin_dansk | ano: 2008 | duração: 38:59 | país de produção: DANMARK | georrestrição declarada: False | oferta DRTV: availability=ComingSoon; ownership=None; delivery=None; resolution=Unknown | regime de acesso: streaming com login/cadastro ou oferta não livre no nível do programa/episódio | ficha pública DRTV/Gensyn coletada por API pública; mídia não baixada",2007-09-29T18:38:45.0800000Z
