institution,slug,country,continent,repository_code,archive_type,dr_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn`; listas detectadas: 19.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2Fhistorie,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/historie`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2Fkultur,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/kultur`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2Fdokumentar,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/dokumentar`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2Fteater-og-tv-film,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/teater-og-tv-film`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2F1950erne,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/1950erne`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2F1960erne,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/1960erne`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2F1970erne,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/1970erne`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2F1980erne,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/1980erne`; listas detectadas: 1.,
DR - Danmarks Radio,dr-danmarks-radio,Denmark,Europe,DK-DR,Public service broadcaster audiovisual archive with authenticated streaming,https://www.dr.dk/drtv/gensyn,True,True,https://www.dr.dk/drtv/gensyn,https://prod95-cdn.dr-massive.com/api/page?path=%2Fgensyn%2F1990erne,ok,200,0,0,Página pública DRTV/Gensyn `/gensyn/1990erne`; listas detectadas: 1.,
