institution,slug,country,continent,repository_code,archive_type,estonian_film_archive_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/2nFtY6VisSf,76,Documentary; Maria Uppin,"""76"" is a poetic short documentary about one of the most species-rich places in Estonia — the Laelatu wooded meadow. The film tells the story of how the greatest wealth can be hidden in the smallest details. There are 76 plant species counted here on a single square meter, making it one of the most species-rich places in the world. The 1-minute film combines scientific fact and a poetic sense of nature, inviting us to value and preserve biodiversity. | The greatest wealth can fit into one square meter. | tipo de filme: Documentary | direção: Maria Uppin | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/z1HwyFB_tOu,A View from the Window,Documentary; Maris Kerge; Erik Norkroos,"A documentary based on conversations with the writer Elin Toona. | tipo de filme: Documentary | direção: Maris Kerge, Erik Norkroos | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/7G35QCqcPuN,"Awaken, My Children",Student film; Animated film; Christopher Galinos,"Ritual is a key component of animation practice. The ritual process emphasizes repetitive actions aimed at entering a liminal state—a suspended condition in which an individual is stripped of social status and their identity becomes ambiguous. For many practitioners, animation is grounded in a unique set of values and beliefs that shape their creative approach, thematic focus, subject matter, and visual style. This written thesis examines the system of values and beliefs that informed and supported the creation of the animated film Wake Up, My Children. | tipo de filme: Student film, Animated film | direção: Christopher Galinos | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/OUZHQE6MIzh,Beautiful Eyes,Animated film; Sveta Bogomolova,An absurd story of loss and adaptation. | tipo de filme: Animated film | direção: Sveta Bogomolova | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.,2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/ikHX-6Zw4pa,Cabbage Harvest,Documentary; Kristen Aigro,"Originally filmed for a family chronicle, the footage of grandparents' annual cabbage harvest was turned into a short documentary because the experience and the stories while chopping cabbage were so enjoyable. The younger generation hasn't taken over this tradition, but the history is worth remembering. It's so easy to buy cabbage in the store. | Neighbors' annual cabbage harvest. | tipo de filme: Documentary | direção: Kristen Aigro | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/iM4qqomQJVq,Crane and Crone,Animated film; Student film; Kadi Rebane,"""Crane and Crone"" is a fairytale-like short animated film that explores the relationship of an old woman, who’s trying to outrun the inevitable end of her life, and a magical bird who possesses the key to her futile quest. | tipo de filme: Animated film, Student film | direção: Kadi Rebane | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/3AJqo5qm2KT,Eat Your Heart Out,Student film; Animated film; Karmen Müürsoo,"Chester is a 20-something year old trans woman early in the transition period. One day she begins to experience heart tremors that cause it to pop out on the surface of her chest. Various things throughout the day trigger this, including her co-worker and secret crush Rosie. The tremors force Chester into a confession, however that does not spell the end of her concerns, as the tremors continue into the bedroom. | tipo de filme: Student film, Animated film | direção: Karmen Müürsoo | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/OQO7mgawvF5,Ekraaniproovid Köler Prize'ile 2026,Documentary; Piibe Kolka,"Filmis ""Ekraaniproovid Köler Prize'ile 2026"" intervjueeritakse viit Köler Prize'i auhinnale nomineeritud Eesti kunstnikku, kelleks tänavu on Anna Mari Liivrand, Darja Popolitova, Hanna Samoson, Keiu Maasik ja Taavi Suisalu. Kunstnikud mõtestavad üksteise loomingut, vastavad teineteisele esitatud küsimustele ning tutvustavad oma tööprotsessi. Eesti Kaasaegse Kunsti Muuseum (EKKM) asutas Köler Prize'i 2011. aastal, et populariseerida kaasaegset kunsti ning tõsta esile kohalikul kunstiväljal silmapaistvaid kunstnikke. ""Ekraaniproovid Köler Prize'ile"" on olnud auhinnaprojekti osa alates selle asutamisest, avades nominentide loomingut läbi isiklike peegelduste. | tipo de filme: Documentary | direção: Piibe Kolka | ano: 2026 | duração: 01:08:53 | regime Arkaader: acesso público gratuito | referências externas: Meediateek: https://www.meediateek.ee/film/view?id=361286 | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/11UZ4CuhhSE,Free Hands,Experimental film; Lota Viik,Not all events and consequences in our lives are logical and not all causes can be deduced. Sometimes it's just the way it is and there's no need to know more. You just have to move on. | tipo de filme: Experimental film | direção: Lota Viik | ano: 2026 | duração: 01:00 | regime Arkaader: acesso público gratuito | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.,2026
Film Archive of the National Archives of Estonia,film-archive-of-the-national-archives-of-estonia,Estonia,Europe,EE-RA-EFA,National film archive with public audiovisual streaming catalogue,https://www.ra.ee/en/film-photo-audio/film/,True,True,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,Arkaader,https://arkaader.ee/landing/bc/rHczO7kKnl/ky-k7MWL3C-,Genesis,Student film; Animated film; Valerie Sarle,"""Genesis"" is an experimental stop-motion film created with cast glass that explores impermanence, transformation, and the cyclical nature of existence. Following a human figure through a journey of death and rebirth, the film uses glass to reflect on the transience of all things. It is a meditation on accepting change as an inevitable part of life. | tipo de filme: Student film, Animated film | direção: Valerie Sarle | ano: 2026 | regime Arkaader: acesso com restrição territorial | georrestrição declarada | transmissão pública detectada pela API /api/broadcasts do Arkaader; mídia não baixada.",2026
