institution,slug,country,continent,repository_code,archive_type,ert_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/,ok,200,0,0,Página oficial do ERT Archive; declara patrimônio audiovisual e exibe registros com vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/arxikh1/sylloges/,ok,200,0,0,"Página de coleções digitais; a coleta usa apenas o arquivo televisivo e registros com evidência pública de vídeo.",
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/epikinonia/,ok,200,0,0,Página de acesso/contato; informa solicitação por e-mail para pesquisa e uso de material arquivístico.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://www.ert.gr/,ok,200,0,0,Site institucional da ERT.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=1&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 1 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=2&_fields=id%2Clink%2Ctitle%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok_fallback_html,200,99,99,"Página 2 de 383 recuperada por fallback HTML: a API WordPress retornou JSON inválido no campo de conteúdo, então cada URL pública foi aberta e submetida à mesma regra de vídeo.",
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=3&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 3 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=4&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 4 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=5&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 5 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=6&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 6 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=7&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 7 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
ERT - Hellenic Broadcasting Corporation Archive,ert-archive,Greece,Europe,GR-ERT,Public service broadcaster audiovisual archive,https://archive.ert.gr/,True,True,https://archive.ert.gr/,https://archive.ert.gr/wp-json/wp/v2/posts?per_page=100&page=8&_fields=id%2Clink%2Ctitle%2Ccontent%2Cexcerpt%2Cdate%2Ccategories%2Ctags,ok,200,100,100,Página 8 de 383 da API WordPress; entram apenas posts com evidência explícita de vídeo.,
