institution,slug,country,continent,repository_code,archive_type,europeana_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938240,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938247,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3938244,"- video -, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Jamtli,Europeana,https://www.europeana.eu/en/item/76/jlm_item_57988,VIDEO,video,tipo Europeana: VIDEO; provedor: Jamtli; direitos: Creative Commons - Erkännande-Ickekommersiell-Inga bearbetningar,1980 - tal
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_2087865,"- video -, film, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_25073561,"- video -, film, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_3947247,"- video -, film, video",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Sweden,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Museum of Ethnography,Europeana,https://www.europeana.eu/en/item/91660/SMVK_EM_video_4517316,"- video -, video, film",video,tipo Europeana: - video -; provedor: Museum of Ethnography; direitos:,
Europeana,europeana,Spain,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Ignacio Larramendi Foundation,Europeana,https://www.europeana.eu/en/item/499/https___hispana_mcu_es_lod_oai_larramendi_es_24272_ent0,One [Audiovisual Material],audiovisual,"tipo Europeana: Vídeos y Diapositivas; provedor: Ignacio Larramendi Foundation; direitos: Creative Commons - Attribution, ShareAlike (BY-SA) - http://creativecommons.org/licenses/by-sa/4.0/",2016
Europeana,europeana,Spain,Europe,EU-EUROPEANA,European cultural aggregator with audiovisual records,https://www.europeana.eu/,True,True,Ignacio Larramendi Foundation,Europeana,https://www.europeana.eu/en/item/499/https___hispana_mcu_es_lod_oai_larramendi_es_24277_ent0,Nineveh [Audiovisual Material],audiovisual,"tipo Europeana: Vídeos y Diapositivas; provedor: Ignacio Larramendi Foundation; direitos: Creative Commons - Attribution, ShareAlike (BY-SA) - http://creativecommons.org/licenses/by-sa/4.0/",2017
