institution,slug,country,continent,repository_code,archive_type,euscreen_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,DR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_4F5013F29103457CA81EFB6EA6377A0B,"A Day in a Country Town 100 Years Ago, 1932",DR,Village festival in the old country town of Hjerl Heath in July of 1932. Demonstration of various work methods and footage from the festival.,,"A Day in a Country Town 100 Years Ago, 1932",,Exposições e eventos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_6344CB36A98D4BC6B49329398E1EA464,A NO COMPLEX STOMACH,TV3 Televisió de Catalunya (TVC),Gym classes devoted to strengthening the abdominal muscles.,,A NO COMPLEX STOMACH,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_4F78DB3C45C24F77948A71BD7EA770CA,A breathtaking dance,LUCE,With irony the reportage comments upon 6000 couples who participates to the National Competition of Rock and Roll in Germany,,A breathtaking dance,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TVR,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_EED06EED68894E6CB6B9FEEA5513342E,About chess,TVR,"Meeting between the great chessmaster Anatoli Karpov, on a visit in Romania and a group of romanian chess champions - discussion on chess themes with Elisabeta Polihroniade. At the end of the meeting, a chess problem is proposed to us, created by the guest and his hosts.",,About chess,,Visita e descoberta do arquivo,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_8371C49A23F54B03A1DD6241AD0DF9CA,Apollo 11 live from the moon,INA,"On 21 July 1969, Neil Armstrong is the first man to walk on the moon. The first pictures of this feat are broadcast live.",,Apollo 11 live from the moon,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_05345554ECADA8DAD14410A3C54B89A8,Austria: Easter egg hunt,ORF,A group of children among the organization ''Kinderfreunde'' (childrend's friends) is celebrating Easter. The kids have a lot of fun joining the Easter egg hunt and stroking sheep. The Agnus Dei (Lat. Lamb of God) is one of the oldest symbols of Christianity for Jesus Christ. The Easter lamb characterizes the Resurrection of Christ.,,Austria: Easter egg hunt,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_40AEB481B90B4A6798930028D95A3639,BARCELONA: STREET PLAYERS,TV3 Televisió de Catalunya (TVC),"Six-episode series that shows the diversity of immigration in European countries through football. Filmed in Finland, Catalonia, Croatia, Slovakia, Holland and Norway, the program follows one or several people or members of a team who are immigrants and share a common interest: their passion for football. This episode looks at a children's football team in the Raval district in downtown Barcelona.",,BARCELONA: STREET PLAYERS,,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_E94E2DDEEF33426B89E33209ADA46055,BARCELONA: VINTAGE CLOTHING TREND IS IN,TV3 Televisió de Catalunya (TVC),Trend hunters and fashion designers discuss the growing preference for vintage clothing at the European Design Institute. Shops selling high-quality second-hand clothes are starting to open in Barcelona.,,BARCELONA: VINTAGE CLOTHING TREND IS IN,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_9CF0EB6C73474205850FDD13D82C89CA,Back to my valley,LUCE,"An American girl, daughter of Italian parents emigrated to USA, visits her homeland in Cadore valley and discovers the beauty of dolomitic landscape",,Back to my valley,,Visita e descoberta do arquivo,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,CT,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_24B9315CE0954D189954A909352103F1,Be fit! 20/12/1973,CT,"The final part of the third annual series of television warm-ups Be fit!, in which the pianist who accompanied the exercises the whole year, together with three other performers from previous parts show their skills in a fast rhythm of music. And now how the guide to the programme invites us: ""When you hear good music, don’t keep sitting!""",,Be fit! 20/12/1973,,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_2908D9E06227445882F566E4A8CACD27,Black is fashionable,RTBF,Wearing black is always fashionable. It defies time an dis suitable with different textures and fabrics.,,Black is fashionable,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_448820FAB3CC111084FBDC69771ED8A4,Boxing hopefuls make their first appearance in the ring,INA,"On the Pantin ring, the final matches of the boxing hopefuls' ""first round"".",,Boxing hopefuls make their first appearance in the ring,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_981365117D181AF41C7D894689996D36,British rock: four years without Lennon,TV3 Televisió de Catalunya (TVC),Report on the rock and pop of 1984 and its possible relation to the decade led by the Beatles.,,British rock: four years without Lennon,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_2ABB6B717D5F459CB749B3E9B04D3CAA,CADIZ: CHIRIGOTAS PERFORM FOR CARNIVAL,TV3 Televisió de Catalunya (TVC),"Performance by one of the “chirigota” groups that sing satirical songs about topics in the news during carnival festivities. In this case, the group sings about the war in Iraq.",,CADIZ: CHIRIGOTAS PERFORM FOR CARNIVAL,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_D5FEB8BA531A47C58213FEEC58F989D1,CATALONIA: BRIDAL GOWN FASHION TRENDS,TV3 Televisió de Catalunya (TVC),Catalonia. – The latest bridal gown fashion trends reflect a return to classic designs and natural fabrics.,,CATALONIA: BRIDAL GOWN FASHION TRENDS,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_112871AFFE9F44EB8C641180DA68D72B,CATALONIA: HISTORY AND ENERGY,TV3 Televisió de Catalunya (TVC),"-Catalonia: History and Energy. A look at 19th- and 20th-century Catalan history as viewed through the development of industry, technology and communication that have greatly influenced daily life. Energy— electric (hydraulic, water or steam) or heat (gas)—is key to the industrialization process.",,CATALONIA: HISTORY AND ENERGY,,"Memória, narrativa e testemunho",Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_DB17B0F588774510A1CDD2D717B372CF,Carriage ride (national park Neusiedlersee),ORF,A travel-tip to the region national park Neusiedlersee-Seewinkel. In early spring the local coachmen are offering carriage rides through the amazing landscape.,,Carriage ride (national park Neusiedlersee),,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_D2AF72754B354495AB65E18CB6A4889F,"Christian Dior and the ""new look""",INA,"A private fashion show featuring a few outfits from the 1953 haute couture collection by the great fashion designer Christian Dior, a leading light of the ""new look"".",,"Christian Dior and the ""new look""",,Coleções e serviços,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_DD9E6950EA714E8AA61DA4FEE4C36568,Claude Nougaro,INA,"Filmed during rehearsals, Claude Nougaro performs his song Quatre boules de cuir (Four balls of leather).",,Claude Nougaro,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,RTBF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_C3C38063CDC5457C841D8A5D953EF493,Clothes don’t make the man…or the woman (The Singing Nun),RTBF,"« The Singing Nun » (Belgian nun and singer, 1933-1985) is recording a song « Elle est morte Sœur Sourire(Sœur Sourire is dead) » in a radio studio. She explains what her new life is and how difficult is was to leave the convent.",,Clothes don’t make the man…or the woman (The Singing Nun),,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,INA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_0EBCBF356BFC4E12A014023BA41BD98C,Collapse of the Heysel Stadium,INA,A report in Brussels into the collapse of a stand holding supports during a football match between Liverpool (UK) and Turin (Italy) leading to several dozen deaths and many injuries.,,Collapse of the Heysel Stadium,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,NAVA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_0E9C963AEBE44437AAFD794D451619FC,Concert of Grencsó Kollektív Kedély on A38 Ship,NAVA,"István Grencsó is an important figure of the hungarian farout jazz life. In this programme he plays with his collective called Grencsó Kollektív Kedély on A38 Ship, the world's greatest bar according to Lonely Planet 2012 poll.",,Concert of Grencsó Kollektív Kedély on A38 Ship,,Divulgação de serviços e projetos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,NAVA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_266BD1353D9B4417AC87D812FDB71E79,Concert of Trio Midnight at the A38 Ship,NAVA,"Trio Midnight concert on A38 Ship, the world's greatest bar according to Lonely Planet 2012 poll. The outstanding members of the trio are Elemér Balázs on the drums, Kálmán Oláh on the piano and János Egri on the bass.",,Concert of Trio Midnight at the A38 Ship,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LCVA,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_3D55773960BE71B96F46F16DA6E9326A,Concert of popular music,LCVA,The concert of popular music performers - soloists and ensembles.,,Concert of popular music,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Narodowy Instytut Audiowizualny,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_5526E8B44BFAFDEF20CCA78C771CAFD2,Cool Kids of Death,Narodowy Instytut Audiowizualny,A musical television show that features performances by Polish bands and singers. This episode features music by the alternative rock band Cool Kids of Death.,,Cool Kids of Death,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_EBBDEF3F66E44730BC11DF82DB99B3DE,Crazy be - bopping,LUCE,"Boys and girls, champions of be-bop, perform in a club applauded by their audience",,Crazy be - bopping,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_D9DE980EC8EE4D96BC96F26AC6ACAD67,Dirndl Ahoy - Tracht Fashion Show,ORF,Dirndl on board. On a boat on the Attersee the long-standing tracht-manufacturer Tostmann presented its collection.,,Dirndl Ahoy - Tracht Fashion Show,,Coleções e serviços,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,LUCE,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_2F5CF979D21E4F3E9E3AA9A9C3E5BC48,Duke Ellington in concert in Bucarest,LUCE,"Footages of Duke Ellington's concert in Bucarest, in December 1971",,Duke Ellington in concert in Bucarest,,Música e performance,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,TV3 Televisió de Catalunya (TVC),EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_0CD3D0CFE4E47114CDE6C774DFBEF30C,"Eto'o, the goal",TV3 Televisió de Catalunya (TVC),"Series about the Barça game through lessons and exercises that one player of the first team make with a group of boys and girls of the youth team of FC Barcelona, at the Camp Nou. Episode with Samuel Eto'o who teaches how to score goals.",,"Eto'o, the goal",,Formação e mediação,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,Deutsche Welle,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_262A02B754E54B5A914528411DFD0377,Europe at night: Party zone Berlin,Deutsche Welle,Going clubbing with Branko May (aka DJ Digdafunk) in Berlin.,,Europe at night: Party zone Berlin,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,CT,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_8A8B8969DE7F4AA1954C0C4491A98522,Events 01/07/1996,CT,The way of Czech football players through the EURO 96 Football Championship.,,Events 01/07/1996,,Exposições e eventos,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,ORF,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_E19E0E383A5445DF87E40FCCE10A4718,Everyday clothes,ORF,Allday life clothing in the 80s: A guide about clothes in working life and fashion in general,,Everyday clothes,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,AGENCY,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_B5F88DC2BB4F4965BDD5D09AEBEA2E8D,Explaining the rules of boxing to a sceptical onlooker in 1931,AGENCY,,,Explaining the rules of boxing to a sceptical onlooker in 1931,,Comunicação institucional,Agregador audiovisual europeu
EUscreen,euscreen,Netherlands,Europe,EU-EUSCREEN,European audiovisual aggregator,https://euscreen.eu/collections/,True,True,BBC,EUscreen,https://www.euscreen.eu/?page_id=388&item_id=EUS_7C698D03CF7747509CCCED25B028CB84,Eye to Eye 30/08/1957,BBC,Jack Warner narrates a documentary about holidays at the British seaside.,,Eye to Eye 30/08/1957,,História e pesquisa,Agregador audiovisual europeu
