tema,tipo_institucional,total
Comunicação institucional,European audiovisual aggregator,60
Música e performance,European audiovisual aggregator,23
Divulgação de serviços e projetos,European audiovisual aggregator,12
Exposições e eventos,European audiovisual aggregator,10
História e pesquisa,European audiovisual aggregator,6
"Memória, narrativa e testemunho",European audiovisual aggregator,6
Visita e descoberta do arquivo,European audiovisual aggregator,6
Coleções e serviços,European audiovisual aggregator,5
Formação e mediação,European audiovisual aggregator,3
Apresentação institucional,European audiovisual aggregator,2
