institution,slug,country,continent,repository_code,archive_type,far_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20160728112224360/CREAV_01_F_02.mp4,Au pied du mur,Reportage; Urbanisme; CREAV,"Registro de filme materializado no catálogo público MFNA/FAR. | En août 1982, réactions et débats autour des peintures murales et travail social sur le quartier de Villeneuve-Les-Salines. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 24'32’’ : En août 1982, réactions et débats autour des peintures murales et travail social sur le quartier de Villeneuve-Les-Salines. | gênero: Reportage | temas: Urbanisme | formato original: U-Matic | duração: 0:24:32 | realização: CREAV | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/au-pied-du-mur | miniatura: https://pill.far-asso.fr/videos/20160728112224360/cover/capture-d-----cran-2021-09-09----16.05.25.png",août 1982
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20210922150238501/CREAV_02_F_15.mp4,Un nouvel espace de vie,"Reportage; Société (famille, mode, alimentation); Architecture, habitat; CREAV; Patrice MARCADÉ; François CHAYÉ; Michel LACROIX","Registro de filme materializado no catálogo público MFNA/FAR. | Reportage sur l'accueil des personnes âgées dépendantes à La Rochelle avec de nouvelles constructions en bois. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 37'28’’ : Reportage sur l'accueil des personnes âgées dépendantes à La Rochelle avec de nouvelles constructions en bois. | gênero: Reportage | temas: Société (famille, mode, alimentation); Architecture, habitat | formato original: U-Matic | duração: 0:37:28 | realização: CREAV; Patrice MARCADÉ; François CHAYÉ; Michel LACROIX | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/un-nouvel-espace-de-vie | miniatura: https://pill.far-asso.fr/videos/20210922150238501/cover/capture-d-----cran-2021-10-05----15.26.00.png",Mai 1984
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20210922150149246/CREAV_02_F_13.mp4,Départ Transat,Interview; Activité maritime; Activités & loisirs; CREAV; Patrice MARCADÉ,Registro de filme materializado no catálogo público MFNA/FAR. | Départ de la Transatlantique entre La Rochelle et la Nouvelle Orléans en Mai 1982 Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 06'52’’ : Départ de la Transatlantique entre La Rochelle et la Nouvelle Orléans en Mai 1982 | gênero: Interview | temas: Activité maritime; Activités & loisirs | formato original: U-Matic | duração: 0:06:52 | realização: CREAV; Patrice MARCADÉ | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/creav-13 | miniatura: https://pill.far-asso.fr/videos/20210922150149246/cover/capture-d-----cran-2021-10-05----11.57.35.png,Mai 1982
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20210922150021214/CREAV_02_F_10.mp4,"Marie-Anne, Madeleine, Simone, 3 Rochelaises en 1983","Interview; Société (famille, mode, alimentation); CREAV; Michel LACROIX","Registro de filme materializado no catálogo público MFNA/FAR. | Portrait de 3 femmes de La Rochelle en 1983. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 18'37’’ : Portrait de 3 femmes | gênero: Interview | temas: Société (famille, mode, alimentation) | formato original: U-Matic | duração: 0:18:37 | realização: CREAV; Michel LACROIX | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/marie-anne-madeleine-simone | miniatura: https://pill.far-asso.fr/videos/20210922150021214/cover/capture-d-----cran-2021-09-29----15.50.42.png",Février 1983
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20160728112155939/Balande_01_F_01.mp4,Gaston Balande et ses amis,Amateur; Activités & loisirs; Nature & environnement,"Registro de filme materializado no catálogo público MFNA/FAR. | Gaston Balande, peintre français, nous montre sa famille, ses amis, ses oeuvres, des paysages de campagnes et marins, son chat et chien autour du village du Gua, de Lauzières et de Saint-Agnan. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 01'05’’ : Le peintre présente ses amis, sa famille, son chien et son chat 01'05’’ à 02’00’’ : Les amis de Gaston Balande font de la balançoire 02’00’’ à 02’01'’ : Intertitre ""Le Gua, la première messe"" 02’01’’ à 02’59’’ : Procession de la premiere messe de Le Gua 02’59’’ à 05’09’’ : Des gens bien vêtus de Senneville (76) rue de la Balandrie se rendent à une fête chez le peintre 05’09’’ à 05'33’’ : Un homme pêche des pieds en bord de Seine 05'33’’ à 05'34’’ : Intertitre ""St Aignan, l'église et le château"" 05'34’’ à 05'50’’ : L’église de St Aignan avec une femme souriante 05'50’’ à 06’02’’ : On retrouve la femme et le peintre Gaston Balande peignant une toile 06’02’’ à 06'52’’ : Le groupe d’amis montent dans une voiture 06'52’’ à 07'03’’ : Plan de l’extérieur d’une maison 07'03’’ à 07'06’’ : Intertitre ""Le petit port de Lauzieres reste toujours aussi romantique"" 07’06’’ à 07'58’’ : Gaston Balande au bord de l’eau à Lauzieres proche de Nieul sur mer 07’58’’ à 09'02’’: Le groupe d’amis sort de la voiture 09’02’’ à 09'54’’: Pique-nique à Senneville, sur une dune surplombant le paysage 09’54’’ à 10'57’’: Gaston peint en plein air dans le marais de Lauzières quand arrivent son fils et une dame 10’57'’ à 11'24’’: Gaston Balande et ses amis au bord d’une rivière tirent un filet de pêche 11’24'’ à 12'01’’: Le groupe danse au bord de l’eau avec un phonographe 12’01'’ à 14'07’’: Le groupe est au bord de la mer à Pontaillac improvisant quelques pa...",Env. 1920
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20210922150129552/CREAV_02_F_12.mp4,"Take the « A » Train, Joseph Ganter",Captation de spectacle; Activités & loisirs; CREAV; François CHAYÉ; Françoise CHAYÉ,Registro de filme materializado no catálogo público MFNA/FAR. | Représentation de Jazz par Joseph Ganter et la création de son Ecole de Clavier Moderne d'Aquitaine (ECMA) basée sur principe nouveau à l'époque de cours particuliers couplés avec des ateliers. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 01'18’’ : Concert de Jazz par Joseph Ganter et la création de son école de Jazz moderne. | gênero: Captation de spectacle | temas: Activités & loisirs | formato original: U-Matic | duração: 0:16:21 | realização: CREAV; François CHAYÉ; Françoise CHAYÉ | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/take-the-a-train-joseph-ganter | miniatura: https://pill.far-asso.fr/videos/20210922150129552/cover/capture-d-----cran-2021-10-05----11.39.10.png,Décembre 1983
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20220330115427317/Johanny_01_F_02_1.mp4,"Bretagne, mariage, Johanny à la Foire-Expo de Niort",Amateur; Activités & loisirs; Commerce; Voyages & vacances; Paul JOHANNY,"Registro de filme materializado no catálogo público MFNA/FAR. | Ce film commence par un voyage touristique en Bretagne à Concarneau et à Carnacet avec un mariage, puis se poursuit par un reportage sur le stand de l'entreprise JOHANNY à la foire-exposition de Niort en 1947. On assiste enfin au démontage de ce stand. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00'' à 00'04'' : Intertitre Fonds Johanny, bobine 3; ce film est la suite du Johanny_01_F_02 00'04'' à 00'47'' : Vues de Concarneau (Finistère), ville close. 00'47'' à 01'08'' : Famille en camping 01'08'' à 01'50'' : Défilé de Bretons et Bretonnes en costumes traditionnels (dont coiffes de Pont-Aven) 01'50'' à 02'59'' : Famille en visite aux Alignements de Menhirs de Carnac (Morbihan) 02'59'' à 04'02'' : Mariage (Feyfont?), un groupe de personnes sort de l'Hôtel de Ville, pour se rendre à l'église. A la sortie de l'église, haie d'honneur d'hommes brandissant des fleurets. 04'02'' à 07'27'' : Foire exposition de NIORT en 1947, avec un stand de l'entreprise JOHANNY (maquette de moteur) 07'27'' à 08'04'' : Démontage du stand de la foire, vue sur la camionnette JUVA4 de l'entreprise JOHANNY 08'04'' à 08'44'' : Camion de charbon, puis suite du démontage du stand à la foire-exposition. | gênero: Amateur | temas: Activités & loisirs; Commerce; Voyages & vacances | formato original: 8mm | duração: 0:08:44 | realização: Paul JOHANNY | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/fonds-johanny-bobine-3 | miniatura: https://pill.far-asso.fr/videos/20220330115427317/cover/johanny-01-f-02-1.jpg",Années 50
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20220330110628949/Johanny_01_F_02.mp4,Rues et atelier à Saint-Savinien et scènes de plage,Amateur; Activités & loisirs; Nature & environnement; Paul JOHANNY,"Registro de filme materializado no catálogo público MFNA/FAR. | Vues d'un atelier de rectification de moteurs automobiles. Diverses scènes de rues à Saint-Savinien en Charente-Maritime dans les années 50. Canoë sur la Charente. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00'' à 00'20'' : Intertitre FAR 00'20'' à 00'57'' : Des ouvriers travaillent sur des machines de mécanique automobile (sombre) 00'57'' à 01'00'' : Deux hommes discutent à l'extérieur de l'atelier 01'00'' à 01'13'' : Un ouvrier manipule un moteur avec un treuil 01'13'' à 01'25'' : Un homme avec une valise quitte les lieux 01'25'' à 02'08'' : Scènes de rues avec des hommes, une femme en jupe blanche, des vélos, des chiens. 02'08'' à 02'13'' : Canoë sur la Charente (deux personnes à bord) 02'13'' à 02'26'' : Scènes de famille dans la rue 02'26'' à 03'00'' : Canoë sur la Charente (un homme seul) 03'00'' à 03'17'' : Scènes familiales de rue; un homme photographie une jeune femme 03'17"" à 03'59'' : Scènes familiales champêtres au bord de la Charente (?). | gênero: Amateur | temas: Activités & loisirs; Nature & environnement | formato original: 8mm | duração: 0:03:59 | realização: Paul JOHANNY | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/rues-et-atelier-a-saint-savinien-scenes-de-plage | miniatura: https://pill.far-asso.fr/videos/20220330110628949/cover/johanny-01-f-02.jpg",Années 50
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20160728112157640/Balande_03_F_02.mp4,Critique du peintre Gaston Balande par Gustave Kahn,Documentaire; Art & culture; Inconnu INCONNU,"Registro de filme materializado no catálogo público MFNA/FAR. | Film ""Gaston Balande. Mise en image d'une critique"" : illustrant une critique de Gustave Kahn avec un montage de toiles de Gaston Balande peintes au long de sa vie. Mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 06'18’’ : La voix off lit l'article sur Gaston Balande de Gustave Kahn parut en 1925 | gênero: Documentaire | temas: Art & culture | duração: 0:06:18 | realização: Inconnu INCONNU | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/critique-du-peintre-gaston-balande-par-gustave-kahn | miniatura: https://pill.far-asso.fr/videos/20160728112157640/cover/capture-d-----cran-2021-06-03----10.38.41.png",Années 2000
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,MFNA / FAR,https://videos.far-asso.fr/20160728112157110/Balande_03_F_01.mp4,J.C Dubois nous raconte Gaston Balande,Reportage; Art & culture; Albert SUTRE,"Registro de filme materializado no catálogo público MFNA/FAR. | Témoignage du Dr Dubois, fondateur des ""Amis de Gaston Balande"", qui raconte à la propriété de Lauzières une anecdote sur le peintre de 1952 à Lauzière où il a été décoré ""Officier de la légion d'honneur"" Numérisé et mis en ligne grâce au soutien financier de la DRAC Nouvelle-Aquitaine. | 00'00’’ à 02'53’’ : Dr Dubois raconte, à la propriété de Lauzières, une anecdote sur Gaston Balande de 1952 à Lauzière où il a été décoré ""officier de la légion d'honneur"" | gênero: Reportage | temas: Art & culture | duração: 0:02:53 | realização: Albert SUTRE | ficha pública: https://far.memoirefilmiquenouvelleaquitaine.fr/films/jc-dubois-nous-raconte-gaston-balande | miniatura: https://pill.far-asso.fr/videos/20160728112157110/cover/capture-d-----cran-2021-06-03----10.02.47.png",Années 2000
