institution,slug,country,continent,repository_code,archive_type,far_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films,ok,200,0,0,"Interface pública de filmes MFNA/FAR; usada para confirmar filtros de gênero, tema e formato.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/index.php?action=back.film.getFilms&page=1&sid=2,ok,200,482,482,Página API 1; a rota MFNA/FAR declarou 482 registros para o FAR.,
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/de-toujours-a-l-horizon-a-l-horizon-toujours,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/vacances-a-chatelallion-plage,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/tournage-du-film-das-boot-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/les-francofolies-en-1989-2,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/le-creav-et-tele-mirabeau-deux-aventures-audiovisuelles-rochelaises-collectives-au-coeur-des-annees-1980,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/vacances-a-la-palmyre-en-1983,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/course-transatlantique-la-rochelle-nouvelle-orleans-en-mai-1982,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/il-etait-une-noix-dans-l-ouest,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
Fonds Audiovisuel de Recherche,fonds-audiovisuel-de-recherche,France,Europe,FR-FAR,Local audiovisual archive with public film catalog,https://far-asso.fr/,True,True,https://far.memoirefilmiquenouvelleaquitaine.fr/films,https://far.memoirefilmiquenouvelleaquitaine.fr/films/vacances-sur-l-ile-d-oleron-en-1994,ok,200,1,1,"Ficha pública de filme MFNA/FAR com metadados e URL de vídeo MP4, sem baixar mídia.",
