institution,slug,country,continent,repository_code,archive_type,filmarchiv_austria_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_0302R9oBXXu9uujZBKJCmq,"EU-Beitritt Österreichs, Volksabstimmung 12. Juni",Historische Filmdokumente; país: Österreich; ano: 1994; produção: Austria Wochenschau,"Am 12. Juni 1994 stimmten 66,58 Prozent der Bevölkerung für den EU-Beitritt Österreichs, die Wahlbeteiligung betrug 82,3 Prozent. Zwölf Tage später unterzeichneten Bundeskanzler Vranitzky, Außenminister Alois Mock sowie Sektionschef Ulrich Stacher und Botschafter Manfred Scheich den Beitrittsvertrag auf der Konferenz in Korfu. Nach der Hinterlegung der Ratifizierungsurkunde trat Österreich am 1. Jänner 1995 offiziell der Europäischen Union bei. | título original: Hallo Kino 07/1994 | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1994
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_02zpKcB9PjvaCQdEGjY5n0,Eröffnung des Nationalparks Seewinkel,Historische Filmdokumente; país: Österreich; ano: 1994; produção: Austria Wochenschau,"Schon Mitte der 1930er-Jahre pachtete der Österreichische Naturschutzbund Flächen rund um den Neusiedlersee, 1954 wurde im Schilfgürtel bei Neusiedl am See eine erste Biologische Station eingerichtet. In den 1960er-Jahren begannen sich engagierte Naturschützer auch für die Hutweiden im Seewinkel zu engagieren. Diese Bemühungen mündeten in der Gründung des grenzüberschreitenden Nationalparks Neusiedlersee – Seewinkel. Am 20. Mai 1994 eröffnete Bundeskanzler Franz Vranitzky gemeinsam mit seinem ungarischen Amtskollegen Péter Boross den östlichsten Nationalpark Österreichs, 2001 wurde das Gebiet schließlich zum UNESCO-Welterbe ernannt. | título original: 1221040422 (Hallo Kino, 5/1994) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1994
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_031Oonbjzl3p3lWel10iZG,Ein Fabriksdorf der Waldviertler Textilindustrie,Historische Filmdokumente; país: Österreich; ano: 1992; direção: Lisl Waltner; produção: Österreichisches Bundesinsstitut für den wissenschaftlichen Film,"Seit dem 19. Jahrhundert hat sich die Textilindustrie im niederösterreichischen Waldviertel zu einem bedeutenden Wirtschaftszweig entwickelt. Rund um die bereits 1821 als Handweberei in Betrieb stehende Kleemühle bei Schrems entstand 1879 die Firma Anderl, die das Areal sukzessive erweiterte. Die anfänglich auch noch in Heimarbeit organisierte Produktion wurde schrittweise am Standort in Kleedorf konzentriert. Bald formierte sich hier ein kleines Fabriksdorf mit eigenen Wohnhäusern für die Arbeiter:innen; zu den besten Zeiten waren hier 275 Personen beschäftigt. In dieser wissenschaftlichen Dokumentation aus 1992 blickt Firmenchef Richard Hein auf die lange Geschichte des Unternehmens zurück und erläutert die zunehmende Automatisierung der Produktion. Mit dem allgemeinen Niedergang der heimischen Textilindustrie musste die Anderlfabrik 2004 schließen. Im österreichischen Dokumentarfilm ÜBER DIE JAHRE (AT 2015) zeigt Regisseur Nikolaus Geyrhalter die letzten Tage in der Fabrik und verfolgt das Schicksal der dann arbeitslos gewordenen Mitarbeiter:innen. Mit freundlicher Genehmigung von Österreichische Mediathek /Technisches Museum Wien | título original: Kleedorf - ein Fabriksdorf der Waldviertler Textilindustrie | categoria Filmarchiv ON: Historische Filmdokumente | fonte: File von Österreichische Mediathek/Technisches Museum Wien | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1992
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_02zKX9gbukhmM9szXm4w9b,Ausstellungs-Hype »Traum und Wirklichkeit«,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"Die vom Architekten Hans Hollein (1934-2014) für das Wien Museum gestaltete Schau »Traum und Wirklichkeit, Wien 1870-1930« (28. März bis 6. Oktober 1985 im Künstlerhaus) setzte neue Maßstäbe in der Ausstellungskultur. Hollein erprobte erstmals systematisch neue Inszenierungsstrategien wie die Gestaltung von Modellen und Ensembles, um diese historische Epoche besonders lebendig zu vermitteln. Mit 622.000 Besucher:innen zählt diese Ausstellung bis heute zu den am besten besuchten des Wiens Museums. Erstmals wurde dabei auch das touristische Potenzial einer kulturellen Großveranstaltung aufgezeigt. | título original: Ausstellung Künstlerhaus: TRAUM UND WIRKLICHKEIT (Scope 17/1985) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_030PmVuX56oU7F3SFyo3Co,Ein Wiener Sommer in den 1980er-Jahren,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"HALLO KINO zeigt den neu gelaunchten Stadtsender Radio Wien in Aktion. Berichtet wird über die Hotspots des Großstadtsommers, von der Donauinsel bis zu Wilfried in der Freudenau. | título original: Hallo Kino 07/1985 | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_02zpIdNXOqTu0VW3WW8c0J,Falco bei den Wiener Festwochen,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"Am 15. Mai 1985 wurden die Wiener Festwochen mit einem legendären Falco-Konzert eröffnet. Vor 50 000 begeisterten Fans präsentierte Johann Hölzel einige seiner größten Hits wie »Der Kommissar«, »Junge Römer«, »Helden von heute« und erstmals auch seinen neuen Song »Rock Me Amadeus«. Als bis heute einziges deutschsprachiges Lied sollte diese Falco-Nummer am 29. März 1986 Platz eins in den US-Billboard-Charts erreichen. | título original: Hallo Kino 02/1985 | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_030grKpSPCjSNvGPMJYCHg,Maria Lassnigs Trickfilm-Studio,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"Nach ihrer Berufung als Professorin für Malerei gründete Maria Lassnig 1982 an der Hochschule für Angewandte Kunst in Wien Österreichs erstes und bis heute bestehendes Studio für Trickfilm. Unter ihrer Leitung entwickelte sich das »Lehrstudio für experimentellen Animationsfilm« zu einem wichtigen Zentrum für den Animationsfilm in Österreich. Lassnigs Engagement trug dazu bei, das Bewusstsein für diese Kunstform des Films zu schärfen und sie als eigenständiges künstlerisches Feld zu etablieren. Zu den Schüler:innen der Meisterklasse gehörten heute renommierte Filmkünstler:innen wie Mara Mattuschka, Sabine Groschup, Bady Minck und Thomas Renoldner. | título original: TRICK FILME - Vom Zeichentrick zur Computergraphik (Scope 15/1985) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_02ywbWGFvUb8yvJdiXLUMv,Vor 40 Jahren: Der Katalysator kommt!,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"Nachdem Fahrzeuge mit Abgasreinigungssystemen bereits in den 1950er-Jahren entwickelt und in den 1970er-Jahren in den USA und Japan eingeführt worden waren, kamen Autos mit Katalysator 1985 auch in Österreich auf den Markt. Mit 1. Jänner 1988 trat schließlich die Katalysatorpflicht in Kraft. Damit konnten die kritischen Abgasemissionen, insbesondere Kohlenwasserstoffe, Stickstoffoxide und Kohlenmonoxid, um rund 90 Prozent reduziert werden. | título original: JETZT KOMMT ER ! - Der Katalysator (Scope 6/1985) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_0306veTDquMC8H9XVEtGB0,Vor 40 Jahren: Die Wiener Donauinsel,Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"Für diesen Beitrag des Kinomagazins HALLO KINO präsentiert Peter Resetarits die neuesten Attraktionen der Wiener Donauinsel, die 1985 wieder um ein Stück erweitert wurde und auf einer Länge von damals schon über 20 Kilometern Badestrände, Surf,- Segel,- und Tauchreviere sowie zahlreiche Gastronomie- und Freizeiteinrichtungen aufbot. Ursprünglich als Teil des Wiener Hochwasserschutzes konzipiert, wurde die Wiener Donauinsel nach 16 Jahren Bauzeit 1988 endgültig fertiggestellt. | título original: Donauinsel (Hallo Kino 5/1985) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2024 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,Filmarchiv ON,https://www.filmarchiv.at/de/filmarchiv-on/video/f_02z0YkVMprrhPhWQjDe9XO,"Vor 40 Jahren: Peter Patzak, Filmregisseur",Historische Filmdokumente; país: Österreich; ano: 1985; produção: Austria Wochenschau,"»Wie überlebt man als österreichischer Regisseur?«, fragt das Kinomagazin SCOPE den österreichischen Erfolgsregisseur Peter Patzak, der mit TIGER – EIN FRÜHLING IN WIEN seinen neuen Film vorstellt. Im Interview betont Patzak die Notwendigkeit, den Kontakt zum Publikum nicht zu verlieren. In Bezug auf die Unterstützung der Kulturpolitik sieht der Regisseur in Österreich 1985 noch großen Aufholbedarf. | título original: PATZAK’S Filme: »Tiger – Ein Frühling in Wien & Strawanza« (Scope 8/1985) | categoria Filmarchiv ON: Historische Filmdokumente | fonte: 35-mm-Positiv, Sammlung Filmarchiv Austria | restauração: Filmarchiv Austria © 2025 | acesso público online detectado na superfície Filmarchiv ON; mídia não baixada.",1985
