institution,slug,country,continent,repository_code,archive_type,filmarchiv_austria_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on,ok,200,529,529,Rota pública Filmarchiv ON renderiza a união das subrotas audiovisuais detectadas; a coleta não afirma exaustividade do acervo físico total.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQAsITZ5aP3OLsnp2C2,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQJbGqdv5FbA4NmaotL,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQOgcQrqLp259iGmuXN,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WPzy6olPhoxKuorbfdD,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQeW03IbcL2THEw0AWZ,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQli3eKBCVcr4qR7iSm,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033WQ0weaAeJEOIyUxR6RZ,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORHU0orjFxBTEKCGRHg,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORRyuu2EqxG8M3UtrPJ,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORMcDoy7v83eIq656Mb,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORdgiLtEWa1tFkaIoQH,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORkl4mQeLugeReLc3PW,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
Filmarchiv Austria,filmarchiv-austria,Austria,Europe,AT-FILMARCHIV-AUSTRIA,National film archive with public Filmarchiv ON streaming surface,https://www.filmarchiv.at/,True,True,https://www.filmarchiv.at/de/filmarchiv-on,https://www.filmarchiv.at/de/filmarchiv-on/video/f_033ORsMPYmueq9qcnpu62H,ok,200,1,1,Ficha pública de vídeo Filmarchiv ON coletada para metadados descritivos.,
