institution,slug,country,continent,repository_code,archive_type,filmmuseum_dusseldorf_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/383018/besuch-einer-dusseldorfer-delegation-bei-der-steubenparade,BESUCH EINER DÜSSELDORFER DELEGATION BEI DER STEUBEN-PARADE (Fragment),Ton/bewegtes Bild - Werk; <Dokumentarfilm>; Düsseldorf Nordrhein-Westfalen; Deutschland; direção: Unbekannt,"Besuch einer Düsseldorfer Delegation bei der Steuben-Parade mit dem historischen Düsseldorfer Fanfarenchorps (Quelle: Filmmuseum Düsseldorf) Düsseldorf, Brauchtum/Karneval, Musik/Fanfarenchorps, Steuben-Parade | objektnummer: FM.Film.30648 | direção: Unbekannt | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/383018/besuch-einer-dusseldorfer-delegation-bei-der-steubenparade | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,BESUCH EINER DÜSSELDORFER DELEGATION BEI DER STEUBEN-PARADE (Fragment),ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/383688/dusseldorf-wahrend-des-krieges-ii,DÜSSELDORF WÄHREND DES KRIEGES II,Ton/bewegtes Bild - Werk; <Dokumentarfilm>; Düsseldorf Nordrhein-Westfalen; Deutschland; direção: Unbekannt,"Düsseldorf, Weltkrieg 1939 - 1945 | objektnummer: FM.Film.31318 | direção: Unbekannt | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/383688/dusseldorf-wahrend-des-krieges-ii | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,DÜSSELDORF WÄHREND DES KRIEGES II,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/383690/dusseldorf-wahrend-des-krieges-iii,DÜSSELDORF WÄHREND DES KRIEGES III,Ton/bewegtes Bild - Werk; <Dokumentarfilm>; Düsseldorf Nordrhein-Westfalen; Deutschland; direção: Unbekannt,"Düsseldorf, 2. Weltkrieg | objektnummer: FM.Film.31320 | direção: Unbekannt | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/383690/dusseldorf-wahrend-des-krieges-iii | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,DÜSSELDORF WÄHREND DES KRIEGES III,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/384177/german-gouvernment-hosts-us-air-force-colonel,GERMAN GOUVERNMENT HOSTS U.S. AIR FORCE COLONEL,Ton/bewegtes Bild - Werk; <Dokumentarfilm>; Düsseldorf Nordrhein-Westfalen; Deutschland; direção: Unbekannt,"Steuben-Parade, Willy Brandt, Egon Bahr Ankunft von Lt. Col. Price am Berliner Flughafen Tempelhof mit: Willy Brandt, Pastor Albertz, Dr. von Eckhardt, Berliner Mauer, Brandenburger Tor, Bernauerstraße, Blumengebinde auf Bürgersteig Stuttgart: Daimler Benz Werk, Sindelfingen Hamburg: altes Rathaus, erster Bürgermeister Dr. Nevermann, Dr. Stahl, Hafenrundfahrt Düsseldorf: Schloss Benrath Bonn:Presse-Club Frankfurt/M- Abflug (Quelle: Filmmuseum Düsseldorf) Düsseldorf, Bonn, Hamburg, Berlin, Stuttgart, Politiker/Willy Brandt/Egon Bahr, Theologe/Pastor Albertz, Unternehmen/Daimler Benz, Medien/Presse-Club | objektnummer: FM.Film.31806 | direção: Unbekannt | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/384177/german-gouvernment-hosts-us-air-force-colonel | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,GERMAN GOUVERNMENT HOSTS U.S. AIR FORCE COLONEL,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386031/rheinbahn-mannergesangsverein,RHEINBAHN: MÄNNERGESANGSVEREIN,Ton/bewegtes Bild - Werk; <Dokumentarfilm>; Düsseldorf Nordrhein-Westfalen; Deutschland; direção: Unbekannt,"-aneinander kopierte Titel (2'08 min.) - Ausflugsfahrt Männergesangverein (2'48 min.) - Ausflug zur Mosel (2'49 min.) - Auftritt Männergesangverein (2'41 min.) - Weg vom Hotel zum Bus (2'39 min.) - Moselfahrt (2'33 min.) - abendliches Beisammensein (2'36 min.) (Quelle: Filmmuseum Düsseldorf) Geographie/Fluss/Mosel, Verein/Männergesangverein, Düsseldorf/Rheinbahn | objektnummer: FM.Film.33660 | direção: Unbekannt | direitos: Rheinische Bahngesellschaft (-2004) | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386031/rheinbahn-mannergesangsverein | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,RHEINBAHN: MÄNNERGESANGSVEREIN,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386764/tonband-zuir-tonbildschau-dusseldorf,TONBAND ZUIR TONBILDSCHAU DÜSSELDORF,Ton/bewegtes Bild - Werk; Düsseldorf Nordrhein-Westfalen,Düsseldorf | objektnummer: FM.Film.34393 | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386764/tonband-zuir-tonbildschau-dusseldorf | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.,ohne Datum,TONBAND ZUIR TONBILDSCHAU DÜSSELDORF,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386757/tonband-das-sonntagskonzert-altstadteneu-dusseldorf,"TONBAND: DAS SONNTAGSKONZERT, ALTSTÄDTE-NEU: DÜSSELDORF",Ton/bewegtes Bild - Werk; Düsseldorf Nordrhein-Westfalen,"Das Sonntagskonzert Moderation: Jochen Piel: Modenschau der Melodien aus Düsseldorf Botho-Lucas-Chor, Westf. Nachtigallen Altstädte-neu: Düsseldorf Maanuskript u. Gespräche: Ursula Deutschendorf In Fatty's Atelier Kaffee bei Lore Lorenz Die Altstadt historisch betrachtet Noch immer Heinrich Heine Keller, Kneipen, Künstler Im Hauptquartier der Radschläger Woher kommt das Düsseldorfer ""Alt""? (Quelle: Filmmuseum Düsseldorf) Düsseldorf, Musik | objektnummer: FM.Film.34386 | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386757/tonband-das-sonntagskonzert-altstadteneu-dusseldorf | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,"TONBAND: DAS SONNTAGSKONZERT, ALTSTÄDTE-NEU: DÜSSELDORF",ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386758/tonband-dusseldorf-panoramique,TONBAND: DÜSSELDORF PANORAMIQUE,Ton/bewegtes Bild - Werk; Düsseldorf Nordrhein-Westfalen,"Düsseldorf, Brauchtum/Karneval | objektnummer: FM.Film.34387 | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386758/tonband-dusseldorf-panoramique | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.",ohne Datum,TONBAND: DÜSSELDORF PANORAMIQUE,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386759/tonband-dusseldorfreportage-hilversum-1,"TONBAND: DÜSSELDORF-REPORTAGE, HILVERSUM 1",Ton/bewegtes Bild - Werk; Düsseldorf Nordrhein-Westfalen,Düsseldorf | objektnummer: FM.Film.34388 | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386759/tonband-dusseldorfreportage-hilversum-1 | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.,ohne Datum,"TONBAND: DÜSSELDORF-REPORTAGE, HILVERSUM 1",ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
Filmmuseum Düsseldorf,filmmuseum-d-sseldorf,Germany,Europe,DE-FILMMUSEUM-DUSSELDORF,Film museum archive with public metadata catalogue and restricted media access,https://filmmuseum-duesseldorf.de/forschung/audiovisuelles-archiv,True,True,https://emuseum.duesseldorf.de/collections/56457/audiovisuelle-dokumente-zu-dusseldorf,d:kult online,https://emuseum.duesseldorf.de/objects/386760/tonband-eroffnung-britische-woche,TONBAND: ERÖFFNUNG BRITISCHE WOCHE,Ton/bewegtes Bild - Werk; Düsseldorf Nordrhein-Westfalen,Düsseldorf | objektnummer: FM.Film.34389 | catálogo público d:kult: https://emuseum.duesseldorf.de/objects/386760/tonband-eroffnung-britische-woche | metadado audiovisual público; a página institucional do Filmmuseum Düsseldorf informa que o acesso ao Filmarchiv é restrito a pesquisa/consulta autorizada e pode envolver taxas. Não foi detectado player público de vídeo na ficha do objeto.,ohne Datum,TONBAND: ERÖFFNUNG BRITISCHE WOCHE,ohne Datum,"Cotidiano, território e memória urbana",Metadados audiovisuais públicos com mídia local/autorizada
