institution,slug,country,continent,repository_code,archive_type,filmoteca_catalunya_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/a-la-vuelta-del-grito,A la vuelta del grito,No ficción; Documental; país: España; colección: Colección Colectivo Cine de Clase; etiquetas: Filmoteca de Cataluña; Movimiento obrero; Huelgas; Política,"Trabajo que muestra las distintas formas de manifestar y reivindicar los derechos de los trabajadores en diferentes zonas de España. | Cinta sobre la lucha obrera en plena crisis económica de los años 70. Con testimonios de los trabajadores de las fábricas: Megesa (Sevilla), Battenfeld, Fisam, Eurostil y Roselson (Barcelona), y Babcock Wilcox (Vizcaya). | El documental nos muestra diversas maneras de manifestar y reivindicar los derechos de los trabajadores, haciendo hincapié en la situación de la mujer trabajadora. Imágenes de iglesias cerradas, ocupación de talleres y fábricas. Asambleas y manifestaciones. Los suburbios y la necesidad de que el obrero se forme, colocación de carteles y reparto de octavillas. Talleres de confección, maquinaria y fábrica de componentes. Minas en el País Vasco. | código PLATFO: CAT_010_A_LA_VUELTA_DEL_GRITO | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Color | idioma original: Español | duración declarada: 2529 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1977,A la vuelta del grito,1977-01-01,"Memória política, trabalho e conflito social",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/o-todos-o-ninguno,O todos o ninguno,No ficción; Documental; colección: Colección Colectivo Cine de Clase; etiquetas: Filmoteca de Cataluña; Movimiento obrero; Huelgas; Política,"Documental que muestra la lucha obrera de los trabajadores de la fábrica Laforsa de Cornellà de Llobregat. | Los testimonios de los trabajadores de Laforsa de Cornellà de Llobregat vertebran este trabajo en el que se expone el trabajo de concienciación en las escuelas, la solidaridad de otros obreros, las marchas reivindicativas, la huelga y la respuesta por parte de la Policía Nacional a dichas protestas. | Narrado por los propios trabajadores, el documental explica los hechos que han generado la huelga, cómo se ha desarrollado, cómo se han organizado, y cómo se gestó la llamada a la huelga general del Baix Llobregat. Se muestra el trabajo de concienciación que hacen en las escuelas, los estudiantes colaboran haciendo los carteles de la huelga. La solidaridad que reciben de otros obreros: defensa de la huelga, marchas reivindicativas, caja obrera y huelga general. Imágenes de polígonos y de la Policía Nacional, ""los grises"" a caballo, en jeeps y autobuses, cargando y deteniendo a los obreros. Un helicóptero sobrevuela la manifestación. La Policía Secreta se lleva a un detenido. Fotografía de un obrero torturado. Paralelamente, las mujeres se organizan para ayudar a sus maridos. La película finaliza con la gestora dando explicaciones sobre el resultado de la huelga y dando las gracias a todo aquel que se ha implicado con el movimiento. | código PLATFO: CAT_009_O_TODOS_O_NINGUNO | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 2508 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1976,O todos o ninguno,1976-01-01,"Memória política, trabalho e conflito social",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-campo-para-el-hombre,El campo para el hombre,No ficción; Documental; país: España; colección: Colección Colectivo Cine de Clase; etiquetas: Filmoteca de Cataluña; Vida rural; Campesinado; Movimiento obrero; Política,"Retrato de campo español a través de los testimonios de campesinos gallegos y andaluces, y de otros profesionales relacionados con el sector. | Trabajo que muestra la problemática de los campesinos españoles, especialmente en Galicia y Andalucía, constatando la falta de unión y la necesidad de establecer una conciencia de clase obrera en el campo. | El discurso se articula a través de la preguntas que plantean los directores. Dos profesionales hacen una primera valoración de la situación actual: Pascual Carrión, miembro de la comisión técnica para la reforma agraria, y José Manuel Beiras, catedrático de economia de la Universidad de Santiago. Posteriormente, campesinos gallegos hacen la valoración de la situación en el campo gallego, dando gran importancia a la formación de los hijos para que se puedan defender mejor ante el poderoso y la administración. La población se ve obligada a emigrar: imágenes de familias subiendo al tren. Mientras, el campo andaluz da más importancia a la lucha obrera. | código PLATFO: CAT_008_EL_CAMPO_PARA_EL_HOMBRE | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 3051 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1973,El campo para el hombre,1973-01-01,"Trabalho, campo e território",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-cuarto-poder,El cuarto poder,No ficción; Documental; Entrevistas; país: España; colección: Colección Colectivo Cine de Clase; etiquetas: España-Historia-1939-1975 (Dictadura); Filmoteca de Cataluña; Franquismo; Prensa,"Varios periodistas, un economista, obreros y un sacerdote hablan de su relación con la prensa y la censura en el franquismo. | Recorrido histórico y valoración de la prensa escrita que ha generado el franquismo. Se centra en los conflictos entre la realidad del país y lo que la prensa se ve obligada a publicar previo paso por la censura, con atención especial a la prensa clandestina en lucha constante contra la dictadura. | El documental se articula a través de entrevistas a representantes de diferentes colectivos: - Periodistas, que hablan a contraluz y con los rostros ocultos, y plantean todos los problemas que tienen para poder editar una noticia, cómo se manipulan las fuentes, y la autocensura que tienen que hacer tanto los periodistas como los editores de la prensa privada. -Un economista, que no tiene problemas en mostrar su rostro, declara que su situación es bien diferente, pues si habla con lenguaje técnico tiene muchas posibilidades de pasar la censura. En contrapartida, muy pocos lectores lo entienden. -Un grupo de obreros, que denuncia la opacidad del movimiento obrero e insta a la quema de diarios y a crear una prensa alternativa. -Un sacerdote, que denuncia el control de las altas instancias eclesiásticas sobre el movimiento y acciones de sacerdotes obreros en actos litúrgicos públicos. Los discursos van acompañados de imágenes de manifestaciones, desfiles militares, la realización de un diario clandestino y la quema de diarios en barrios obreros. | código PLATFO: CAT_007_EL_CUARTO_PODER | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Color | idioma original: Español | duración declarada: 2343 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1972,El cuarto poder,1972-01-01,"Mídia, censura e esfera pública",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/carnet-de-identidad,Carnet de identidad,Ficción; Experimental; Ensayo cinematográfico; país: España; colección: Colección Llorenç Soler; etiquetas: Filmoteca de Cataluña; Adaptaciones cinematográficas,"Cortometraje experimental que utiliza imágenes de archivo para construir una ficción desde el pasado al presente. | Basado en la obra de teatro de Peter Weiss ""La indagación"" y en textos de James Joyce, Albert Camus, Herbert Marcuse y el Che Guevara, este cortometraje experimental aprovecha las imágenes de películas industriales filmadas con anterioridad para poner en evidencia la sociedad del momento. | código PLATFO: CAT_005_CARNET_DE_IDENTIDAD | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Color | idioma original: Español; Italiano | duración declarada: 1672 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970,Carnet de identidad,1970-01-01,"Ficção, ensaio e cinema experimental",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-altoparlante,El altoparlante,No ficción; Documental; Experimental; país: España; colección: Colección Llorenç Soler; etiquetas: Filmoteca de Cataluña; Política; Propaganda; Trabajadores,"Documental experimental que juega con la contraposición de imágenes y sonido. | Por una parte, las imágenes muestran primeros planos de hombres que se dirigen a trabajar. Son obreros anónimos. Por otro lado, el sonido se compone de discursos de Francisco Franco que exaltan la prosperidad de España en materia económica, política, educativa, cultural y social. | código PLATFO: CAT_004_EL_ALTOPARLANTE | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1469 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970,El altoparlante,1970-01-01,"Mídia, censura e esfera pública",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/noticiario-rna,Noticiario RNA,Ficción; Comedia; país: España; colección: Colección Llorenç Soler; etiquetas: Filmoteca de Cataluña; Parodia,"Noticiario en clave paródica de temas actuales. | Reportaje que parodia, a modo de informativo, distintas noticias. En tono de humor, presentan varios reportajes en los que juegan con las imágenes y las locuciones, cambiando totalmente el sentido de cada noticia. | Descripción de las noticias parodiadas: 1. Curso de prácticas sexuales en Valladolid. 2. Vandalismo en Barcelona: Miró pinta la fachada del Col·legi d'Arquitectes. 3. Multiplicación de orejas. 4. Estudio de antropología comparada durante un trayecto en ascensor. 5. Fragmento del discurso del Ministro de Avances Industriales. 6. Tres hechos simultáneos en un edificio de Madrid. 7. Diarios y revistas impresos al revés. 8. Descubrimiento de un extraño aparato (una cámara de 16mm). 9. Peregrinación de basura a un santuario. 10. Confección del censo de ciudadanos. 11. Huida masiva de ciudadanos de Roma. Explosión de una bomba en el metro. 12. Hombre patrón. 13. Experimentación con perros para comprobar el efecto de las torturas. | código PLATFO: CAT_006_NOTICIARIO_RNA | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro y color | idioma original: Español | duración declarada: 833 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1970,Noticiario RNA,1970-01-01,"Mídia, censura e esfera pública",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-largo-viaje-hacia-la-ira,El largo viaje hacia la ira,No ficción; Documental; país: España; colección: Colección Llorenç Soler; etiquetas: Filmoteca de Cataluña; Éxodo rural; Barcelona-Usos y costumbres,"La inmigración española, en su mayoría procedente de Andalucía, en la Barcelona de los años 60. | A finales de los años 60, llegan a la estación de Francia, en Barcelona, trenes llenos de gente procedente de zonas rurales españolas, especialmente de Andalucía, en busca de una vida mejor. Pero tras un largo camino, en el ajetreo de la urbe, algunos solo hallarán desarraigo, escasez de viviendas, precariedad laboral y miseria. | Barcelona, finales de los años 60. Estació de França, trenes llenos de gente procedente de zonas rurales españolas. Detalles de Barcelona: publicidad en la calle, tráfico, tiendas, escaparates, autobuses llenos de gente, Camp de la Bota, Casc Antic, templo de la Sagrada Familia, construcciones desordenadas en el extraradio de la ciudad. Bailaora flamenca. | código PLATFO: CAT_003_EL_LARGO_VIAJE_HACIA_LA_IRA | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1502 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1969,El largo viaje hacia la ira,1969-01-01,"Migração, cidade e memória social",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/spagna-68-el-hoy-es-malo-pero-el-manana-es-mio,Spagna 68,No ficción; Documental; Reportaje; país: España; colección: Colección Colectivo Cine de Clase; etiquetas: Filmoteca de Cataluña; España-Usos y costumbres; España-Historia-1939-1975 (Dictadura),"El ambiente político y social de la España de 1968. | Reportaje clandestino que refleja el ambiente político y social de la España de 1968. | Reportaxe clandestina que reflicte o ambiente político e social da España de 1968. | código PLATFO: CAT_002_SPAGNA_68 | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español; Catalán; Italiano | duración declarada: 1747 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1968,Spagna 68,1968-01-01,"Memória política, trabalho e conflito social",Streaming com login/cadastro obrigatório
Filmoteca de Catalunya,filmoteca-catalunya,Spain,Europe,ES-CT-FILMOTECA-CATALUNYA,Film archive with restricted institutional catalogue and public PLATFO FILMO subset,https://www.filmoteca.cat/web/es/coleccion-filmica,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/sera-tu-tierra,Será tu tierra,No ficción; Documental; país: España; colección: Colección Llorenç Soler; etiquetas: Filmoteca de Cataluña; Barcelona-Descripción; Urbanismo; Política,"Barcelona, ciudad de acogida y residencia de inmigrantes durante los años sesenta. | Barcelona, 1965. Una parte de la ciudad es moderna, limpia y activa, la otra es oscura e invisible, en ella hay zonas de pobreza y miseria como el casco antiguo, la playa del Somorrostro, etc. En un recorrido exhaustivo por la otra Barcelona, vemos la creación de viviendas sociales, pisos modernos y salubres, situados en barrios que cuentan con todos los servicios y donde la gente vive satisfecha. | código PLATFO: CAT_001_SERA_TU_TIERRA | titular de derechos: Filmoteca de Catalunya | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 2612 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1966,Será tu tierra,1966-01-01,"Migração, cidade e memória social",Streaming com login/cadastro obrigatório
