institution,slug,country,continent,repository_code,archive_type,filmoteca_espanola_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/apuntes-para-una-tesis-doctoral,Apuntes para una tesis doctoral,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Colegios / Universidad,"La obsesión por el objeto de estudio de su tesis doctoral hace enloquecer a un investigador. | Un estudiante que prepara una tesis doctoral de medicina sobre las reacciones agresivas de animales ante el miedo se vuelve neurótico al obsesionarse con el tema de su investigación. | código PLATFO: INV0002821 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1625 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1974
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/y-el-resto-es-sueno,Y el resto es sueño,Escuela de cine; Ficción; Práctica académica; Fantástico; país: España; colección: Colección IIEC/EOC; etiquetas: Surrealismo,"Un hombre lucha por discernir entre la realidad y el sueño, convencido de que ha muerto y que su vida es solo otro sueño. | El protagonista se desespera explorando la interpretación de los sueños, el sueño dentro del sueño, las realidades paralelas o el misterio de la vida. Teme despertar con el más mínimo ruido. | código PLATFO: INV0002822 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1118 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1974
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-confidencia,La confidencia,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Siglo XIX; Enredos amorosos,"Un joven que se hospeda en una pensión intenta ayudar con sus problemas económicos a otra huésped de la que está enamorado. | Finales del siglo XIX. Alberto está enamorado de una inquilina de la pensión en la que se hospeda. El marido de la dueña la acosa porque no tiene para pagar y Alberto intenta conseguir el dinero de la dueña de la pensión. Un siglo después, la pensión se ha convertido en una casa de citas. | código PLATFO: INV0002819 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1936 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1973
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/los-amantes,Los amantes,Escuela de cine; Ficción; Suspense; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Crimen; Relaciones de pareja,"Ejercicio de metaficción en el que dos amantes planean el asesinato del novio de ella, que es a su vez el lector de su propia historia. | Historia de metaficción en la que un hombre lee en una novela lo que le va a suceder. Tras descartar la opción de un sicario, dos amantes urden un plan para matar ellos mismos al novio de ella. | código PLATFO: INV0002817 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Color | idioma original: Español | duración declarada: 771 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1973
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/dios-con-nosotros,Dios con nosotros,Escuela de cine; Ficción; Ciencia Ficción; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Distopías; Inteligencia artificial,"Práctica de ciencia ficción de Jesús de Benito en la Escuela Oficial de Cine que transcurre en un futuro distópico. | En futuro distópico, una computadora que rige los destinos de la humanidad debe resolver el dilema de la existencia de una entidad superior. | código PLATFO: INV0003476 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 999 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1972
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/el-silencio-de-las-estrellas,El silencio de las estrellas,Escuela de cine; Ficción; Práctica académica; Fantástico; país: España; colección: Colección IIEC/EOC; etiquetas: Astronomía; Extraterrestres,"Práctica de José Ángel Rebolledo en la Escuela Oficial de Cine acerca de una estudiante que logra captar un mensaje procedente de otra galaxia. | Una estudiante de astronomía, Alaska, consigue captar un mensaje procedente de una galaxia lejana, y se lo cuenta a un profesor. | código PLATFO: INV0003478 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1157 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1972
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-cita-amorosa,La cita amorosa,Escuela de cine; Ficción; Práctica académica; Drama romántico; país: España; colección: Colección IIEC/EOC; etiquetas: Relaciones de pareja,"Un viudo y una viuda se conocen en un cementerio. | En un cementerio, un viudo y su hijo se cruzan con una mujer que también ha perdido a su pareja. Tras hablar y pasear un rato los tres van a comer a casa de la mujer, donde los dos adultos comienzan a seducirse mutuamente. | código PLATFO: INV0003475 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Blanco y negro | idioma original: Español | duración declarada: 1186 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1972
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-oficina,La oficina,Escuela de cine; Ficción; Suspense; Práctica académica; Espionaje; país: España; colección: Colección IIEC/EOC,"En un despacho se produce una búsqueda detectivesca por parte de dos hombres con gabardina. | Dos detectives entran por la noche en un despacho en busca de algo. | código PLATFO: INV0003477 | titular de derechos: Filmoteca Española | formato original: 16 mm | color: Blanco y negro | idioma original: Español | duración declarada: 191 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1972
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/la-chica,La chica,Escuela de cine; Ficción; Drama; Práctica académica; país: España; colección: Colección IIEC/EOC; etiquetas: Obsesiones; Enredos amorosos,"Una madre opresiva controla a su hijo reprimido, quien encuentra consuelo y libertad en una relación secreta con la criada. | Un niño apasionado por coleccionar mariposas vive bajo la tutela de una madre opresiva, que controla cada aspecto de su vida. En medio de esta atmósfera asfixiante, de joven desarrolla un deseo obsesivo por la criada, buscando en ella una vía de escape, pero son descubiertos. | código PLATFO: INV0003467 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Color | idioma original: Español | duración declarada: 857 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1971
Filmoteca Española,filmoteca-espanola,Spain,Europe,ES-FILMOTECA-ESPANOLA,National film archive with public PLATFO FILMO metadata and registration-gated streaming,https://www.cultura.gob.es/cultura/areas/cine/filmoteca-espanola.html,True,True,https://filmo.platfo.es/pages/home,PLATFO FILMO,https://filmo.platfo.es/content/podemos-estar-tranquilos,Podemos estar tranquilos,Escuela de cine; Ficción; Drama; Práctica académica; Espionaje; país: España; colección: Colección IIEC/EOC; etiquetas: Nazismo,"Historia de espionaje y resistencia ambientada en la Francia nazi. | En la Francia ocupada por los nazis, un comisario al servicio del nazismo intenta sonsacar información a un miembro de la Resistencia sobre sus compañeros. Como la tortura no es suficiente, hace detener a su mujer. | código PLATFO: INV0002813 | titular de derechos: Filmoteca Española | formato original: 35 mm | color: Color | idioma original: Español | duración declarada: 1775 segundos | regime de acesso PLATFO: login/cadastro obrigatório; metadados públicos, mídia não baixada.",1971
