tema,tipo_institucional,total
História e pesquisa,National film archive with public PLATFO FILMO metadata and registration-gated streaming,220
Comunicação institucional,National film archive with public PLATFO FILMO metadata and registration-gated streaming,41
Exposições e eventos,National film archive with public PLATFO FILMO metadata and registration-gated streaming,21
Preservação e conservação,National film archive with public PLATFO FILMO metadata and registration-gated streaming,19
Digitalização e acesso,National film archive with public PLATFO FILMO metadata and registration-gated streaming,16
Música e performance,National film archive with public PLATFO FILMO metadata and registration-gated streaming,15
Divulgação de serviços e projetos,National film archive with public PLATFO FILMO metadata and registration-gated streaming,5
Formação e mediação,National film archive with public PLATFO FILMO metadata and registration-gated streaming,3
Acervo e patrimônio,National film archive with public PLATFO FILMO metadata and registration-gated streaming,2
Apresentação institucional,National film archive with public PLATFO FILMO metadata and registration-gated streaming,2
