institution,slug,country,continent,repository_code,archive_type,filmoteca_valenciana_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/inicio/,ok,200,77,0,"Listagem pública em espanhol usada para evitar duplicação com a versão valenciana. O catálogo geral do IVC em porta 8080 é citado como ficha, mas não é a rota primária de streaming.",
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/,ok,200,0,0,Página de categoria ou ficha sem player Vimeo detectado.,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/la-reina-joven/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/alma-torturada/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/pasionaria/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/no-ficcion/6-toros-por-gallito-6/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/don-juan-tenorio/,ok,200,1,1,,
Filmoteca Valenciana,filmoteca-valenciana,Spain,Europe,ES-VC-FILMOTECA-VALENCIANA,Film archive with public restored-film streaming subset and larger restricted catalogue,https://ivc.gva.es/es/audiovisuales/la-filmoteca-es,True,True,https://www.restauracionesfilmoteca.com/,https://www.restauracionesfilmoteca.com/cine-espanol/ficcion/el-beso-de-la-muerte/,ok,200,1,1,,
