institution,slug,country,continent,repository_code,archive_type,filmoteca_vasca_detail_url,content_available_in_source,website_available,partner_site,platform,video_link,video_title,video_subject,video_description,video_published_at,video_title_display,video_date_display,video_theme,access_surface
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/193872253,Alarde de Irún,Decada 1960,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1960 | ano: Años 60 | duração: 3´28´´ | observações: Imágenes depositadas por Víctor Aspe Soraluce. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/54_alarde_de_irun.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1960/alarde-de-irun | categorias oficiais: Decada 1960,Años 60,Alarde de Irún,Años 60,Patrimônio cinematográfico regional,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/154308731,Primeras comuniones en Trintxerpe,Decada 1950; Serafín Esnaola,"Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1950 | direção/fonte: Serafín Esnaola | ano: Años 50 | duração: 18´30"" | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/53_primeras_comuniones_en_trintxerpe.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1950/primeras-comuniones-en-trintxerpe | categorias oficiais: Decada 1950",Años 50,Primeras comuniones en Trintxerpe,Años 50,Patrimônio cinematográfico regional,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/153909508,Lantzeko Ihauteria,Decada 1980; Miguel Angel Quintana,"Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1980 | direção/fonte: Miguel Angel Quintana | ano: 1989 | duração: 17´13"" | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/51_lantzeko_ihauteria.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1980/lantzeko-ihauteria | categorias oficiais: Decada 1980",1989,Lantzeko Ihauteria,1989-01-01,Patrimônio cinematográfico regional,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839611166,Carrera ciclista. Las 6 horas de Euskadi,Ciclismo; Decada 1980; Depósito Arturo Delgado,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Arturo Delgado | ano: 1988 | duração: 17´ 53´´ | observações: Video 8 | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/7939_1.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_ciclista_las_6_oras_de_euskadi_7939_1; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/carrera_ciclista_las_6_oras_de_euskadi_7939_1 | categorias oficiais: Ciclismo; Decada 1980,1988,Carrera ciclista. Las 6 horas de Euskadi,1988-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839612142,Carrera ciclista. Las 6 horas de Euskadi,Ciclismo; Decada 1980; Depósito Arturo Delgado,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Arturo Delgado | ano: 1988 | duração: 12´ 39´´ | observações: Video 8 | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/7944_2.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/carrera_cciclista_las_6_horas_de_euskadi_7944_2; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/carrera_cciclista_las_6_horas_de_euskadi_7944_2 | categorias oficiais: Ciclismo; Decada 1980,1988,Carrera ciclista. Las 6 horas de Euskadi,1988-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839612836,Clásica de San Sebastián,Ciclismo; Decada 1980; Depósito Arturo Delgado,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Arturo Delgado | ano: 1988 | duração: 12´ 09´´ | observações: Video 8 | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/7956_1.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/clasica_de_san_sebastian_7956_1; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/clasica_de_san_sebastian_7956_1 | categorias oficiais: Ciclismo; Decada 1980,1988,Clásica de San Sebastián,1988-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839617167,Tour de Francia 1986,Ciclismo; Decada 1980; Depósito Alejandro Ugalde,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Alejandro Ugalde | ano: 1986 | duração: 19´ 16´´ | observações: Super 8 muda color | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/9517_4.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/tour_de_francia_1986_9517_4; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/tour_de_francia_1986_9517_4 | categorias oficiais: Ciclismo; Decada 1980,1986,Tour de Francia 1986,1986-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839618306,Tour de Francia 1986,Ciclismo; Decada 1980; Depósito Alejandro Ugalde,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Alejandro Ugalde | ano: 1986 | duração: 1´ 31´´ | observações: Super 8 muda color | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/9517_5.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/tour_de_francia_1986_9517_5; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/tour_de_francia_1986_9517_5 | categorias oficiais: Ciclismo; Decada 1980,1986,Tour de Francia 1986,1986-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/839618423,Tour de Francia 1986,Ciclismo; Decada 1980; Depósito Alejandro Ugalde,Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Ciclismo | direção/fonte: Depósito Alejandro Ugalde | ano: 1986 | duração: 2´ 15´´ | observações: Super 8 muda color | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/9517_6.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/ciclismo/tour_de_francia_1986_9517_6; https://filmoteka.eus/es/coleccion/multimedia/decada-1980/tour_de_francia_1986_9517_6 | categorias oficiais: Ciclismo; Decada 1980,1986,Tour de Francia 1986,1986-01-01,Esporte e cultura física,Plataforma externa de vídeo
Filmoteca Vasca,filmoteca-vasca,Spain,Europe,ES-PV-FILMOTECA-VASCA,Film archive with public multimedia collection,https://filmoteka.eus/,True,True,https://filmoteka.eus/es/coleccion/multimedia,Vimeo,https://vimeo.com/113697392,"Bihotzez (Pedro Olea, 1985)",Decada 1980; Pedro Olea,"Vídeo público da seção Multimedia da Filmoteca Vasca. | coleção: Decada 1980 | direção/fonte: Pedro Olea | ano: 1985 | duração: 25´ | observações: - El documental obtuvo el Jinete Ibérico al mejor cortometraje español en el Certamen Internacional de Films Cortos ""Ciudad de Huesca"" celebrado en 1985. - Estas imágenes han sido publicadas gracias a la autorización de la Asociación de Comerciantes del Casco Viejo de Bilbao. | thumbnail: https://filmoteka.eus/media/uploads/fondos/general_/49_bihotzez.jpg | URLs oficiais associadas: https://filmoteka.eus/es/coleccion/multimedia/decada-1980/bihotzez-pedro-olea-1985 | categorias oficiais: Decada 1980",1985,"Bihotzez (Pedro Olea, 1985)",1985-01-01,"Cotidiano, território e memória local",Plataforma externa de vídeo
