institution,slug,country,continent,repository_code,archive_type,fina_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=0&maxResults=500&mainCategoryId[]=1,ok,200,500,0,Página API 1; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=500&maxResults=500&mainCategoryId[]=1,ok,200,500,0,Página API 2; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=1000&maxResults=500&mainCategoryId[]=1,ok,200,500,0,Página API 3; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=1500&maxResults=500&mainCategoryId[]=1,ok,200,500,0,Página API 4; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=2000&maxResults=500&mainCategoryId[]=1,ok,200,500,0,Página API 5; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,https://ninateka.pl/api/products/vods?platform=BROWSER&firstResult=2500&maxResults=500&mainCategoryId[]=1,ok,200,266,0,Página API 6; Ninateka declarou 2766 registros na categoria pública de vídeo.,
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/10-lecie-i-ogrodu-jordanowskiego-im-jozefa-pilsudskiego-w-warszawie--kronika-pat-1939,6559",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/2030-polska-na-klifie-seneki--koniec--poczatek-swiat-wielkiej-zmiany,10679",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/20-lecie-pulku-strzelcow-konnych--kronika-pat-1937,1032",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/54--hieronim-neumann,6373",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/15-stron-swiata--zuzanna-solakiewicz,96",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/10-lecie-zwiazku-ogrodkow-dzialkowych-na-slasku-kronika-pat-1937,1457",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
Filmoteka Narodowa - Instytut Audiowizualny,filmoteka-narodowa-instytut-audiowizualny,Poland,Europe,PL-FINA,National film and audiovisual archive with public Ninateka VOD platform,https://www.fina.gov.pl/,True,True,https://ninateka.pl/ogladaj,"https://ninateka.pl/movies,1/2007-macbeth--grzegorz-jarzyna--audiodeskrypcja,10222",ok,200,1,1,"Ficha pública de vídeo Ninateka; usada para descrição, tags, créditos e regime de acesso.",
