tema,tipo_institucional,total
Divulgação de serviços e projetos,National film and audiovisual archive with public Ninateka VOD platform,1032
Comunicação institucional,National film and audiovisual archive with public Ninateka VOD platform,841
História e pesquisa,National film and audiovisual archive with public Ninateka VOD platform,515
Música e performance,National film and audiovisual archive with public Ninateka VOD platform,115
"Memória, narrativa e testemunho",National film and audiovisual archive with public Ninateka VOD platform,78
Apresentação institucional,National film and audiovisual archive with public Ninateka VOD platform,65
Digitalização e acesso,National film and audiovisual archive with public Ninateka VOD platform,40
Formação e mediação,National film and audiovisual archive with public Ninateka VOD platform,35
Exposições e eventos,National film and audiovisual archive with public Ninateka VOD platform,24
Visita e descoberta do arquivo,National film and audiovisual archive with public Ninateka VOD platform,12
Preservação e conservação,National film and audiovisual archive with public Ninateka VOD platform,9
