institution,slug,country,continent,repository_code,archive_type,home_movies_detail_url,content_available_in_source,website_available,partner_site,internal_page,status,http_code,video_links_found,embedded_signals,warning,error
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=1&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=2&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=3&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=4&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=5&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=6&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=7&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=8&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=9&page_size=500&lang=en&view=list&order=-id,ok,200,500,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/?page=10&page_size=500&lang=en&view=list&order=-id,ok,200,113,0,,
Fondazione Home Movies / Archivio Nazionale del Film di Famiglia,fondazione-home-movies-archivio-nazionale-del-film-di-famiglia,Italy,Europe,IT-HOME-MOVIES-MEMORYSCAPES,Home movie and private film archive with public digital platform,https://www.homemovies.it/,True,True,https://www.memoryscapes.it/en/archive,https://www.memoryscapes.it/api/clips/{id}/,ok,200,4593,4593,"total declarado pela API: 4613; IDs listados: 4613; detalhes sem player público, com erro ou duplicados: 20",
